[1755, 1240]
[paragraph, [179.0, 193.0, 881.0, 36.0], shoonya_0s47KTZGF3WDZM, 5703768]
[paragraph, [179.0, 229.0, 881.0, 36.0], shoonya_0s47KTZGF3WDZM, 5703768]
[paragraph, [179.0, 265.0, 881.0, 36.0], shoonya_0s47KTZGF3WDZM, 5703768]
[paragraph, [179.0, 301.0, 881.0, 36.0], shoonya_0s47KTZGF3WDZM, 5703768]
[paragraph, [179.0, 337.0, 881.0, 36.0], shoonya_0s47KTZGF3WDZM, 5703768]
[paragraph, [179.0, 373.0, 881.0, 36.0], shoonya_0s47KTZGF3WDZM, 5703768]
[paragraph, [179.0, 409.0, 881.0, 36.0], shoonya_0s47KTZGF3WDZM, 5703768]
[paragraph, [179.0, 445.0, 881.0, 36.0], shoonya_0s47KTZGF3WDZM, 5703768]
[paragraph, [179.0, 481.0, 881.0, 36.0], shoonya_0s47KTZGF3WDZM, 5703768]
[paragraph, [179.0, 517.0, 881.0, 36.0], shoonya_0s47KTZGF3WDZM, 5703768]
[paragraph, [179.0, 553.0, 881.0, 36.0], shoonya_0s47KTZGF3WDZM, 5703768]
[paragraph, [179.0, 589.0, 881.0, 36.0], shoonya_0s47KTZGF3WDZM, 5703768]
[paragraph, [179.0, 625.0, 881.0, 36.0], shoonya_0s47KTZGF3WDZM, 5703768]
[paragraph, [179.0, 661.0, 881.0, 36.0], shoonya_0s47KTZGF3WDZM, 5703768]
[paragraph, [179.0, 697.0, 881.0, 36.0], shoonya_0s47KTZGF3WDZM, 5703768]
[paragraph, [179.0, 733.0, 881.0, 36.0], shoonya_0s47KTZGF3WDZM, 5703768]
[paragraph, [179.0, 769.0, 881.0, 36.0], shoonya_0s47KTZGF3WDZM, 5703768]
[paragraph, [179.0, 805.0, 881.0, 36.0], shoonya_0s47KTZGF3WDZM, 5703768]
[paragraph, [182.0, 882.0, 877.0, 36.0], shoonya_1s9Z6ZS9U9QZK6, 5703768]
[paragraph, [182.0, 918.0, 877.0, 36.0], shoonya_1s9Z6ZS9U9QZK6, 5703768]
[paragraph, [182.0, 954.0, 877.0, 36.0], shoonya_1s9Z6ZS9U9QZK6, 5703768]
[paragraph, [182.0, 990.0, 877.0, 36.0], shoonya_1s9Z6ZS9U9QZK6, 5703768]
[paragraph, [182.0, 1026.0, 877.0, 36.0], shoonya_1s9Z6ZS9U9QZK6, 5703768]
[paragraph, [182.0, 1062.0, 877.0, 36.0], shoonya_1s9Z6ZS9U9QZK6, 5703768]
[paragraph, [182.0, 1098.0, 877.0, 36.0], shoonya_1s9Z6ZS9U9QZK6, 5703768]
[paragraph, [179.0, 1174.0, 880.0, 36.0], shoonya_2s601BI9I6E5KV, 5703768]
[paragraph, [179.0, 1210.0, 880.0, 36.0], shoonya_2s601BI9I6E5KV, 5703768]
[paragraph, [179.0, 1246.0, 880.0, 36.0], shoonya_2s601BI9I6E5KV, 5703768]
[paragraph, [179.0, 1282.0, 880.0, 36.0], shoonya_2s601BI9I6E5KV, 5703768]
[paragraph, [179.0, 1318.0, 880.0, 36.0], shoonya_2s601BI9I6E5KV, 5703768]
[paragraph, [179.0, 1354.0, 880.0, 36.0], shoonya_2s601BI9I6E5KV, 5703768]
[paragraph, [179.0, 1390.0, 880.0, 36.0], shoonya_2s601BI9I6E5KV, 5703768]
[paragraph, [179.0, 1426.0, 880.0, 36.0], shoonya_2s601BI9I6E5KV, 5703768]
[paragraph, [179.0, 1462.0, 880.0, 36.0], shoonya_2s601BI9I6E5KV, 5703768]
[paragraph, [179.0, 1498.0, 880.0, 36.0], shoonya_2s601BI9I6E5KV, 5703768]
