[595, 419]
[folio, [170.0, 35.0, 72.0, 18.0], shoonya_5s0JZDQPQU6S58, 6460159]
[paragraph, [32.0, 69.0, 349.0, 18.0], shoonya_3sDU3CYMUEKZIP, 6460159]
[paragraph, [32.0, 87.0, 349.0, 18.0], shoonya_3sDU3CYMUEKZIP, 6460159]
[paragraph, [32.0, 105.0, 349.0, 18.0], shoonya_3sDU3CYMUEKZIP, 6460159]
[paragraph, [32.0, 123.0, 349.0, 18.0], shoonya_3sDU3CYMUEKZIP, 6460159]
[paragraph, [32.0, 141.0, 349.0, 18.0], shoonya_3sDU3CYMUEKZIP, 6460159]
[paragraph, [32.0, 159.0, 349.0, 18.0], shoonya_3sDU3CYMUEKZIP, 6460159]
[paragraph, [32.0, 177.0, 349.0, 18.0], shoonya_3sDU3CYMUEKZIP, 6460159]
[paragraph, [32.0, 195.0, 349.0, 18.0], shoonya_3sDU3CYMUEKZIP, 6460159]
[paragraph, [32.0, 223.0, 348.0, 18.0], shoonya_1sO1MB6YW74W9Q, 6460159]
[paragraph, [32.0, 241.0, 348.0, 18.0], shoonya_1sO1MB6YW74W9Q, 6460159]
[paragraph, [32.0, 259.0, 348.0, 18.0], shoonya_1sO1MB6YW74W9Q, 6460159]
[paragraph, [32.0, 277.0, 348.0, 18.0], shoonya_1sO1MB6YW74W9Q, 6460159]
[paragraph, [32.0, 295.0, 348.0, 18.0], shoonya_1sO1MB6YW74W9Q, 6460159]
[paragraph, [32.0, 313.0, 348.0, 18.0], shoonya_1sO1MB6YW74W9Q, 6460159]
[paragraph, [32.0, 331.0, 348.0, 18.0], shoonya_1sO1MB6YW74W9Q, 6460159]
[paragraph, [34.0, 364.0, 347.0, 18.0], shoonya_0sM62Q1HB36P0E, 6460159]
[paragraph, [34.0, 382.0, 347.0, 18.0], shoonya_0sM62Q1HB36P0E, 6460159]
[paragraph, [34.0, 400.0, 347.0, 18.0], shoonya_0sM62Q1HB36P0E, 6460159]
[paragraph, [34.0, 418.0, 347.0, 18.0], shoonya_0sM62Q1HB36P0E, 6460159]
[paragraph, [34.0, 436.0, 347.0, 18.0], shoonya_0sM62Q1HB36P0E, 6460159]
[paragraph, [34.0, 454.0, 347.0, 18.0], shoonya_0sM62Q1HB36P0E, 6460159]
[paragraph, [34.0, 472.0, 347.0, 18.0], shoonya_0sM62Q1HB36P0E, 6460159]
[paragraph, [34.0, 490.0, 347.0, 18.0], shoonya_0sM62Q1HB36P0E, 6460159]
[paragraph, [34.0, 508.0, 347.0, 18.0], shoonya_0sM62Q1HB36P0E, 6460159]
[paragraph, [34.0, 526.0, 347.0, 18.0], shoonya_0sM62Q1HB36P0E, 6460159]
