[594, 841]
[folio, [306.0, 27.0, 63.0, 18.0], Y9zgBFw26M, 6533746]
[paragraph, [211.0, 56.0, 214.0, 18.0], O0bSXBNpQD, 6533746]
[paragraph, [211.0, 74.0, 214.0, 18.0], O0bSXBNpQD, 6533746]
[paragraph, [211.0, 92.0, 214.0, 18.0], O0bSXBNpQD, 6533746]
[paragraph, [211.0, 110.0, 214.0, 18.0], O0bSXBNpQD, 6533746]
[paragraph, [211.0, 128.0, 214.0, 18.0], O0bSXBNpQD, 6533746]
[paragraph, [211.0, 146.0, 214.0, 18.0], O0bSXBNpQD, 6533746]
[paragraph, [211.0, 164.0, 214.0, 18.0], O0bSXBNpQD, 6533746]
[paragraph, [211.0, 182.0, 214.0, 18.0], O0bSXBNpQD, 6533746]
[paragraph, [211.0, 200.0, 214.0, 18.0], O0bSXBNpQD, 6533746]
[paragraph, [211.0, 218.0, 214.0, 18.0], O0bSXBNpQD, 6533746]
[paragraph, [211.0, 236.0, 214.0, 18.0], O0bSXBNpQD, 6533746]
[paragraph, [211.0, 254.0, 214.0, 18.0], O0bSXBNpQD, 6533746]
[paragraph, [211.0, 272.0, 214.0, 18.0], O0bSXBNpQD, 6533746]
[paragraph, [211.0, 290.0, 214.0, 18.0], O0bSXBNpQD, 6533746]
[paragraph, [211.0, 308.0, 214.0, 18.0], O0bSXBNpQD, 6533746]
[paragraph, [211.0, 326.0, 214.0, 18.0], O0bSXBNpQD, 6533746]
[paragraph, [211.0, 344.0, 214.0, 18.0], O0bSXBNpQD, 6533746]
[paragraph, [211.0, 362.0, 214.0, 18.0], O0bSXBNpQD, 6533746]
[paragraph, [211.0, 380.0, 214.0, 18.0], O0bSXBNpQD, 6533746]
[paragraph, [211.0, 398.0, 214.0, 18.0], O0bSXBNpQD, 6533746]
[paragraph, [211.0, 416.0, 214.0, 18.0], O0bSXBNpQD, 6533746]
[paragraph, [211.0, 434.0, 214.0, 18.0], O0bSXBNpQD, 6533746]
[paragraph, [211.0, 452.0, 214.0, 18.0], O0bSXBNpQD, 6533746]
[paragraph, [211.0, 470.0, 214.0, 18.0], O0bSXBNpQD, 6533746]
