[842, 595]
[figure-caption, [245.0, 123.0, 110.0, 18.0], YZQfTtwgQP, 5742092]
[paragraph, [88.0, 378.0, 428.0, 18.0], ZSON697XZ1, 5742092]
[paragraph, [88.0, 396.0, 428.0, 18.0], ZSON697XZ1, 5742092]
[paragraph, [88.0, 414.0, 428.0, 18.0], ZSON697XZ1, 5742092]
[unordered-list, [329.0, 447.0, 251.0, 18.0], r-Wk9Z33kK, 5742092]
[unordered-list, [329.0, 465.0, 251.0, 18.0], r-Wk9Z33kK, 5742092]
[unordered-list, [329.0, 483.0, 251.0, 18.0], r-Wk9Z33kK, 5742092]
[unordered-list, [329.0, 501.0, 251.0, 18.0], r-Wk9Z33kK, 5742092]
[unordered-list, [329.0, 519.0, 251.0, 18.0], r-Wk9Z33kK, 5742092]
[unordered-list, [329.0, 537.0, 251.0, 18.0], r-Wk9Z33kK, 5742092]
[unordered-list, [329.0, 555.0, 251.0, 18.0], r-Wk9Z33kK, 5742092]
[unordered-list, [329.0, 573.0, 251.0, 18.0], r-Wk9Z33kK, 5742092]
[unordered-list, [329.0, 591.0, 251.0, 18.0], r-Wk9Z33kK, 5742092]
[unordered-list, [329.0, 609.0, 251.0, 18.0], r-Wk9Z33kK, 5742092]
[unordered-list, [329.0, 627.0, 251.0, 18.0], r-Wk9Z33kK, 5742092]
[contact-info, [92.0, 688.0, 408.0, 18.0], fOFm7XUKC4, 5742092]
[contact-info, [92.0, 706.0, 408.0, 18.0], fOFm7XUKC4, 5742092]
[contact-info, [92.0, 724.0, 408.0, 18.0], fOFm7XUKC4, 5742092]
[contact-info, [92.0, 742.0, 408.0, 18.0], fOFm7XUKC4, 5742092]
[contact-info, [92.0, 760.0, 408.0, 18.0], fOFm7XUKC4, 5742092]
[contact-info, [92.0, 778.0, 408.0, 18.0], fOFm7XUKC4, 5742092]
[website-link, [206.0, 765.0, 188.0, 18.0], E4tIoMRVwj, 5742092]
