[3509, 2480]
[paragraph, [359.0, 396.0, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 448.5, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 501.0, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 553.5, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 606.0, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 658.5, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 711.0, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 763.5, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 816.0, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 868.5, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 921.0, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 973.5, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 1026.0, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 1078.5, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 1131.0, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 1183.5, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 1236.0, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 1288.5, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 1341.0, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 1393.5, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 1446.0, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 1498.5, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 1551.0, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 1603.5, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 1656.0, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 1708.5, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 1761.0, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 1813.5, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 1866.0, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 1918.5, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [359.0, 1971.0, 1773.0, 52.5], 6Oj1aSGzln, 5723716]
[paragraph, [371.0, 2104.0, 1754.0, 52.5], j8ZmtDVaNN, 5723716]
[paragraph, [371.0, 2156.5, 1754.0, 52.5], j8ZmtDVaNN, 5723716]
[paragraph, [371.0, 2209.0, 1754.0, 52.5], j8ZmtDVaNN, 5723716]
[paragraph, [371.0, 2261.5, 1754.0, 52.5], j8ZmtDVaNN, 5723716]
[paragraph, [371.0, 2314.0, 1754.0, 52.5], j8ZmtDVaNN, 5723716]
[paragraph, [371.0, 2366.5, 1754.0, 52.5], j8ZmtDVaNN, 5723716]
[paragraph, [371.0, 2419.0, 1754.0, 52.5], j8ZmtDVaNN, 5723716]
[paragraph, [371.0, 2471.5, 1754.0, 52.5], j8ZmtDVaNN, 5723716]
[paragraph, [371.0, 2524.0, 1754.0, 52.5], j8ZmtDVaNN, 5723716]
[paragraph, [371.0, 2576.5, 1754.0, 52.5], j8ZmtDVaNN, 5723716]
[paragraph, [363.0, 2845.0, 1777.0, 52.5], shoonya_1s6H43L58TTPXF, 5723716]
[paragraph, [363.0, 2897.5, 1777.0, 52.5], shoonya_1s6H43L58TTPXF, 5723716]
[paragraph, [363.0, 2950.0, 1777.0, 52.5], shoonya_1s6H43L58TTPXF, 5723716]
[paragraph, [363.0, 3002.5, 1777.0, 52.5], shoonya_1s6H43L58TTPXF, 5723716]
