[1050, 693]
[folio, [81.0, 76.0, 84.0, 18.0], shoonya_4sQ14T0NXJCMTK, 5701901]
[folio, [81.0, 94.0, 84.0, 18.0], shoonya_4sQ14T0NXJCMTK, 5701901]
[paragraph, [73.0, 124.0, 540.0, 18.0], 8AaREHupqg, 5701901]
[paragraph, [73.0, 142.0, 540.0, 18.0], 8AaREHupqg, 5701901]
[paragraph, [73.0, 160.0, 540.0, 18.0], 8AaREHupqg, 5701901]
[paragraph, [73.0, 178.0, 540.0, 18.0], 8AaREHupqg, 5701901]
[paragraph, [73.0, 196.0, 540.0, 18.0], 8AaREHupqg, 5701901]
[paragraph, [73.0, 214.0, 540.0, 18.0], 8AaREHupqg, 5701901]
[paragraph, [73.0, 232.0, 540.0, 18.0], 8AaREHupqg, 5701901]
[paragraph, [73.0, 250.0, 540.0, 18.0], 8AaREHupqg, 5701901]
[paragraph, [81.0, 297.0, 527.0, 18.0], shoonya_1sD32GDIVPOUUL, 5701901]
[paragraph, [81.0, 315.0, 527.0, 18.0], shoonya_1sD32GDIVPOUUL, 5701901]
[paragraph, [81.0, 333.0, 527.0, 18.0], shoonya_1sD32GDIVPOUUL, 5701901]
[paragraph, [81.0, 351.0, 527.0, 18.0], shoonya_1sD32GDIVPOUUL, 5701901]
[paragraph, [81.0, 369.0, 527.0, 18.0], shoonya_1sD32GDIVPOUUL, 5701901]
[paragraph, [81.0, 387.0, 527.0, 18.0], shoonya_1sD32GDIVPOUUL, 5701901]
[paragraph, [81.0, 405.0, 527.0, 18.0], shoonya_1sD32GDIVPOUUL, 5701901]
[paragraph, [81.0, 423.0, 527.0, 18.0], shoonya_1sD32GDIVPOUUL, 5701901]
[paragraph, [81.0, 441.0, 527.0, 18.0], shoonya_1sD32GDIVPOUUL, 5701901]
[paragraph, [81.0, 459.0, 527.0, 18.0], shoonya_1sD32GDIVPOUUL, 5701901]
[paragraph, [81.0, 477.0, 527.0, 18.0], shoonya_1sD32GDIVPOUUL, 5701901]
[paragraph, [81.0, 495.0, 527.0, 18.0], shoonya_1sD32GDIVPOUUL, 5701901]
[paragraph, [81.0, 513.0, 527.0, 18.0], shoonya_1sD32GDIVPOUUL, 5701901]
[paragraph, [81.0, 531.0, 527.0, 18.0], shoonya_1sD32GDIVPOUUL, 5701901]
[paragraph, [81.0, 549.0, 527.0, 18.0], shoonya_1sD32GDIVPOUUL, 5701901]
[paragraph, [81.0, 567.0, 527.0, 18.0], shoonya_1sD32GDIVPOUUL, 5701901]
[paragraph, [81.0, 585.0, 527.0, 18.0], shoonya_1sD32GDIVPOUUL, 5701901]
[paragraph, [79.0, 616.0, 529.0, 18.0], shoonya_5s6VK539J1HGCN, 5701901]
[paragraph, [79.0, 634.0, 529.0, 18.0], shoonya_5s6VK539J1HGCN, 5701901]
[paragraph, [79.0, 652.0, 529.0, 18.0], shoonya_5s6VK539J1HGCN, 5701901]
[paragraph, [79.0, 670.0, 529.0, 18.0], shoonya_5s6VK539J1HGCN, 5701901]
[paragraph, [79.0, 688.0, 529.0, 18.0], shoonya_5s6VK539J1HGCN, 5701901]
[paragraph, [79.0, 706.0, 529.0, 18.0], shoonya_5s6VK539J1HGCN, 5701901]
[paragraph, [79.0, 724.0, 529.0, 18.0], shoonya_5s6VK539J1HGCN, 5701901]
[paragraph, [81.0, 752.0, 530.0, 18.0], shoonya_0sVRNWL84BZ1HO, 5701901]
[paragraph, [81.0, 770.0, 530.0, 18.0], shoonya_0sVRNWL84BZ1HO, 5701901]
[paragraph, [81.0, 788.0, 530.0, 18.0], shoonya_0sVRNWL84BZ1HO, 5701901]
[paragraph, [81.0, 806.0, 530.0, 18.0], shoonya_0sVRNWL84BZ1HO, 5701901]
[paragraph, [81.0, 824.0, 530.0, 18.0], shoonya_0sVRNWL84BZ1HO, 5701901]
[paragraph, [81.0, 842.0, 530.0, 18.0], shoonya_0sVRNWL84BZ1HO, 5701901]
[paragraph, [81.0, 860.0, 530.0, 18.0], shoonya_0sVRNWL84BZ1HO, 5701901]
[paragraph, [81.0, 878.0, 530.0, 18.0], shoonya_0sVRNWL84BZ1HO, 5701901]
[paragraph, [81.0, 896.0, 530.0, 18.0], shoonya_0sVRNWL84BZ1HO, 5701901]
[paragraph, [81.0, 914.0, 530.0, 18.0], shoonya_0sVRNWL84BZ1HO, 5701901]
[paragraph, [81.0, 932.0, 530.0, 18.0], shoonya_0sVRNWL84BZ1HO, 5701901]
[paragraph, [81.0, 950.0, 530.0, 18.0], shoonya_0sVRNWL84BZ1HO, 5701901]
