[842, 595]
[paragraph, [184.0, 112.0, 260.0, 18.0], r-zzfkllLQ, 6513040]
[paragraph, [187.0, 173.0, 258.0, 18.0], ui4zqq0Beb, 6513040]
[paragraph, [187.0, 191.0, 258.0, 18.0], ui4zqq0Beb, 6513040]
[paragraph, [187.0, 209.0, 258.0, 18.0], ui4zqq0Beb, 6513040]
[paragraph, [187.0, 227.0, 258.0, 18.0], ui4zqq0Beb, 6513040]
[paragraph, [187.0, 245.0, 258.0, 18.0], ui4zqq0Beb, 6513040]
[paragraph, [187.0, 263.0, 258.0, 18.0], ui4zqq0Beb, 6513040]
[paragraph, [187.0, 281.0, 258.0, 18.0], ui4zqq0Beb, 6513040]
[paragraph, [187.0, 299.0, 258.0, 18.0], ui4zqq0Beb, 6513040]
[paragraph, [187.0, 317.0, 258.0, 18.0], ui4zqq0Beb, 6513040]
[paragraph, [187.0, 335.0, 258.0, 18.0], ui4zqq0Beb, 6513040]
[paragraph, [177.0, 384.0, 254.0, 18.0], -crhIax-iA, 6513040]
[paragraph, [177.0, 402.0, 254.0, 18.0], -crhIax-iA, 6513040]
[paragraph, [185.0, 474.0, 261.0, 18.0], 2bhgJgRz3S, 6513040]
[paragraph, [185.0, 492.0, 261.0, 18.0], 2bhgJgRz3S, 6513040]
[paragraph, [185.0, 510.0, 261.0, 18.0], 2bhgJgRz3S, 6513040]
