[588, 379]
[folio, [163.0, 44.0, 156.0, 18.0], neZaRu6VEQ, 6493524]
[section-title, [123.0, 102.0, 123.0, 30.0], 4cAZ-ygyFS, 6493524]
[paragraph, [24.0, 147.0, 324.0, 18.0], shoonya_0s5DDP6YAC0HI8, 6493524]
[paragraph, [24.0, 165.0, 324.0, 18.0], shoonya_0s5DDP6YAC0HI8, 6493524]
[paragraph, [24.0, 183.0, 324.0, 18.0], shoonya_0s5DDP6YAC0HI8, 6493524]
[paragraph, [24.0, 201.0, 324.0, 18.0], shoonya_0s5DDP6YAC0HI8, 6493524]
[paragraph, [24.0, 219.0, 324.0, 18.0], shoonya_0s5DDP6YAC0HI8, 6493524]
[paragraph, [24.0, 237.0, 324.0, 18.0], shoonya_0s5DDP6YAC0HI8, 6493524]
[paragraph, [24.0, 255.0, 324.0, 18.0], shoonya_0s5DDP6YAC0HI8, 6493524]
[paragraph, [24.0, 273.0, 324.0, 18.0], shoonya_0s5DDP6YAC0HI8, 6493524]
[paragraph, [24.0, 291.0, 324.0, 18.0], shoonya_0s5DDP6YAC0HI8, 6493524]
[paragraph, [24.0, 309.0, 324.0, 18.0], shoonya_0s5DDP6YAC0HI8, 6493524]
[paragraph, [24.0, 327.0, 324.0, 18.0], shoonya_0s5DDP6YAC0HI8, 6493524]
[paragraph, [24.0, 345.0, 324.0, 18.0], shoonya_0s5DDP6YAC0HI8, 6493524]
[paragraph, [24.0, 363.0, 324.0, 18.0], shoonya_0s5DDP6YAC0HI8, 6493524]
[paragraph, [24.0, 381.0, 324.0, 18.0], shoonya_0s5DDP6YAC0HI8, 6493524]
[paragraph, [24.0, 399.0, 324.0, 18.0], shoonya_0s5DDP6YAC0HI8, 6493524]
[paragraph, [24.0, 417.0, 324.0, 18.0], shoonya_0s5DDP6YAC0HI8, 6493524]
[paragraph, [24.0, 435.0, 324.0, 18.0], shoonya_0s5DDP6YAC0HI8, 6493524]
[paragraph, [24.0, 453.0, 324.0, 18.0], shoonya_0s5DDP6YAC0HI8, 6493524]
[paragraph, [24.0, 471.0, 324.0, 18.0], shoonya_0s5DDP6YAC0HI8, 6493524]
[paragraph, [24.0, 489.0, 324.0, 18.0], shoonya_0s5DDP6YAC0HI8, 6493524]
[paragraph, [24.0, 507.0, 324.0, 18.0], shoonya_0s5DDP6YAC0HI8, 6493524]
[paragraph, [24.0, 525.0, 324.0, 18.0], shoonya_0s5DDP6YAC0HI8, 6493524]
[paragraph, [24.0, 543.0, 324.0, 18.0], shoonya_0s5DDP6YAC0HI8, 6493524]
