[1787, 1218]
[paragraph, [309.0, 103.0, 429.0, 36.0], TwvzBZBv-3, 5652258]
[paragraph, [309.0, 139.0, 429.0, 36.0], TwvzBZBv-3, 5652258]
[paragraph, [309.0, 175.0, 429.0, 36.0], TwvzBZBv-3, 5652258]
[paragraph, [309.0, 211.0, 429.0, 36.0], TwvzBZBv-3, 5652258]
[paragraph, [309.0, 247.0, 429.0, 36.0], TwvzBZBv-3, 5652258]
[paragraph, [309.0, 283.0, 429.0, 36.0], TwvzBZBv-3, 5652258]
[paragraph, [309.0, 319.0, 429.0, 36.0], TwvzBZBv-3, 5652258]
[paragraph, [309.0, 355.0, 429.0, 36.0], TwvzBZBv-3, 5652258]
[paragraph, [309.0, 391.0, 429.0, 36.0], TwvzBZBv-3, 5652258]
[paragraph, [309.0, 427.0, 429.0, 36.0], TwvzBZBv-3, 5652258]
[paragraph, [75.0, 503.0, 1052.0, 36.0], shoonya_1sDYWPL4C6W526, 5652258]
[paragraph, [75.0, 539.0, 1052.0, 36.0], shoonya_1sDYWPL4C6W526, 5652258]
[paragraph, [75.0, 575.0, 1052.0, 36.0], shoonya_1sDYWPL4C6W526, 5652258]
[paragraph, [75.0, 611.0, 1052.0, 36.0], shoonya_1sDYWPL4C6W526, 5652258]
[paragraph, [75.0, 647.0, 1052.0, 36.0], shoonya_1sDYWPL4C6W526, 5652258]
[paragraph, [75.0, 683.0, 1052.0, 36.0], shoonya_1sDYWPL4C6W526, 5652258]
[paragraph, [75.0, 719.0, 1052.0, 36.0], shoonya_1sDYWPL4C6W526, 5652258]
[paragraph, [75.0, 755.0, 1052.0, 36.0], shoonya_1sDYWPL4C6W526, 5652258]
[paragraph, [77.0, 816.0, 1063.0, 36.0], shoonya_3s4IPGTMLN23TY, 5652258]
[paragraph, [77.0, 852.0, 1063.0, 36.0], shoonya_3s4IPGTMLN23TY, 5652258]
[paragraph, [77.0, 888.0, 1063.0, 36.0], shoonya_3s4IPGTMLN23TY, 5652258]
[paragraph, [77.0, 924.0, 1063.0, 36.0], shoonya_3s4IPGTMLN23TY, 5652258]
[paragraph, [77.0, 960.0, 1063.0, 36.0], shoonya_3s4IPGTMLN23TY, 5652258]
[paragraph, [77.0, 996.0, 1063.0, 36.0], shoonya_3s4IPGTMLN23TY, 5652258]
[paragraph, [99.0, 1057.0, 1039.0, 36.0], shoonya_2sM1SALDRKOMEE, 5652258]
[paragraph, [99.0, 1093.0, 1039.0, 36.0], shoonya_2sM1SALDRKOMEE, 5652258]
[paragraph, [99.0, 1129.0, 1039.0, 36.0], shoonya_2sM1SALDRKOMEE, 5652258]
[paragraph, [99.0, 1165.0, 1039.0, 36.0], shoonya_2sM1SALDRKOMEE, 5652258]
[paragraph, [99.0, 1201.0, 1039.0, 36.0], shoonya_2sM1SALDRKOMEE, 5652258]
[paragraph, [88.0, 1252.0, 1043.0, 36.0], shoonya_6sGCZ54CCNHE49, 5652258]
[paragraph, [88.0, 1288.0, 1043.0, 36.0], shoonya_6sGCZ54CCNHE49, 5652258]
[paragraph, [88.0, 1324.0, 1043.0, 36.0], shoonya_6sGCZ54CCNHE49, 5652258]
[paragraph, [88.0, 1360.0, 1043.0, 36.0], shoonya_6sGCZ54CCNHE49, 5652258]
[paragraph, [88.0, 1396.0, 1043.0, 36.0], shoonya_6sGCZ54CCNHE49, 5652258]
[paragraph, [87.0, 1444.0, 1033.0, 36.0], shoonya_0sRO43GAKKZ2TX, 5652258]
[paragraph, [87.0, 1480.0, 1033.0, 36.0], shoonya_0sRO43GAKKZ2TX, 5652258]
[paragraph, [87.0, 1516.0, 1033.0, 36.0], shoonya_0sRO43GAKKZ2TX, 5652258]
[paragraph, [87.0, 1552.0, 1033.0, 36.0], shoonya_0sRO43GAKKZ2TX, 5652258]
[paragraph, [87.0, 1588.0, 1033.0, 36.0], shoonya_0sRO43GAKKZ2TX, 5652258]
[footnote, [445.0, 1637.0, 231.0, 36.0], YtB-hVzii0, 5652258]
