[1754, 1241]
[ordered-list, [260.0, 100.0, 873.0, 36.0], zDtoq1_Ene, 5708463]
[ordered-list, [260.0, 136.0, 873.0, 36.0], zDtoq1_Ene, 5708463]
[ordered-list, [260.0, 172.0, 873.0, 36.0], zDtoq1_Ene, 5708463]
[ordered-list, [260.0, 208.0, 873.0, 36.0], zDtoq1_Ene, 5708463]
[ordered-list, [260.0, 244.0, 873.0, 36.0], zDtoq1_Ene, 5708463]
[ordered-list, [260.0, 280.0, 873.0, 36.0], zDtoq1_Ene, 5708463]
[ordered-list, [169.0, 319.0, 980.0, 36.0], shoonya_0s6NFLEAF79LH2, 5708463]
[ordered-list, [169.0, 355.0, 980.0, 36.0], shoonya_0s6NFLEAF79LH2, 5708463]
[ordered-list, [169.0, 391.0, 980.0, 36.0], shoonya_0s6NFLEAF79LH2, 5708463]
[ordered-list, [169.0, 427.0, 980.0, 36.0], shoonya_0s6NFLEAF79LH2, 5708463]
[ordered-list, [169.0, 463.0, 980.0, 36.0], shoonya_0s6NFLEAF79LH2, 5708463]
[ordered-list, [169.0, 499.0, 980.0, 36.0], shoonya_0s6NFLEAF79LH2, 5708463]
[ordered-list, [169.0, 535.0, 980.0, 36.0], shoonya_0s6NFLEAF79LH2, 5708463]
[ordered-list, [169.0, 571.0, 980.0, 36.0], shoonya_0s6NFLEAF79LH2, 5708463]
[ordered-list, [169.0, 607.0, 980.0, 36.0], shoonya_0s6NFLEAF79LH2, 5708463]
[ordered-list, [169.0, 643.0, 980.0, 36.0], shoonya_0s6NFLEAF79LH2, 5708463]
[ordered-list, [169.0, 679.0, 980.0, 36.0], shoonya_0s6NFLEAF79LH2, 5708463]
[ordered-list, [169.0, 715.0, 980.0, 36.0], shoonya_0s6NFLEAF79LH2, 5708463]
[ordered-list, [169.0, 751.0, 980.0, 36.0], shoonya_0s6NFLEAF79LH2, 5708463]
[ordered-list, [169.0, 787.0, 980.0, 36.0], shoonya_0s6NFLEAF79LH2, 5708463]
[ordered-list, [169.0, 823.0, 980.0, 36.0], shoonya_0s6NFLEAF79LH2, 5708463]
[sub-ordered-list, [187.0, 378.0, 951.0, 36.0], XknGCoclyM, 5708463]
[sub-ordered-list, [187.0, 414.0, 951.0, 36.0], XknGCoclyM, 5708463]
[sub-ordered-list, [187.0, 450.0, 951.0, 36.0], XknGCoclyM, 5708463]
[sub-ordered-list, [187.0, 486.0, 951.0, 36.0], XknGCoclyM, 5708463]
[sub-ordered-list, [187.0, 522.0, 951.0, 36.0], XknGCoclyM, 5708463]
[sub-ordered-list, [187.0, 558.0, 951.0, 36.0], XknGCoclyM, 5708463]
[sub-ordered-list, [179.0, 624.0, 951.0, 36.0], mcbMq_6Ae6, 5708463]
[sub-ordered-list, [179.0, 660.0, 951.0, 36.0], mcbMq_6Ae6, 5708463]
[sub-ordered-list, [179.0, 696.0, 951.0, 36.0], mcbMq_6Ae6, 5708463]
[sub-ordered-list, [179.0, 732.0, 951.0, 36.0], mcbMq_6Ae6, 5708463]
[sub-ordered-list, [179.0, 768.0, 951.0, 36.0], mcbMq_6Ae6, 5708463]
[sub-ordered-list, [179.0, 804.0, 951.0, 36.0], mcbMq_6Ae6, 5708463]
[sub-ordered-list, [179.0, 840.0, 951.0, 36.0], mcbMq_6Ae6, 5708463]
