[2339, 1653]
[paragraph, [234.0, 203.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 239.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 275.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 311.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 347.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 383.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 419.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 455.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 491.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 527.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 563.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 599.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 635.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 671.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 707.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 743.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 779.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 815.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 851.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 887.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 923.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 959.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 995.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 1031.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 1067.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 1103.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 1139.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 1175.0, 1177.0, 36.0], shoonya_1sLUN9EHK8XZC9, 5687088]
[paragraph, [234.0, 1266.0, 1175.0, 36.0], shoonya_0sCHUYHCUJVG67, 5687088]
[paragraph, [234.0, 1302.0, 1175.0, 36.0], shoonya_0sCHUYHCUJVG67, 5687088]
[paragraph, [234.0, 1338.0, 1175.0, 36.0], shoonya_0sCHUYHCUJVG67, 5687088]
[paragraph, [234.0, 1374.0, 1175.0, 36.0], shoonya_0sCHUYHCUJVG67, 5687088]
[paragraph, [234.0, 1410.0, 1175.0, 36.0], shoonya_0sCHUYHCUJVG67, 5687088]
[paragraph, [234.0, 1446.0, 1175.0, 36.0], shoonya_0sCHUYHCUJVG67, 5687088]
[paragraph, [234.0, 1482.0, 1175.0, 36.0], shoonya_0sCHUYHCUJVG67, 5687088]
[paragraph, [234.0, 1518.0, 1175.0, 36.0], shoonya_0sCHUYHCUJVG67, 5687088]
[paragraph, [234.0, 1554.0, 1175.0, 36.0], shoonya_0sCHUYHCUJVG67, 5687088]
[paragraph, [234.0, 1590.0, 1175.0, 36.0], shoonya_0sCHUYHCUJVG67, 5687088]
[paragraph, [234.0, 1626.0, 1175.0, 36.0], shoonya_0sCHUYHCUJVG67, 5687088]
[paragraph, [234.0, 1662.0, 1175.0, 36.0], shoonya_0sCHUYHCUJVG67, 5687088]
[paragraph, [234.0, 1698.0, 1175.0, 36.0], shoonya_0sCHUYHCUJVG67, 5687088]
[paragraph, [234.0, 1734.0, 1175.0, 36.0], shoonya_0sCHUYHCUJVG67, 5687088]
[paragraph, [234.0, 1770.0, 1175.0, 36.0], shoonya_0sCHUYHCUJVG67, 5687088]
[paragraph, [234.0, 1806.0, 1175.0, 36.0], shoonya_0sCHUYHCUJVG67, 5687088]
[section-title, [245.0, 1895.0, 836.0, 52.5], 1vRdSEv2Nc, 5687088]
[paragraph, [241.0, 1969.0, 1169.0, 36.0], shoonya_2sSKAH43KRH9I0, 5687088]
[paragraph, [241.0, 2005.0, 1169.0, 36.0], shoonya_2sSKAH43KRH9I0, 5687088]
[paragraph, [241.0, 2041.0, 1169.0, 36.0], shoonya_2sSKAH43KRH9I0, 5687088]
