[1246, 878]
[chapter-title, [401.0, 69.0, 178.0, 30.0], shoonya_12sQ0C61VFVO4C, 5775802]
[paragraph, [175.0, 109.0, 632.0, 18.0], shoonya_2sNXVTPSHC6HWS, 5775802]
[paragraph, [175.0, 127.0, 632.0, 18.0], shoonya_2sNXVTPSHC6HWS, 5775802]
[paragraph, [175.0, 145.0, 632.0, 18.0], shoonya_2sNXVTPSHC6HWS, 5775802]
[paragraph, [175.0, 163.0, 632.0, 18.0], shoonya_2sNXVTPSHC6HWS, 5775802]
[paragraph, [174.0, 184.0, 634.0, 18.0], shoonya_1s9EM5VJOUUFMO, 5775802]
[paragraph, [174.0, 202.0, 634.0, 18.0], shoonya_1s9EM5VJOUUFMO, 5775802]
[paragraph, [174.0, 220.0, 634.0, 18.0], shoonya_1s9EM5VJOUUFMO, 5775802]
[paragraph, [174.0, 238.0, 634.0, 18.0], shoonya_1s9EM5VJOUUFMO, 5775802]
[paragraph, [174.0, 256.0, 634.0, 18.0], shoonya_1s9EM5VJOUUFMO, 5775802]
[paragraph, [174.0, 274.0, 634.0, 18.0], shoonya_1s9EM5VJOUUFMO, 5775802]
[paragraph, [174.0, 292.0, 634.0, 18.0], shoonya_1s9EM5VJOUUFMO, 5775802]
[paragraph, [174.0, 310.0, 634.0, 18.0], shoonya_1s9EM5VJOUUFMO, 5775802]
[paragraph, [174.0, 328.0, 634.0, 18.0], shoonya_1s9EM5VJOUUFMO, 5775802]
[paragraph, [174.0, 346.0, 634.0, 18.0], shoonya_1s9EM5VJOUUFMO, 5775802]
[paragraph, [174.0, 364.0, 634.0, 18.0], shoonya_1s9EM5VJOUUFMO, 5775802]
[paragraph, [174.0, 382.0, 634.0, 18.0], shoonya_1s9EM5VJOUUFMO, 5775802]
[paragraph, [174.0, 400.0, 634.0, 18.0], shoonya_1s9EM5VJOUUFMO, 5775802]
[paragraph, [174.0, 418.0, 634.0, 18.0], shoonya_1s9EM5VJOUUFMO, 5775802]
[paragraph, [174.0, 436.0, 634.0, 18.0], shoonya_1s9EM5VJOUUFMO, 5775802]
[paragraph, [174.0, 459.0, 636.0, 18.0], shoonya_0sLATTCZKOU0IE, 5775802]
[paragraph, [174.0, 477.0, 636.0, 18.0], shoonya_0sLATTCZKOU0IE, 5775802]
[paragraph, [174.0, 495.0, 636.0, 18.0], shoonya_0sLATTCZKOU0IE, 5775802]
[paragraph, [174.0, 513.0, 636.0, 18.0], shoonya_0sLATTCZKOU0IE, 5775802]
[paragraph, [174.0, 531.0, 636.0, 18.0], shoonya_0sLATTCZKOU0IE, 5775802]
[paragraph, [174.0, 549.0, 636.0, 18.0], shoonya_0sLATTCZKOU0IE, 5775802]
[paragraph, [174.0, 567.0, 636.0, 18.0], shoonya_0sLATTCZKOU0IE, 5775802]
[paragraph, [174.0, 585.0, 636.0, 18.0], shoonya_0sLATTCZKOU0IE, 5775802]
[paragraph, [174.0, 603.0, 636.0, 18.0], shoonya_0sLATTCZKOU0IE, 5775802]
[paragraph, [174.0, 621.0, 636.0, 18.0], shoonya_0sLATTCZKOU0IE, 5775802]
