[1650, 1275]
[folio, [516.0, 151.0, 255.0, 36.0], q-F27X4HV7, 5706423]
[folio, [516.0, 187.0, 255.0, 36.0], q-F27X4HV7, 5706423]
[folio, [516.0, 223.0, 255.0, 36.0], q-F27X4HV7, 5706423]
[section-title, [167.0, 272.0, 906.0, 49.5], zaeISJB4cU, 5706423]
[paragraph, [141.0, 374.0, 922.0, 36.0], djWO1z8Q1b, 5706423]
[paragraph, [141.0, 410.0, 922.0, 36.0], djWO1z8Q1b, 5706423]
[ordered-list, [133.0, 484.0, 847.0, 36.0], CxZ84YhQr6, 5706423]
[ordered-list, [133.0, 520.0, 847.0, 36.0], CxZ84YhQr6, 5706423]
[ordered-list, [133.0, 556.0, 847.0, 36.0], CxZ84YhQr6, 5706423]
[ordered-list, [133.0, 592.0, 847.0, 36.0], CxZ84YhQr6, 5706423]
[ordered-list, [133.0, 628.0, 847.0, 36.0], CxZ84YhQr6, 5706423]
[ordered-list, [133.0, 664.0, 847.0, 36.0], CxZ84YhQr6, 5706423]
[ordered-list, [133.0, 700.0, 847.0, 36.0], CxZ84YhQr6, 5706423]
[ordered-list, [133.0, 736.0, 847.0, 36.0], CxZ84YhQr6, 5706423]
[ordered-list, [133.0, 772.0, 847.0, 36.0], CxZ84YhQr6, 5706423]
[ordered-list, [133.0, 808.0, 847.0, 36.0], CxZ84YhQr6, 5706423]
[ordered-list, [133.0, 844.0, 847.0, 36.0], CxZ84YhQr6, 5706423]
[sub-ordered-list, [251.0, 544.0, 621.0, 36.0], xKJ8y7KAmT, 5706423]
[sub-ordered-list, [251.0, 625.0, 663.0, 36.0], veLI2HT8Qs, 5706423]
[sub-ordered-list, [251.0, 705.0, 306.0, 36.0], KU4VR5ltb7, 5706423]
[sub-ordered-list, [251.0, 741.0, 306.0, 36.0], KU4VR5ltb7, 5706423]
[sub-ordered-list, [251.0, 777.0, 306.0, 36.0], KU4VR5ltb7, 5706423]
[sub-ordered-list, [251.0, 813.0, 306.0, 36.0], KU4VR5ltb7, 5706423]
[sub-ordered-list, [251.0, 849.0, 306.0, 36.0], KU4VR5ltb7, 5706423]
[ordered-list, [133.0, 1003.0, 653.0, 36.0], GTPZy2Uw4a, 5706423]
[ordered-list, [133.0, 1039.0, 653.0, 36.0], GTPZy2Uw4a, 5706423]
[ordered-list, [133.0, 1075.0, 653.0, 36.0], GTPZy2Uw4a, 5706423]
[ordered-list, [133.0, 1111.0, 653.0, 36.0], GTPZy2Uw4a, 5706423]
[ordered-list, [133.0, 1147.0, 653.0, 36.0], GTPZy2Uw4a, 5706423]
[ordered-list, [133.0, 1183.0, 653.0, 36.0], GTPZy2Uw4a, 5706423]
[ordered-list, [133.0, 1219.0, 653.0, 36.0], GTPZy2Uw4a, 5706423]
[ordered-list, [133.0, 1255.0, 653.0, 36.0], GTPZy2Uw4a, 5706423]
[ordered-list, [133.0, 1291.0, 653.0, 36.0], GTPZy2Uw4a, 5706423]
[ordered-list, [133.0, 1327.0, 653.0, 36.0], GTPZy2Uw4a, 5706423]
[ordered-list, [133.0, 1363.0, 653.0, 36.0], GTPZy2Uw4a, 5706423]
[ordered-list, [133.0, 1399.0, 653.0, 36.0], GTPZy2Uw4a, 5706423]
