[1601, 1158]
[folio, [39.0, 68.0, 87.0, 36.0], uL0GV3Kw3u, 5696106]
[folio, [39.0, 104.0, 87.0, 36.0], uL0GV3Kw3u, 5696106]
[folio, [39.0, 140.0, 87.0, 36.0], uL0GV3Kw3u, 5696106]
[headline, [275.0, 86.0, 639.0, 37.5], shoonya_8s6EO644ZV0H5J, 5696106]
[headline, [275.0, 123.5, 639.0, 37.5], shoonya_8s6EO644ZV0H5J, 5696106]
[headline, [275.0, 161.0, 639.0, 37.5], shoonya_8s6EO644ZV0H5J, 5696106]
[headline, [275.0, 198.5, 639.0, 37.5], shoonya_8s6EO644ZV0H5J, 5696106]
[paragraph, [140.0, 924.0, 440.0, 36.0], shoonya_1sQ17U1DJ1AK2M, 5696106]
[paragraph, [140.0, 960.0, 440.0, 36.0], shoonya_1sQ17U1DJ1AK2M, 5696106]
[paragraph, [140.0, 996.0, 440.0, 36.0], shoonya_1sQ17U1DJ1AK2M, 5696106]
[paragraph, [140.0, 1032.0, 440.0, 36.0], shoonya_1sQ17U1DJ1AK2M, 5696106]
[paragraph, [140.0, 1068.0, 440.0, 36.0], shoonya_1sQ17U1DJ1AK2M, 5696106]
[paragraph, [140.0, 1104.0, 440.0, 36.0], shoonya_1sQ17U1DJ1AK2M, 5696106]
[paragraph, [140.0, 1140.0, 440.0, 36.0], shoonya_1sQ17U1DJ1AK2M, 5696106]
[paragraph, [140.0, 1176.0, 440.0, 36.0], shoonya_1sQ17U1DJ1AK2M, 5696106]
[paragraph, [140.0, 1212.0, 440.0, 36.0], shoonya_1sQ17U1DJ1AK2M, 5696106]
[paragraph, [140.0, 1248.0, 440.0, 36.0], shoonya_1sQ17U1DJ1AK2M, 5696106]
[paragraph, [140.0, 1284.0, 440.0, 36.0], shoonya_1sQ17U1DJ1AK2M, 5696106]
[paragraph, [140.0, 1320.0, 440.0, 36.0], shoonya_1sQ17U1DJ1AK2M, 5696106]
[paragraph, [140.0, 1356.0, 440.0, 36.0], shoonya_1sQ17U1DJ1AK2M, 5696106]
[paragraph, [598.0, 962.0, 441.0, 36.0], shoonya_2sNUDHK7DVWJIF, 5696106]
[paragraph, [598.0, 998.0, 441.0, 36.0], shoonya_2sNUDHK7DVWJIF, 5696106]
[paragraph, [598.0, 1034.0, 441.0, 36.0], shoonya_2sNUDHK7DVWJIF, 5696106]
[paragraph, [598.0, 1070.0, 441.0, 36.0], shoonya_2sNUDHK7DVWJIF, 5696106]
[paragraph, [598.0, 1106.0, 441.0, 36.0], shoonya_2sNUDHK7DVWJIF, 5696106]
[paragraph, [598.0, 1142.0, 441.0, 36.0], shoonya_2sNUDHK7DVWJIF, 5696106]
[paragraph, [598.0, 1178.0, 441.0, 36.0], shoonya_2sNUDHK7DVWJIF, 5696106]
[paragraph, [598.0, 1214.0, 441.0, 36.0], shoonya_2sNUDHK7DVWJIF, 5696106]
[paragraph, [598.0, 1250.0, 441.0, 36.0], shoonya_2sNUDHK7DVWJIF, 5696106]
[paragraph, [598.0, 1286.0, 441.0, 36.0], shoonya_2sNUDHK7DVWJIF, 5696106]
[paragraph, [598.0, 1322.0, 441.0, 36.0], shoonya_2sNUDHK7DVWJIF, 5696106]
[folio, [48.0, 1007.0, 79.0, 36.0], tBhfCLS4Jy, 5696106]
[folio, [48.0, 1115.0, 79.0, 36.0], tBhfCLS4Jy, 5696106]
[paragraph, [601.0, 1377.0, 444.0, 36.0], shoonya_4sMJKEMTPSOJVA, 5696106]
[paragraph, [140.0, 1428.0, 438.0, 36.0], shoonya_3s8YHRRP1DA6W0, 5696106]
[paragraph, [140.0, 1464.0, 438.0, 36.0], shoonya_3s8YHRRP1DA6W0, 5696106]
[ordered-list, [602.0, 1443.0, 334.0, 36.0], d00EavDi8E, 5696106]
[ordered-list, [602.0, 1479.0, 334.0, 36.0], d00EavDi8E, 5696106]
