[1754, 1241]
[folio, [141.0, 114.0, 200.0, 36.0], s0T3mridw2, 5747271]
[paragraph, [139.0, 148.0, 955.0, 36.0], shoonya_2sDHV8SRCOAHMF, 5747271]
[paragraph, [139.0, 184.0, 955.0, 36.0], shoonya_2sDHV8SRCOAHMF, 5747271]
[paragraph, [139.0, 220.0, 955.0, 36.0], shoonya_2sDHV8SRCOAHMF, 5747271]
[paragraph, [139.0, 256.0, 955.0, 36.0], shoonya_2sDHV8SRCOAHMF, 5747271]
[paragraph, [139.0, 292.0, 955.0, 36.0], shoonya_2sDHV8SRCOAHMF, 5747271]
[paragraph, [139.0, 328.0, 955.0, 36.0], shoonya_2sDHV8SRCOAHMF, 5747271]
[paragraph, [139.0, 364.0, 955.0, 36.0], shoonya_2sDHV8SRCOAHMF, 5747271]
[paragraph, [139.0, 400.0, 955.0, 36.0], shoonya_2sDHV8SRCOAHMF, 5747271]
[paragraph, [139.0, 436.0, 955.0, 36.0], shoonya_2sDHV8SRCOAHMF, 5747271]
[paragraph, [139.0, 472.0, 955.0, 36.0], shoonya_2sDHV8SRCOAHMF, 5747271]
[paragraph, [139.0, 508.0, 955.0, 36.0], shoonya_2sDHV8SRCOAHMF, 5747271]
[paragraph, [139.0, 544.0, 955.0, 36.0], shoonya_2sDHV8SRCOAHMF, 5747271]
[paragraph, [142.0, 621.0, 955.0, 36.0], 4JsnbUv5vJ, 5747271]
[paragraph, [142.0, 657.0, 955.0, 36.0], 4JsnbUv5vJ, 5747271]
[paragraph, [142.0, 693.0, 955.0, 36.0], 4JsnbUv5vJ, 5747271]
[paragraph, [141.0, 764.0, 961.0, 36.0], PSzHmHQejQ, 5747271]
[paragraph, [141.0, 800.0, 961.0, 36.0], PSzHmHQejQ, 5747271]
[paragraph, [141.0, 836.0, 961.0, 36.0], PSzHmHQejQ, 5747271]
[paragraph, [141.0, 872.0, 961.0, 36.0], PSzHmHQejQ, 5747271]
