[792, 524]
[folio, [386.0, 32.0, 93.0, 18.0], -b9Qe21g-C, 6513842]
[folio, [200.0, 36.0, 124.0, 18.0], shoonya_7sG5RF4MR732XJ, 6513842]
[paragraph, [59.0, 79.0, 422.0, 18.0], shoonya_0s69K7DKMVNI59, 6513842]
[paragraph, [59.0, 97.0, 422.0, 18.0], shoonya_0s69K7DKMVNI59, 6513842]
[paragraph, [59.0, 115.0, 422.0, 18.0], shoonya_0s69K7DKMVNI59, 6513842]
[paragraph, [59.0, 133.0, 422.0, 18.0], shoonya_0s69K7DKMVNI59, 6513842]
[paragraph, [59.0, 151.0, 422.0, 18.0], shoonya_0s69K7DKMVNI59, 6513842]
[paragraph, [59.0, 169.0, 422.0, 18.0], shoonya_0s69K7DKMVNI59, 6513842]
[paragraph, [59.0, 187.0, 422.0, 18.0], shoonya_0s69K7DKMVNI59, 6513842]
[paragraph, [59.0, 205.0, 422.0, 18.0], shoonya_0s69K7DKMVNI59, 6513842]
[paragraph, [59.0, 223.0, 422.0, 18.0], shoonya_0s69K7DKMVNI59, 6513842]
[paragraph, [60.0, 251.0, 423.0, 18.0], shoonya_6sLR8TGT8VSX0E, 6513842]
[paragraph, [60.0, 269.0, 423.0, 18.0], shoonya_6sLR8TGT8VSX0E, 6513842]
[paragraph, [60.0, 287.0, 423.0, 18.0], shoonya_6sLR8TGT8VSX0E, 6513842]
[paragraph, [60.0, 305.0, 423.0, 18.0], shoonya_6sLR8TGT8VSX0E, 6513842]
[paragraph, [60.0, 323.0, 423.0, 18.0], shoonya_6sLR8TGT8VSX0E, 6513842]
[paragraph, [60.0, 341.0, 423.0, 18.0], shoonya_6sLR8TGT8VSX0E, 6513842]
[paragraph, [60.0, 359.0, 423.0, 18.0], shoonya_6sLR8TGT8VSX0E, 6513842]
[paragraph, [60.0, 377.0, 423.0, 18.0], shoonya_6sLR8TGT8VSX0E, 6513842]
[paragraph, [63.0, 407.0, 410.0, 18.0], shoonya_1s0BEZXYBL2Z89, 6513842]
[paragraph, [63.0, 425.0, 410.0, 18.0], shoonya_1s0BEZXYBL2Z89, 6513842]
[paragraph, [63.0, 443.0, 410.0, 18.0], shoonya_1s0BEZXYBL2Z89, 6513842]
[paragraph, [63.0, 461.0, 410.0, 18.0], shoonya_1s0BEZXYBL2Z89, 6513842]
[paragraph, [63.0, 479.0, 410.0, 18.0], shoonya_1s0BEZXYBL2Z89, 6513842]
[paragraph, [63.0, 497.0, 410.0, 18.0], shoonya_1s0BEZXYBL2Z89, 6513842]
[paragraph, [63.0, 515.0, 410.0, 18.0], shoonya_1s0BEZXYBL2Z89, 6513842]
[paragraph, [63.0, 534.0, 415.0, 18.0], shoonya_2s41H111SROL8B, 6513842]
[paragraph, [63.0, 552.0, 415.0, 18.0], shoonya_2s41H111SROL8B, 6513842]
[paragraph, [63.0, 570.0, 415.0, 18.0], shoonya_2s41H111SROL8B, 6513842]
[paragraph, [63.0, 588.0, 415.0, 18.0], shoonya_2s41H111SROL8B, 6513842]
[paragraph, [62.0, 606.0, 415.0, 18.0], shoonya_3s4S7NCBT4SN97, 6513842]
[paragraph, [62.0, 624.0, 415.0, 18.0], shoonya_3s4S7NCBT4SN97, 6513842]
[paragraph, [62.0, 642.0, 415.0, 18.0], shoonya_3s4S7NCBT4SN97, 6513842]
[paragraph, [62.0, 660.0, 415.0, 18.0], shoonya_3s4S7NCBT4SN97, 6513842]
[footnote, [70.0, 688.0, 391.0, 18.0], shoonya_8sCGYRVR710FPT, 6513842]
[footnote, [70.0, 706.0, 391.0, 18.0], shoonya_8sCGYRVR710FPT, 6513842]
[footnote, [70.0, 724.0, 391.0, 18.0], shoonya_8sCGYRVR710FPT, 6513842]
