[792, 612]
[paragraph, [75.0, 3.0, 149.0, 18.0], shoonya_0sQG9G6QJLL9TK, 6515596]
[paragraph, [75.0, 21.0, 149.0, 18.0], shoonya_0sQG9G6QJLL9TK, 6515596]
[paragraph, [75.0, 39.0, 149.0, 18.0], shoonya_0sQG9G6QJLL9TK, 6515596]
[paragraph, [75.0, 57.0, 149.0, 18.0], shoonya_0sQG9G6QJLL9TK, 6515596]
[paragraph, [75.0, 75.0, 149.0, 18.0], shoonya_0sQG9G6QJLL9TK, 6515596]
[paragraph, [75.0, 93.0, 149.0, 18.0], shoonya_0sQG9G6QJLL9TK, 6515596]
[paragraph, [231.0, 5.0, 150.0, 18.0], 7HGOvdFiVD, 6515596]
[paragraph, [231.0, 23.0, 150.0, 18.0], 7HGOvdFiVD, 6515596]
[paragraph, [231.0, 41.0, 150.0, 18.0], 7HGOvdFiVD, 6515596]
[paragraph, [231.0, 59.0, 150.0, 18.0], 7HGOvdFiVD, 6515596]
[paragraph, [231.0, 77.0, 150.0, 18.0], 7HGOvdFiVD, 6515596]
[paragraph, [231.0, 95.0, 150.0, 18.0], 7HGOvdFiVD, 6515596]
[paragraph, [231.0, 113.0, 150.0, 18.0], 7HGOvdFiVD, 6515596]
[paragraph, [231.0, 131.0, 150.0, 18.0], 7HGOvdFiVD, 6515596]
[paragraph, [231.0, 149.0, 150.0, 18.0], 7HGOvdFiVD, 6515596]
[paragraph, [231.0, 167.0, 150.0, 18.0], 7HGOvdFiVD, 6515596]
[paragraph, [231.0, 185.0, 150.0, 18.0], 7HGOvdFiVD, 6515596]
[paragraph, [231.0, 203.0, 150.0, 18.0], 7HGOvdFiVD, 6515596]
[paragraph, [231.0, 221.0, 150.0, 18.0], 7HGOvdFiVD, 6515596]
[paragraph, [231.0, 239.0, 150.0, 18.0], 7HGOvdFiVD, 6515596]
[paragraph, [231.0, 257.0, 150.0, 18.0], 7HGOvdFiVD, 6515596]
[paragraph, [231.0, 275.0, 150.0, 18.0], 7HGOvdFiVD, 6515596]
[paragraph, [231.0, 293.0, 150.0, 18.0], 7HGOvdFiVD, 6515596]
[paragraph, [231.0, 311.0, 150.0, 18.0], 7HGOvdFiVD, 6515596]
[paragraph, [389.0, 34.0, 146.0, 18.0], oybZnHL0sH, 6515596]
[paragraph, [389.0, 52.0, 146.0, 18.0], oybZnHL0sH, 6515596]
[paragraph, [388.0, 91.0, 147.0, 18.0], u3oOuLOgV1, 6515596]
[paragraph, [388.0, 109.0, 147.0, 18.0], u3oOuLOgV1, 6515596]
[paragraph, [75.0, 135.0, 147.0, 18.0], C51GZClkpN, 6515596]
[paragraph, [75.0, 153.0, 147.0, 18.0], C51GZClkpN, 6515596]
[paragraph, [75.0, 171.0, 147.0, 18.0], C51GZClkpN, 6515596]
[paragraph, [75.0, 189.0, 147.0, 18.0], C51GZClkpN, 6515596]
[paragraph, [75.0, 207.0, 147.0, 18.0], C51GZClkpN, 6515596]
[paragraph, [75.0, 225.0, 147.0, 18.0], C51GZClkpN, 6515596]
[paragraph, [75.0, 243.0, 147.0, 18.0], C51GZClkpN, 6515596]
[paragraph, [75.0, 261.0, 147.0, 18.0], C51GZClkpN, 6515596]
[paragraph, [75.0, 279.0, 147.0, 18.0], C51GZClkpN, 6515596]
[paragraph, [75.0, 297.0, 147.0, 18.0], C51GZClkpN, 6515596]
[paragraph, [75.0, 315.0, 147.0, 18.0], C51GZClkpN, 6515596]
[paragraph, [388.0, 148.0, 146.0, 18.0], 4cqlzt3USP, 6515596]
[paragraph, [388.0, 166.0, 146.0, 18.0], 4cqlzt3USP, 6515596]
[paragraph, [388.0, 206.0, 146.0, 18.0], W2TAaKaLme, 6515596]
[paragraph, [388.0, 224.0, 146.0, 18.0], W2TAaKaLme, 6515596]
[paragraph, [388.0, 277.0, 146.0, 18.0], ig8TBIEwOM, 6515596]
[paragraph, [388.0, 295.0, 146.0, 18.0], ig8TBIEwOM, 6515596]
[paragraph, [388.0, 313.0, 146.0, 18.0], ig8TBIEwOM, 6515596]
[paragraph, [77.0, 349.0, 147.0, 18.0], iVip87hRJz, 6515596]
[paragraph, [77.0, 367.0, 147.0, 18.0], iVip87hRJz, 6515596]
[paragraph, [77.0, 385.0, 147.0, 18.0], iVip87hRJz, 6515596]
[paragraph, [77.0, 403.0, 147.0, 18.0], iVip87hRJz, 6515596]
[paragraph, [77.0, 421.0, 147.0, 18.0], iVip87hRJz, 6515596]
[paragraph, [77.0, 439.0, 147.0, 18.0], iVip87hRJz, 6515596]
[paragraph, [77.0, 457.0, 147.0, 18.0], iVip87hRJz, 6515596]
[paragraph, [77.0, 475.0, 147.0, 18.0], iVip87hRJz, 6515596]
[paragraph, [77.0, 493.0, 147.0, 18.0], iVip87hRJz, 6515596]
[paragraph, [77.0, 511.0, 147.0, 18.0], iVip87hRJz, 6515596]
[paragraph, [77.0, 529.0, 147.0, 18.0], iVip87hRJz, 6515596]
[paragraph, [77.0, 547.0, 147.0, 18.0], iVip87hRJz, 6515596]
[paragraph, [77.0, 565.0, 147.0, 18.0], iVip87hRJz, 6515596]
[paragraph, [77.0, 583.0, 147.0, 18.0], iVip87hRJz, 6515596]
[paragraph, [77.0, 601.0, 147.0, 18.0], iVip87hRJz, 6515596]
[paragraph, [233.0, 350.0, 147.0, 18.0], cLsV_8bzcJ, 6515596]
[paragraph, [233.0, 368.0, 147.0, 18.0], cLsV_8bzcJ, 6515596]
[paragraph, [233.0, 386.0, 147.0, 18.0], cLsV_8bzcJ, 6515596]
[paragraph, [233.0, 404.0, 147.0, 18.0], cLsV_8bzcJ, 6515596]
[paragraph, [233.0, 422.0, 147.0, 18.0], cLsV_8bzcJ, 6515596]
[paragraph, [233.0, 440.0, 147.0, 18.0], cLsV_8bzcJ, 6515596]
