[1755, 1241]
[paragraph, [99.0, 149.0, 1045.0, 36.0], shoonya_0sJIOG7QJTJ9JA, 5781510]
[paragraph, [99.0, 185.0, 1045.0, 36.0], shoonya_0sJIOG7QJTJ9JA, 5781510]
[paragraph, [99.0, 221.0, 1045.0, 36.0], shoonya_0sJIOG7QJTJ9JA, 5781510]
[paragraph, [99.0, 257.0, 1045.0, 36.0], shoonya_0sJIOG7QJTJ9JA, 5781510]
[paragraph, [99.0, 333.0, 1054.0, 36.0], RanwO7jXLi, 5781510]
[paragraph, [99.0, 369.0, 1054.0, 36.0], RanwO7jXLi, 5781510]
[paragraph, [99.0, 405.0, 1054.0, 36.0], RanwO7jXLi, 5781510]
[paragraph, [99.0, 441.0, 1054.0, 36.0], RanwO7jXLi, 5781510]
[paragraph, [99.0, 477.0, 1054.0, 36.0], RanwO7jXLi, 5781510]
[paragraph, [99.0, 513.0, 1054.0, 36.0], RanwO7jXLi, 5781510]
[paragraph, [99.0, 549.0, 1054.0, 36.0], RanwO7jXLi, 5781510]
[paragraph, [99.0, 585.0, 1054.0, 36.0], RanwO7jXLi, 5781510]
[paragraph, [99.0, 621.0, 1054.0, 36.0], RanwO7jXLi, 5781510]
[paragraph, [97.0, 668.0, 1057.0, 36.0], 09Z_i1eWgj, 5781510]
[paragraph, [97.0, 756.0, 1061.0, 36.0], z-cn4hKks-, 5781510]
[paragraph, [97.0, 792.0, 1061.0, 36.0], z-cn4hKks-, 5781510]
[paragraph, [97.0, 828.0, 1061.0, 36.0], z-cn4hKks-, 5781510]
[paragraph, [97.0, 864.0, 1061.0, 36.0], z-cn4hKks-, 5781510]
[paragraph, [97.0, 900.0, 1061.0, 36.0], z-cn4hKks-, 5781510]
[paragraph, [97.0, 936.0, 1061.0, 36.0], z-cn4hKks-, 5781510]
[paragraph, [97.0, 972.0, 1061.0, 36.0], z-cn4hKks-, 5781510]
[paragraph, [97.0, 1008.0, 1061.0, 36.0], z-cn4hKks-, 5781510]
[paragraph, [97.0, 1044.0, 1061.0, 36.0], z-cn4hKks-, 5781510]
[paragraph, [97.0, 1080.0, 1061.0, 36.0], z-cn4hKks-, 5781510]
[paragraph, [97.0, 1116.0, 1061.0, 36.0], z-cn4hKks-, 5781510]
[paragraph, [96.0, 1213.0, 1061.0, 36.0], B_0y3ZWljX, 5781510]
[paragraph, [96.0, 1249.0, 1061.0, 36.0], B_0y3ZWljX, 5781510]
[paragraph, [96.0, 1285.0, 1061.0, 36.0], B_0y3ZWljX, 5781510]
[paragraph, [96.0, 1321.0, 1061.0, 36.0], B_0y3ZWljX, 5781510]
[paragraph, [96.0, 1357.0, 1061.0, 36.0], B_0y3ZWljX, 5781510]
[paragraph, [96.0, 1393.0, 1061.0, 36.0], B_0y3ZWljX, 5781510]
[paragraph, [96.0, 1429.0, 1061.0, 36.0], B_0y3ZWljX, 5781510]
[paragraph, [96.0, 1465.0, 1061.0, 36.0], B_0y3ZWljX, 5781510]
[paragraph, [96.0, 1501.0, 1061.0, 36.0], B_0y3ZWljX, 5781510]
[paragraph, [96.0, 1537.0, 1061.0, 36.0], B_0y3ZWljX, 5781510]
