[585, 406]
[section-title, [58.0, 102.0, 271.0, 30.0], shoonya_6sRJFU0EQLQAH8, 6494876]
[author, [258.0, 152.0, 86.0, 18.0], shoonya_4s2E8BESKM7ZFB, 6494876]
[paragraph, [37.0, 178.0, 306.0, 18.0], shoonya_0s9FS91MR1EZ38, 6494876]
[paragraph, [37.0, 196.0, 306.0, 18.0], shoonya_0s9FS91MR1EZ38, 6494876]
[paragraph, [37.0, 214.0, 306.0, 18.0], shoonya_0s9FS91MR1EZ38, 6494876]
[paragraph, [37.0, 232.0, 306.0, 18.0], shoonya_0s9FS91MR1EZ38, 6494876]
[paragraph, [37.0, 250.0, 306.0, 18.0], shoonya_0s9FS91MR1EZ38, 6494876]
[paragraph, [37.0, 268.0, 306.0, 18.0], shoonya_0s9FS91MR1EZ38, 6494876]
[paragraph, [37.0, 286.0, 306.0, 18.0], shoonya_0s9FS91MR1EZ38, 6494876]
[paragraph, [37.0, 304.0, 306.0, 18.0], shoonya_0s9FS91MR1EZ38, 6494876]
[paragraph, [40.0, 323.0, 308.0, 18.0], 7hirzXhNvj, 6494876]
[paragraph, [40.0, 341.0, 308.0, 18.0], 7hirzXhNvj, 6494876]
[paragraph, [40.0, 359.0, 308.0, 18.0], 7hirzXhNvj, 6494876]
[paragraph, [40.0, 377.0, 308.0, 18.0], 7hirzXhNvj, 6494876]
[paragraph, [40.0, 395.0, 308.0, 18.0], 7hirzXhNvj, 6494876]
[paragraph, [40.0, 413.0, 308.0, 18.0], 7hirzXhNvj, 6494876]
[paragraph, [39.0, 451.0, 311.0, 18.0], F_iEJtIKBf, 6494876]
[paragraph, [39.0, 469.0, 311.0, 18.0], F_iEJtIKBf, 6494876]
[paragraph, [39.0, 487.0, 311.0, 18.0], F_iEJtIKBf, 6494876]
[paragraph, [39.0, 505.0, 311.0, 18.0], F_iEJtIKBf, 6494876]
