[1754, 1241]
[paragraph, [232.0, 103.0, 193.0, 36.0], _WXxlQFCnm, 5706500]
[ordered-list, [145.0, 168.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 204.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 240.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 276.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 312.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 348.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 384.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 420.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 456.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 492.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 528.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 564.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 600.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 636.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 672.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 708.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 744.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 780.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 816.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 852.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 888.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 924.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 960.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 996.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 1032.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 1068.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 1104.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 1140.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 1176.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 1212.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 1248.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 1284.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 1320.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 1356.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 1392.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[ordered-list, [145.0, 1428.0, 797.0, 36.0], EURH6nP2LD, 5706500]
[sidebar, [945.0, 337.0, 142.0, 36.0], J50biUHtR4, 5706500]
[sidebar, [945.0, 373.0, 142.0, 36.0], J50biUHtR4, 5706500]
[sidebar, [945.0, 409.0, 142.0, 36.0], J50biUHtR4, 5706500]
[sub-ordered-list, [263.0, 582.0, 673.0, 36.0], w-VBwe5dAj, 5706500]
[sub-ordered-list, [263.0, 618.0, 673.0, 36.0], w-VBwe5dAj, 5706500]
[sub-ordered-list, [263.0, 654.0, 673.0, 36.0], w-VBwe5dAj, 5706500]
[sub-ordered-list, [263.0, 690.0, 673.0, 36.0], w-VBwe5dAj, 5706500]
[sub-ordered-list, [263.0, 726.0, 673.0, 36.0], w-VBwe5dAj, 5706500]
[sub-ordered-list, [263.0, 762.0, 673.0, 36.0], w-VBwe5dAj, 5706500]
[sub-ordered-list, [263.0, 798.0, 673.0, 36.0], w-VBwe5dAj, 5706500]
[sub-ordered-list, [263.0, 834.0, 673.0, 36.0], w-VBwe5dAj, 5706500]
[sub-ordered-list, [263.0, 870.0, 673.0, 36.0], w-VBwe5dAj, 5706500]
[sub-ordered-list, [263.0, 906.0, 673.0, 36.0], w-VBwe5dAj, 5706500]
[sub-ordered-list, [263.0, 942.0, 673.0, 36.0], w-VBwe5dAj, 5706500]
[sub-ordered-list, [263.0, 978.0, 673.0, 36.0], w-VBwe5dAj, 5706500]
[sub-ordered-list, [263.0, 1014.0, 673.0, 36.0], w-VBwe5dAj, 5706500]
[sub-ordered-list, [263.0, 1050.0, 673.0, 36.0], w-VBwe5dAj, 5706500]
[sub-ordered-list, [263.0, 1086.0, 673.0, 36.0], w-VBwe5dAj, 5706500]
[sub-ordered-list, [263.0, 1122.0, 673.0, 36.0], w-VBwe5dAj, 5706500]
[sub-ordered-list, [263.0, 1158.0, 673.0, 36.0], w-VBwe5dAj, 5706500]
[sub-ordered-list, [263.0, 1194.0, 673.0, 36.0], w-VBwe5dAj, 5706500]
[sub-ordered-list, [263.0, 1230.0, 673.0, 36.0], w-VBwe5dAj, 5706500]
[sub-ordered-list, [263.0, 1266.0, 673.0, 36.0], w-VBwe5dAj, 5706500]
