[792, 612]
[headline, [0.0, 0.0, 611.0, 25.5], shoonya_5sTUIFWTJ1GFS5, 5744758]
[headline, [0.0, 25.5, 611.0, 25.5], shoonya_5sTUIFWTJ1GFS5, 5744758]
[headline, [0.0, 51.0, 611.0, 25.5], shoonya_5sTUIFWTJ1GFS5, 5744758]
[paragraph, [433.0, 161.0, 145.0, 18.0], d00l1tYqmE, 5744758]
[paragraph, [433.0, 179.0, 145.0, 18.0], d00l1tYqmE, 5744758]
[paragraph, [433.0, 197.0, 145.0, 18.0], d00l1tYqmE, 5744758]
[paragraph, [160.0, 177.0, 113.0, 18.0], UdAo4_m1yl, 5744758]
[paragraph, [160.0, 195.0, 113.0, 18.0], UdAo4_m1yl, 5744758]
[section-title, [82.0, 254.0, 74.0, 30.0], nrk3bTMNHy, 5744758]
[section-title, [265.0, 256.0, 79.0, 30.0], K0UYJDUyH-, 5744758]
[unordered-list, [42.0, 347.0, 143.0, 18.0], shoonya_2sW4NPDT43BHYI, 5744758]
[unordered-list, [42.0, 365.0, 143.0, 18.0], shoonya_2sW4NPDT43BHYI, 5744758]
[unordered-list, [42.0, 383.0, 143.0, 18.0], shoonya_2sW4NPDT43BHYI, 5744758]
[unordered-list, [42.0, 401.0, 143.0, 18.0], shoonya_2sW4NPDT43BHYI, 5744758]
[unordered-list, [42.0, 419.0, 143.0, 18.0], shoonya_2sW4NPDT43BHYI, 5744758]
[unordered-list, [42.0, 437.0, 143.0, 18.0], shoonya_2sW4NPDT43BHYI, 5744758]
[unordered-list, [42.0, 455.0, 143.0, 18.0], shoonya_2sW4NPDT43BHYI, 5744758]
[unordered-list, [403.0, 348.0, 158.0, 18.0], HQJnqbgr1b, 5744758]
[unordered-list, [403.0, 366.0, 158.0, 18.0], HQJnqbgr1b, 5744758]
[unordered-list, [223.0, 350.0, 157.0, 18.0], shoonya_7sG5W4AZRZZDV1, 5744758]
[unordered-list, [223.0, 368.0, 157.0, 18.0], shoonya_7sG5W4AZRZZDV1, 5744758]
[unordered-list, [223.0, 386.0, 157.0, 18.0], shoonya_7sG5W4AZRZZDV1, 5744758]
[unordered-list, [223.0, 404.0, 157.0, 18.0], shoonya_7sG5W4AZRZZDV1, 5744758]
[unordered-list, [223.0, 422.0, 157.0, 18.0], shoonya_7sG5W4AZRZZDV1, 5744758]
[unordered-list, [223.0, 440.0, 157.0, 18.0], shoonya_7sG5W4AZRZZDV1, 5744758]
[unordered-list, [223.0, 458.0, 157.0, 18.0], shoonya_7sG5W4AZRZZDV1, 5744758]
[unordered-list, [223.0, 476.0, 157.0, 18.0], shoonya_7sG5W4AZRZZDV1, 5744758]
[sub-unordered-list, [50.0, 439.0, 105.0, 18.0], KVStgTgTNP, 5744758]
[sub-unordered-list, [50.0, 457.0, 105.0, 18.0], KVStgTgTNP, 5744758]
[paragraph, [247.0, 611.0, 135.0, 18.0], vlHLiigJA2, 5744758]
[paragraph, [481.0, 613.0, 115.0, 18.0], Vsra-2aX00, 5744758]
[paragraph, [481.0, 631.0, 115.0, 18.0], Vsra-2aX00, 5744758]
[paragraph, [481.0, 649.0, 115.0, 18.0], Vsra-2aX00, 5744758]
[paragraph, [249.0, 644.0, 158.0, 18.0], zOKG6ryVeG, 5744758]
[paragraph, [249.0, 662.0, 158.0, 18.0], zOKG6ryVeG, 5744758]
[paragraph, [249.0, 680.0, 158.0, 18.0], zOKG6ryVeG, 5744758]
[folio, [426.0, 695.0, 138.0, 18.0], mPxjtHy113, 5744758]
[folio, [426.0, 713.0, 138.0, 18.0], mPxjtHy113, 5744758]
[folio, [426.0, 731.0, 138.0, 18.0], mPxjtHy113, 5744758]
[folio, [426.0, 749.0, 138.0, 18.0], mPxjtHy113, 5744758]
[folio, [426.0, 767.0, 138.0, 18.0], mPxjtHy113, 5744758]
[footnote, [34.0, 747.0, 362.0, 18.0], shoonya_1sNA78B3UM2FDP, 5744758]
