[1755, 1240]
[flag, [102.0, 242.0, 509.0, 36.0], shoonya_5sDVCSXTULPW6L, 6472589]
[headline, [672.0, 245.0, 439.0, 37.5], shoonya_3s1YWL9IM8YFBY, 6472589]
[author, [101.0, 303.0, 279.0, 36.0], ZVwLkeSSLb, 6472589]
[paragraph, [646.0, 305.0, 508.0, 36.0], shoonya_0sCRAEXQ25C8WF, 6472589]
[paragraph, [646.0, 341.0, 508.0, 36.0], shoonya_0sCRAEXQ25C8WF, 6472589]
[paragraph, [646.0, 377.0, 508.0, 36.0], shoonya_0sCRAEXQ25C8WF, 6472589]
[paragraph, [646.0, 413.0, 508.0, 36.0], shoonya_0sCRAEXQ25C8WF, 6472589]
[paragraph, [646.0, 449.0, 508.0, 36.0], shoonya_0sCRAEXQ25C8WF, 6472589]
[paragraph, [646.0, 485.0, 508.0, 36.0], shoonya_0sCRAEXQ25C8WF, 6472589]
[author, [108.0, 375.0, 242.0, 36.0], ONYoPaY7z2, 6472589]
[author, [108.0, 443.0, 320.0, 36.0], 1TmU7NG7oS, 6472589]
[author, [108.0, 510.0, 290.0, 36.0], NhZABtmtpl, 6472589]
[author, [108.0, 546.0, 290.0, 36.0], NhZABtmtpl, 6472589]
[paragraph, [646.0, 558.0, 504.0, 36.0], shoonya_1sF1Q240EEA5R1, 6472589]
[paragraph, [646.0, 594.0, 504.0, 36.0], shoonya_1sF1Q240EEA5R1, 6472589]
[paragraph, [646.0, 630.0, 504.0, 36.0], shoonya_1sF1Q240EEA5R1, 6472589]
[paragraph, [646.0, 666.0, 504.0, 36.0], shoonya_1sF1Q240EEA5R1, 6472589]
[paragraph, [646.0, 702.0, 504.0, 36.0], shoonya_1sF1Q240EEA5R1, 6472589]
[paragraph, [646.0, 738.0, 504.0, 36.0], shoonya_1sF1Q240EEA5R1, 6472589]
[paragraph, [646.0, 774.0, 504.0, 36.0], shoonya_1sF1Q240EEA5R1, 6472589]
[paragraph, [646.0, 810.0, 504.0, 36.0], shoonya_1sF1Q240EEA5R1, 6472589]
[paragraph, [646.0, 846.0, 504.0, 36.0], shoonya_1sF1Q240EEA5R1, 6472589]
[paragraph, [646.0, 882.0, 504.0, 36.0], shoonya_1sF1Q240EEA5R1, 6472589]
[author, [114.0, 596.0, 270.0, 36.0], zWuqlPddIt, 6472589]
[author, [114.0, 632.0, 270.0, 36.0], zWuqlPddIt, 6472589]
[author, [114.0, 668.0, 270.0, 36.0], zWuqlPddIt, 6472589]
[author, [103.0, 736.0, 430.0, 36.0], j_WbSNeeNM, 6472589]
[author, [103.0, 772.0, 430.0, 36.0], j_WbSNeeNM, 6472589]
[author, [103.0, 808.0, 430.0, 36.0], j_WbSNeeNM, 6472589]
[author, [103.0, 844.0, 430.0, 36.0], j_WbSNeeNM, 6472589]
[contact-info, [99.0, 913.0, 401.0, 36.0], JtEpgs2AY0, 6472589]
[contact-info, [99.0, 949.0, 401.0, 36.0], JtEpgs2AY0, 6472589]
[contact-info, [99.0, 985.0, 401.0, 36.0], JtEpgs2AY0, 6472589]
[contact-info, [99.0, 1021.0, 401.0, 36.0], JtEpgs2AY0, 6472589]
[contact-info, [99.0, 1057.0, 401.0, 36.0], JtEpgs2AY0, 6472589]
[contact-info, [99.0, 1093.0, 401.0, 36.0], JtEpgs2AY0, 6472589]
