[911, 561]
[chapter-title, [215.0, 134.0, 165.0, 30.0], shoonya_0sUT71WF1US60Q, 5775719]
[paragraph, [31.0, 182.0, 523.0, 18.0], xwY5fvPrpz, 5775719]
[paragraph, [31.0, 200.0, 523.0, 18.0], xwY5fvPrpz, 5775719]
[paragraph, [31.0, 218.0, 523.0, 18.0], xwY5fvPrpz, 5775719]
[paragraph, [30.0, 254.0, 523.0, 18.0], X3jpY7zW0l, 5775719]
[paragraph, [30.0, 272.0, 523.0, 18.0], X3jpY7zW0l, 5775719]
[paragraph, [30.0, 290.0, 523.0, 18.0], X3jpY7zW0l, 5775719]
[paragraph, [30.0, 308.0, 523.0, 18.0], X3jpY7zW0l, 5775719]
[paragraph, [30.0, 326.0, 523.0, 18.0], X3jpY7zW0l, 5775719]
[paragraph, [30.0, 344.0, 523.0, 18.0], X3jpY7zW0l, 5775719]
[paragraph, [30.0, 362.0, 523.0, 18.0], X3jpY7zW0l, 5775719]
[paragraph, [30.0, 380.0, 523.0, 18.0], X3jpY7zW0l, 5775719]
[paragraph, [31.0, 410.0, 529.0, 18.0], 2hx5mhkMsr, 5775719]
[paragraph, [31.0, 428.0, 529.0, 18.0], 2hx5mhkMsr, 5775719]
[paragraph, [31.0, 446.0, 529.0, 18.0], 2hx5mhkMsr, 5775719]
[paragraph, [31.0, 464.0, 529.0, 18.0], 2hx5mhkMsr, 5775719]
[paragraph, [31.0, 482.0, 529.0, 18.0], 2hx5mhkMsr, 5775719]
[paragraph, [31.0, 500.0, 529.0, 18.0], 2hx5mhkMsr, 5775719]
[paragraph, [31.0, 518.0, 529.0, 18.0], 2hx5mhkMsr, 5775719]
[paragraph, [31.0, 536.0, 529.0, 18.0], 2hx5mhkMsr, 5775719]
[paragraph, [31.0, 554.0, 529.0, 18.0], 2hx5mhkMsr, 5775719]
[paragraph, [31.0, 572.0, 529.0, 18.0], 2hx5mhkMsr, 5775719]
[paragraph, [31.0, 590.0, 529.0, 18.0], 2hx5mhkMsr, 5775719]
[paragraph, [31.0, 608.0, 529.0, 18.0], 2hx5mhkMsr, 5775719]
[paragraph, [31.0, 626.0, 529.0, 18.0], 2hx5mhkMsr, 5775719]
[paragraph, [32.0, 639.0, 519.0, 18.0], PI77C52E_3, 5775719]
[paragraph, [32.0, 657.0, 519.0, 18.0], PI77C52E_3, 5775719]
[paragraph, [32.0, 675.0, 519.0, 18.0], PI77C52E_3, 5775719]
[paragraph, [32.0, 693.0, 519.0, 18.0], PI77C52E_3, 5775719]
[paragraph, [32.0, 711.0, 519.0, 18.0], PI77C52E_3, 5775719]
[paragraph, [32.0, 729.0, 519.0, 18.0], PI77C52E_3, 5775719]
[paragraph, [32.0, 747.0, 519.0, 18.0], PI77C52E_3, 5775719]
[paragraph, [43.0, 773.0, 511.0, 18.0], r9xkvafJRO, 5775719]
[paragraph, [43.0, 791.0, 511.0, 18.0], r9xkvafJRO, 5775719]
[paragraph, [43.0, 809.0, 511.0, 18.0], r9xkvafJRO, 5775719]
[paragraph, [43.0, 827.0, 511.0, 18.0], r9xkvafJRO, 5775719]
[footnote, [195.0, 857.0, 208.0, 18.0], UwDxJpnXhO, 5775719]
