[1839, 1268]
[paragraph, [122.0, 183.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 219.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 255.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 291.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 327.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 363.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 399.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 435.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 471.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 507.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 543.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 579.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 615.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 651.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 687.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 723.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 759.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 795.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 831.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 867.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 903.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 939.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 975.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 1011.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 1047.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 1083.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 1119.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 1155.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 1191.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 1227.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 1263.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 1299.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [122.0, 1335.0, 1022.0, 36.0], shoonya_0sW8HBHSWCHQGV, 5743857]
[paragraph, [209.0, 1406.0, 930.0, 36.0], cAyEzh5OZT, 5743857]
[paragraph, [209.0, 1442.0, 930.0, 36.0], cAyEzh5OZT, 5743857]
[paragraph, [209.0, 1478.0, 930.0, 36.0], cAyEzh5OZT, 5743857]
[paragraph, [209.0, 1514.0, 930.0, 36.0], cAyEzh5OZT, 5743857]
