[668, 432]
[folio, [153.0, 53.0, 98.0, 18.0], aZ9scllZjP, 6463618]
[paragraph, [38.0, 90.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 108.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 126.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 144.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 162.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 180.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 198.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 216.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 234.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 252.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 270.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 288.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 306.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 324.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 342.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 360.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 378.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 396.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 414.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 432.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 450.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 468.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 486.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 504.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 522.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 540.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[paragraph, [38.0, 558.0, 321.0, 18.0], shoonya_0sKE0HRL9PZJHX, 6463618]
[footnote, [91.0, 637.0, 252.0, 18.0], xjNJn7SQL7, 6463618]
