[2094, 1538]
[folio, [57.0, 38.0, 203.0, 36.0], ietvJ4YTlE, 5713389]
[paragraph, [39.0, 427.0, 736.0, 36.0], shoonya_0s7978UJBGDWZ8, 5713389]
[paragraph, [39.0, 463.0, 736.0, 36.0], shoonya_0s7978UJBGDWZ8, 5713389]
[paragraph, [39.0, 499.0, 736.0, 36.0], shoonya_0s7978UJBGDWZ8, 5713389]
[paragraph, [39.0, 535.0, 736.0, 36.0], shoonya_0s7978UJBGDWZ8, 5713389]
[paragraph, [39.0, 571.0, 736.0, 36.0], shoonya_0s7978UJBGDWZ8, 5713389]
[paragraph, [39.0, 607.0, 736.0, 36.0], shoonya_0s7978UJBGDWZ8, 5713389]
[paragraph, [39.0, 643.0, 736.0, 36.0], shoonya_0s7978UJBGDWZ8, 5713389]
[paragraph, [784.0, 465.0, 707.0, 36.0], shoonya_5sYPSS5QYFUS4A, 5713389]
[paragraph, [784.0, 501.0, 707.0, 36.0], shoonya_5sYPSS5QYFUS4A, 5713389]
[paragraph, [784.0, 537.0, 707.0, 36.0], shoonya_5sYPSS5QYFUS4A, 5713389]
[paragraph, [784.0, 573.0, 707.0, 36.0], shoonya_5sYPSS5QYFUS4A, 5713389]
[paragraph, [782.0, 617.0, 705.0, 36.0], shoonya_6s8FAM5FXDU3MH, 5713389]
[paragraph, [782.0, 653.0, 705.0, 36.0], shoonya_6s8FAM5FXDU3MH, 5713389]
[paragraph, [782.0, 689.0, 705.0, 36.0], shoonya_6s8FAM5FXDU3MH, 5713389]
[paragraph, [782.0, 725.0, 705.0, 36.0], shoonya_6s8FAM5FXDU3MH, 5713389]
[paragraph, [782.0, 761.0, 705.0, 36.0], shoonya_6s8FAM5FXDU3MH, 5713389]
[paragraph, [782.0, 797.0, 705.0, 36.0], shoonya_6s8FAM5FXDU3MH, 5713389]
[paragraph, [782.0, 833.0, 705.0, 36.0], shoonya_6s8FAM5FXDU3MH, 5713389]
[paragraph, [782.0, 869.0, 705.0, 36.0], shoonya_6s8FAM5FXDU3MH, 5713389]
[paragraph, [782.0, 905.0, 705.0, 36.0], shoonya_6s8FAM5FXDU3MH, 5713389]
[paragraph, [782.0, 941.0, 705.0, 36.0], shoonya_6s8FAM5FXDU3MH, 5713389]
[paragraph, [782.0, 977.0, 705.0, 36.0], shoonya_6s8FAM5FXDU3MH, 5713389]
[paragraph, [782.0, 1013.0, 705.0, 36.0], shoonya_6s8FAM5FXDU3MH, 5713389]
[paragraph, [782.0, 1049.0, 705.0, 36.0], shoonya_6s8FAM5FXDU3MH, 5713389]
[paragraph, [782.0, 1085.0, 705.0, 36.0], shoonya_6s8FAM5FXDU3MH, 5713389]
[paragraph, [782.0, 1121.0, 705.0, 36.0], shoonya_6s8FAM5FXDU3MH, 5713389]
[paragraph, [782.0, 1157.0, 705.0, 36.0], shoonya_6s8FAM5FXDU3MH, 5713389]
[paragraph, [782.0, 1193.0, 705.0, 36.0], shoonya_6s8FAM5FXDU3MH, 5713389]
[paragraph, [782.0, 1229.0, 705.0, 36.0], shoonya_6s8FAM5FXDU3MH, 5713389]
[paragraph, [782.0, 1265.0, 705.0, 36.0], shoonya_6s8FAM5FXDU3MH, 5713389]
[paragraph, [782.0, 1301.0, 705.0, 36.0], shoonya_6s8FAM5FXDU3MH, 5713389]
[paragraph, [782.0, 1337.0, 705.0, 36.0], shoonya_6s8FAM5FXDU3MH, 5713389]
[paragraph, [39.0, 715.0, 738.0, 36.0], shoonya_1s1JQNEACKAQC0, 5713389]
[paragraph, [39.0, 751.0, 738.0, 36.0], shoonya_1s1JQNEACKAQC0, 5713389]
[paragraph, [39.0, 787.0, 738.0, 36.0], shoonya_1s1JQNEACKAQC0, 5713389]
[paragraph, [39.0, 823.0, 738.0, 36.0], shoonya_1s1JQNEACKAQC0, 5713389]
[paragraph, [39.0, 859.0, 738.0, 36.0], shoonya_1s1JQNEACKAQC0, 5713389]
[paragraph, [39.0, 895.0, 738.0, 36.0], shoonya_1s1JQNEACKAQC0, 5713389]
[paragraph, [39.0, 931.0, 738.0, 36.0], shoonya_1s1JQNEACKAQC0, 5713389]
[paragraph, [39.0, 967.0, 738.0, 36.0], shoonya_1s1JQNEACKAQC0, 5713389]
[paragraph, [39.0, 1003.0, 738.0, 36.0], shoonya_1s1JQNEACKAQC0, 5713389]
