[970, 571]
[paragraph, [46.0, 135.0, 472.0, 18.0], shoonya_0s71DZURS1NP7X, 5756324]
[paragraph, [46.0, 153.0, 472.0, 18.0], shoonya_0s71DZURS1NP7X, 5756324]
[ordered-list, [42.0, 172.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 190.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 208.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 226.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 244.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 262.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 280.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 298.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 316.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 334.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 352.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 370.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 388.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 406.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 424.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 442.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 460.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 478.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 496.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 514.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 532.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 550.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 568.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 586.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 604.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 622.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 640.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 658.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 676.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 694.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 712.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 730.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[ordered-list, [42.0, 748.0, 487.0, 18.0], shoonya_3sC9CVC0JH2A7E, 5756324]
[unordered-list, [92.0, 782.0, 435.0, 18.0], shoonya_1s2L0BY1KFWV2F, 5756324]
[unordered-list, [92.0, 800.0, 435.0, 18.0], shoonya_1s2L0BY1KFWV2F, 5756324]
[unordered-list, [92.0, 818.0, 435.0, 18.0], shoonya_1s2L0BY1KFWV2F, 5756324]
[unordered-list, [92.0, 836.0, 435.0, 18.0], shoonya_1s2L0BY1KFWV2F, 5756324]
[unordered-list, [92.0, 854.0, 435.0, 18.0], shoonya_1s2L0BY1KFWV2F, 5756324]
[unordered-list, [92.0, 872.0, 435.0, 18.0], shoonya_1s2L0BY1KFWV2F, 5756324]
[unordered-list, [92.0, 890.0, 435.0, 18.0], shoonya_1s2L0BY1KFWV2F, 5756324]
