[1754, 1241]
[flag, [364.0, 43.0, 579.0, 36.0], shoonya_0sGN16JW9EIRC6, 5718181]
[flag, [364.0, 79.0, 579.0, 36.0], shoonya_0sGN16JW9EIRC6, 5718181]
[flag, [364.0, 115.0, 579.0, 36.0], shoonya_0sGN16JW9EIRC6, 5718181]
[flag, [364.0, 151.0, 579.0, 36.0], shoonya_0sGN16JW9EIRC6, 5718181]
[section-title, [401.0, 308.0, 546.0, 49.5], E-0CeAgaDW, 5718181]
[section-title, [401.0, 357.5, 546.0, 49.5], E-0CeAgaDW, 5718181]
[paragraph, [107.0, 473.0, 1107.0, 36.0], c0NqXTKArC, 5718181]
[paragraph, [107.0, 509.0, 1107.0, 36.0], c0NqXTKArC, 5718181]
[ordered-list, [107.0, 575.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 611.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 647.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 683.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 719.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 755.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 791.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 827.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 863.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 899.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 935.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 971.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 1007.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 1043.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 1079.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 1115.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 1151.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 1187.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 1223.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 1259.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 1295.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 1331.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 1367.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 1403.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 1439.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 1475.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 1511.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 1547.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 1583.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 1619.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[ordered-list, [107.0, 1655.0, 1099.0, 36.0], QZaHN7ygVw, 5718181]
[sub-ordered-list, [147.0, 724.0, 977.0, 36.0], 8xT_FnDFoX, 5718181]
[sub-ordered-list, [147.0, 760.0, 977.0, 36.0], 8xT_FnDFoX, 5718181]
