[752, 553]
[paragraph, [350.0, 59.0, 150.0, 18.0], shoonya_10sIKVCNVOPMRS, 5712857]
[paragraph, [350.0, 77.0, 150.0, 18.0], shoonya_10sIKVCNVOPMRS, 5712857]
[paragraph, [350.0, 95.0, 150.0, 18.0], shoonya_10sIKVCNVOPMRS, 5712857]
[paragraph, [350.0, 113.0, 150.0, 18.0], shoonya_10sIKVCNVOPMRS, 5712857]
[paragraph, [350.0, 131.0, 150.0, 18.0], shoonya_10sIKVCNVOPMRS, 5712857]
[paragraph, [350.0, 149.0, 150.0, 18.0], shoonya_10sIKVCNVOPMRS, 5712857]
[paragraph, [350.0, 167.0, 150.0, 18.0], shoonya_10sIKVCNVOPMRS, 5712857]
[paragraph, [350.0, 185.0, 150.0, 18.0], shoonya_10sIKVCNVOPMRS, 5712857]
[paragraph, [350.0, 203.0, 150.0, 18.0], shoonya_10sIKVCNVOPMRS, 5712857]
[paragraph, [51.0, 62.0, 145.0, 18.0], shoonya_8sX66XJDBYFDKF, 5712857]
[paragraph, [51.0, 80.0, 145.0, 18.0], shoonya_8sX66XJDBYFDKF, 5712857]
[paragraph, [51.0, 98.0, 145.0, 18.0], shoonya_8sX66XJDBYFDKF, 5712857]
[paragraph, [51.0, 116.0, 145.0, 18.0], shoonya_8sX66XJDBYFDKF, 5712857]
[paragraph, [51.0, 134.0, 145.0, 18.0], shoonya_8sX66XJDBYFDKF, 5712857]
[paragraph, [51.0, 152.0, 145.0, 18.0], shoonya_8sX66XJDBYFDKF, 5712857]
[paragraph, [51.0, 170.0, 145.0, 18.0], shoonya_8sX66XJDBYFDKF, 5712857]
[paragraph, [51.0, 188.0, 145.0, 18.0], shoonya_8sX66XJDBYFDKF, 5712857]
[paragraph, [51.0, 206.0, 145.0, 18.0], shoonya_8sX66XJDBYFDKF, 5712857]
[paragraph, [51.0, 224.0, 145.0, 18.0], shoonya_8sX66XJDBYFDKF, 5712857]
[paragraph, [51.0, 242.0, 145.0, 18.0], shoonya_8sX66XJDBYFDKF, 5712857]
[paragraph, [51.0, 260.0, 145.0, 18.0], shoonya_8sX66XJDBYFDKF, 5712857]
[paragraph, [197.0, 63.0, 146.0, 18.0], shoonya_2sCRT0DB993HOW, 5712857]
[paragraph, [197.0, 81.0, 146.0, 18.0], shoonya_2sCRT0DB993HOW, 5712857]
[paragraph, [197.0, 99.0, 146.0, 18.0], shoonya_2sCRT0DB993HOW, 5712857]
[paragraph, [197.0, 117.0, 146.0, 18.0], shoonya_2sCRT0DB993HOW, 5712857]
[paragraph, [197.0, 135.0, 146.0, 18.0], shoonya_2sCRT0DB993HOW, 5712857]
[paragraph, [200.0, 162.0, 143.0, 18.0], 51kIN4kkr3, 5712857]
[paragraph, [200.0, 180.0, 143.0, 18.0], 51kIN4kkr3, 5712857]
[paragraph, [200.0, 198.0, 143.0, 18.0], 51kIN4kkr3, 5712857]
[paragraph, [200.0, 216.0, 143.0, 18.0], 51kIN4kkr3, 5712857]
[paragraph, [200.0, 234.0, 143.0, 18.0], 51kIN4kkr3, 5712857]
[paragraph, [200.0, 252.0, 143.0, 18.0], 51kIN4kkr3, 5712857]
[paragraph, [200.0, 270.0, 143.0, 18.0], 51kIN4kkr3, 5712857]
[paragraph, [200.0, 288.0, 143.0, 18.0], 51kIN4kkr3, 5712857]
[paragraph, [200.0, 306.0, 143.0, 18.0], 51kIN4kkr3, 5712857]
[paragraph, [200.0, 324.0, 143.0, 18.0], 51kIN4kkr3, 5712857]
[paragraph, [200.0, 342.0, 143.0, 18.0], 51kIN4kkr3, 5712857]
[paragraph, [200.0, 360.0, 143.0, 18.0], 51kIN4kkr3, 5712857]
[paragraph, [200.0, 378.0, 143.0, 18.0], 51kIN4kkr3, 5712857]
[paragraph, [200.0, 396.0, 143.0, 18.0], 51kIN4kkr3, 5712857]
[paragraph, [348.0, 228.0, 148.0, 18.0], shoonya_7s1TEU3FJ23K1Y, 5712857]
[paragraph, [348.0, 246.0, 148.0, 18.0], shoonya_7s1TEU3FJ23K1Y, 5712857]
