[2334, 1650]
[paragraph, [196.0, 131.0, 1316.0, 36.0], shoonya_0s4317VYVLX54G, 5652752]
[paragraph, [196.0, 167.0, 1316.0, 36.0], shoonya_0s4317VYVLX54G, 5652752]
[paragraph, [196.0, 203.0, 1316.0, 36.0], shoonya_0s4317VYVLX54G, 5652752]
[paragraph, [196.0, 239.0, 1316.0, 36.0], shoonya_0s4317VYVLX54G, 5652752]
[paragraph, [196.0, 275.0, 1316.0, 36.0], shoonya_0s4317VYVLX54G, 5652752]
[paragraph, [196.0, 311.0, 1316.0, 36.0], shoonya_0s4317VYVLX54G, 5652752]
[paragraph, [196.0, 347.0, 1316.0, 36.0], shoonya_0s4317VYVLX54G, 5652752]
[paragraph, [196.0, 383.0, 1316.0, 36.0], shoonya_0s4317VYVLX54G, 5652752]
[paragraph, [196.0, 419.0, 1316.0, 36.0], shoonya_0s4317VYVLX54G, 5652752]
[paragraph, [196.0, 455.0, 1316.0, 36.0], shoonya_0s4317VYVLX54G, 5652752]
[paragraph, [196.0, 491.0, 1316.0, 36.0], shoonya_0s4317VYVLX54G, 5652752]
[paragraph, [196.0, 527.0, 1316.0, 36.0], shoonya_0s4317VYVLX54G, 5652752]
[paragraph, [196.0, 563.0, 1316.0, 36.0], shoonya_0s4317VYVLX54G, 5652752]
[paragraph, [201.0, 599.0, 1328.0, 36.0], 8C4c0njhTJ, 5652752]
[paragraph, [201.0, 635.0, 1328.0, 36.0], 8C4c0njhTJ, 5652752]
[paragraph, [201.0, 671.0, 1328.0, 36.0], 8C4c0njhTJ, 5652752]
[paragraph, [201.0, 707.0, 1328.0, 36.0], 8C4c0njhTJ, 5652752]
[paragraph, [201.0, 743.0, 1328.0, 36.0], 8C4c0njhTJ, 5652752]
[paragraph, [201.0, 779.0, 1328.0, 36.0], 8C4c0njhTJ, 5652752]
[paragraph, [201.0, 815.0, 1328.0, 36.0], 8C4c0njhTJ, 5652752]
[paragraph, [201.0, 851.0, 1328.0, 36.0], 8C4c0njhTJ, 5652752]
[paragraph, [201.0, 887.0, 1328.0, 36.0], 8C4c0njhTJ, 5652752]
[paragraph, [201.0, 923.0, 1328.0, 36.0], 8C4c0njhTJ, 5652752]
[paragraph, [201.0, 959.0, 1328.0, 36.0], 8C4c0njhTJ, 5652752]
[paragraph, [201.0, 995.0, 1328.0, 36.0], 8C4c0njhTJ, 5652752]
[paragraph, [201.0, 1031.0, 1328.0, 36.0], 8C4c0njhTJ, 5652752]
[paragraph, [201.0, 1067.0, 1328.0, 36.0], 8C4c0njhTJ, 5652752]
[paragraph, [189.0, 1097.0, 1320.0, 36.0], vCuubc81w_, 5652752]
[paragraph, [278.0, 1149.0, 1248.0, 36.0], vl3ej2oRps, 5652752]
[paragraph, [259.0, 1200.0, 1238.0, 36.0], Auz1RM5TZx, 5652752]
[paragraph, [259.0, 1236.0, 1238.0, 36.0], Auz1RM5TZx, 5652752]
[paragraph, [259.0, 1272.0, 1238.0, 36.0], Auz1RM5TZx, 5652752]
[paragraph, [208.0, 1316.0, 1301.0, 36.0], IGMuwFtHv_, 5652752]
[paragraph, [187.0, 1371.0, 1303.0, 36.0], clajjeEQ5m, 5652752]
[paragraph, [187.0, 1407.0, 1303.0, 36.0], clajjeEQ5m, 5652752]
[paragraph, [187.0, 1443.0, 1303.0, 36.0], clajjeEQ5m, 5652752]
[paragraph, [177.0, 1491.0, 1345.0, 36.0], QHuWz17wjh, 5652752]
[paragraph, [177.0, 1527.0, 1345.0, 36.0], QHuWz17wjh, 5652752]
[paragraph, [177.0, 1563.0, 1345.0, 36.0], QHuWz17wjh, 5652752]
[paragraph, [177.0, 1599.0, 1345.0, 36.0], QHuWz17wjh, 5652752]
[paragraph, [177.0, 1635.0, 1345.0, 36.0], QHuWz17wjh, 5652752]
[paragraph, [177.0, 1671.0, 1345.0, 36.0], QHuWz17wjh, 5652752]
[paragraph, [177.0, 1707.0, 1345.0, 36.0], QHuWz17wjh, 5652752]
[paragraph, [177.0, 1743.0, 1345.0, 36.0], QHuWz17wjh, 5652752]
[paragraph, [177.0, 1779.0, 1345.0, 36.0], QHuWz17wjh, 5652752]
[paragraph, [177.0, 1815.0, 1345.0, 36.0], QHuWz17wjh, 5652752]
[paragraph, [177.0, 1851.0, 1345.0, 36.0], QHuWz17wjh, 5652752]
[paragraph, [177.0, 1887.0, 1345.0, 36.0], QHuWz17wjh, 5652752]
[paragraph, [177.0, 1923.0, 1345.0, 36.0], QHuWz17wjh, 5652752]
[paragraph, [177.0, 1959.0, 1345.0, 36.0], QHuWz17wjh, 5652752]
[paragraph, [177.0, 1995.0, 1345.0, 36.0], QHuWz17wjh, 5652752]
[folio, [333.0, 2078.0, 391.0, 36.0], -lBjkenXDy, 5652752]
[folio, [333.0, 2114.0, 391.0, 36.0], -lBjkenXDy, 5652752]
