[2241, 1652]
[flag, [628.0, 75.0, 343.0, 36.0], shoonya_4sX4FK33OVMTNX, 5653745]
[flag, [628.0, 111.0, 343.0, 36.0], shoonya_4sX4FK33OVMTNX, 5653745]
[flag, [628.0, 147.0, 343.0, 36.0], shoonya_4sX4FK33OVMTNX, 5653745]
[flag, [628.0, 183.0, 343.0, 36.0], shoonya_4sX4FK33OVMTNX, 5653745]
[flag, [628.0, 219.0, 343.0, 36.0], shoonya_4sX4FK33OVMTNX, 5653745]
[flag, [628.0, 255.0, 343.0, 36.0], shoonya_4sX4FK33OVMTNX, 5653745]
[folio, [1159.0, 218.0, 422.0, 36.0], shoonya_8sENY37LE6ZA1O, 5653745]
[chapter-title, [450.0, 485.0, 691.0, 70.5], shoonya_9sJNLVV8WV52YJ, 5653745]
[paragraph, [139.0, 691.0, 1303.0, 36.0], shoonya_7sHLZRSQQ68JQE, 5653745]
[paragraph, [139.0, 727.0, 1303.0, 36.0], shoonya_7sHLZRSQQ68JQE, 5653745]
[paragraph, [139.0, 763.0, 1303.0, 36.0], shoonya_7sHLZRSQQ68JQE, 5653745]
[paragraph, [139.0, 799.0, 1303.0, 36.0], shoonya_7sHLZRSQQ68JQE, 5653745]
[paragraph, [139.0, 835.0, 1303.0, 36.0], shoonya_7sHLZRSQQ68JQE, 5653745]
[paragraph, [814.0, 913.0, 726.0, 36.0], shoonya_0s2DU9LQA613RA, 5653745]
[paragraph, [814.0, 949.0, 726.0, 36.0], shoonya_0s2DU9LQA613RA, 5653745]
[paragraph, [814.0, 985.0, 726.0, 36.0], shoonya_0s2DU9LQA613RA, 5653745]
[paragraph, [814.0, 1021.0, 726.0, 36.0], shoonya_0s2DU9LQA613RA, 5653745]
[paragraph, [814.0, 1057.0, 726.0, 36.0], shoonya_0s2DU9LQA613RA, 5653745]
[paragraph, [814.0, 1093.0, 726.0, 36.0], shoonya_0s2DU9LQA613RA, 5653745]
[paragraph, [814.0, 1129.0, 726.0, 36.0], shoonya_0s2DU9LQA613RA, 5653745]
[paragraph, [814.0, 1165.0, 726.0, 36.0], shoonya_0s2DU9LQA613RA, 5653745]
[paragraph, [814.0, 1201.0, 726.0, 36.0], shoonya_0s2DU9LQA613RA, 5653745]
[paragraph, [814.0, 1237.0, 726.0, 36.0], shoonya_0s2DU9LQA613RA, 5653745]
[paragraph, [814.0, 1273.0, 726.0, 36.0], shoonya_0s2DU9LQA613RA, 5653745]
[paragraph, [814.0, 1309.0, 726.0, 36.0], shoonya_0s2DU9LQA613RA, 5653745]
[paragraph, [814.0, 1345.0, 726.0, 36.0], shoonya_0s2DU9LQA613RA, 5653745]
