[595, 454]
[paragraph, [19.0, 38.0, 204.0, 18.0], shoonya_0sN9FMSU3CZPDZ, 6460944]
[paragraph, [19.0, 56.0, 204.0, 18.0], shoonya_0sN9FMSU3CZPDZ, 6460944]
[paragraph, [19.0, 74.0, 204.0, 18.0], shoonya_0sN9FMSU3CZPDZ, 6460944]
[paragraph, [19.0, 92.0, 204.0, 18.0], shoonya_0sN9FMSU3CZPDZ, 6460944]
[paragraph, [19.0, 110.0, 204.0, 18.0], shoonya_0sN9FMSU3CZPDZ, 6460944]
[paragraph, [19.0, 128.0, 204.0, 18.0], shoonya_0sN9FMSU3CZPDZ, 6460944]
[paragraph, [23.0, 159.0, 202.0, 18.0], shoonya_3s799VTJ1VJTQQ, 6460944]
[paragraph, [23.0, 177.0, 202.0, 18.0], shoonya_3s799VTJ1VJTQQ, 6460944]
[paragraph, [23.0, 195.0, 202.0, 18.0], shoonya_3s799VTJ1VJTQQ, 6460944]
[paragraph, [23.0, 213.0, 202.0, 18.0], shoonya_3s799VTJ1VJTQQ, 6460944]
[paragraph, [23.0, 231.0, 202.0, 18.0], shoonya_3s799VTJ1VJTQQ, 6460944]
[paragraph, [23.0, 249.0, 202.0, 18.0], shoonya_3s799VTJ1VJTQQ, 6460944]
[paragraph, [16.0, 280.0, 206.0, 18.0], shoonya_2sHDVK67V7PSLA, 6460944]
[paragraph, [16.0, 298.0, 206.0, 18.0], shoonya_2sHDVK67V7PSLA, 6460944]
[paragraph, [16.0, 316.0, 206.0, 18.0], shoonya_2sHDVK67V7PSLA, 6460944]
[paragraph, [224.0, 282.0, 202.0, 18.0], shoonya_7sK8XL1NO3CKBG, 6460944]
[paragraph, [224.0, 300.0, 202.0, 18.0], shoonya_7sK8XL1NO3CKBG, 6460944]
[paragraph, [224.0, 318.0, 202.0, 18.0], shoonya_7sK8XL1NO3CKBG, 6460944]
[paragraph, [224.0, 336.0, 202.0, 18.0], shoonya_7sK8XL1NO3CKBG, 6460944]
[paragraph, [224.0, 354.0, 202.0, 18.0], shoonya_7sK8XL1NO3CKBG, 6460944]
[paragraph, [224.0, 372.0, 202.0, 18.0], shoonya_7sK8XL1NO3CKBG, 6460944]
[paragraph, [224.0, 390.0, 202.0, 18.0], shoonya_7sK8XL1NO3CKBG, 6460944]
[paragraph, [17.0, 341.0, 206.0, 18.0], shoonya_1sMZKLL4UM4XY6, 6460944]
[paragraph, [17.0, 359.0, 206.0, 18.0], shoonya_1sMZKLL4UM4XY6, 6460944]
[paragraph, [17.0, 377.0, 206.0, 18.0], shoonya_1sMZKLL4UM4XY6, 6460944]
[paragraph, [17.0, 395.0, 206.0, 18.0], shoonya_1sMZKLL4UM4XY6, 6460944]
[paragraph, [17.0, 413.0, 206.0, 18.0], shoonya_1sMZKLL4UM4XY6, 6460944]
[paragraph, [224.0, 419.0, 204.0, 18.0], shoonya_6sCPS8CWUI4XLS, 6460944]
[paragraph, [224.0, 437.0, 204.0, 18.0], shoonya_6sCPS8CWUI4XLS, 6460944]
[paragraph, [19.0, 437.0, 208.0, 18.0], _zqzow7rh4, 6460944]
[paragraph, [19.0, 455.0, 208.0, 18.0], _zqzow7rh4, 6460944]
[paragraph, [19.0, 473.0, 208.0, 18.0], _zqzow7rh4, 6460944]
[paragraph, [19.0, 491.0, 208.0, 18.0], _zqzow7rh4, 6460944]
[paragraph, [19.0, 509.0, 208.0, 18.0], _zqzow7rh4, 6460944]
[paragraph, [19.0, 527.0, 208.0, 18.0], _zqzow7rh4, 6460944]
[paragraph, [19.0, 545.0, 208.0, 18.0], _zqzow7rh4, 6460944]
[paragraph, [222.0, 461.0, 203.0, 18.0], ca1vy0_YWo, 6460944]
[paragraph, [222.0, 479.0, 203.0, 18.0], ca1vy0_YWo, 6460944]
[paragraph, [222.0, 497.0, 203.0, 18.0], ca1vy0_YWo, 6460944]
[paragraph, [222.0, 515.0, 203.0, 18.0], ca1vy0_YWo, 6460944]
[paragraph, [222.0, 533.0, 203.0, 18.0], ca1vy0_YWo, 6460944]
[folio, [29.0, 574.0, 72.0, 18.0], bupQgWUJ0x, 6460944]
