[1806, 1262]
[folio, [164.0, 97.0, 513.0, 36.0], shoonya_0s1FVCVKKFZGS1, 5680515]
[paragraph, [672.0, 170.0, 406.0, 36.0], UnitI23Cfs, 5680515]
[paragraph, [672.0, 206.0, 406.0, 36.0], UnitI23Cfs, 5680515]
[paragraph, [672.0, 242.0, 406.0, 36.0], UnitI23Cfs, 5680515]
[paragraph, [672.0, 278.0, 406.0, 36.0], UnitI23Cfs, 5680515]
[paragraph, [672.0, 314.0, 406.0, 36.0], UnitI23Cfs, 5680515]
[paragraph, [672.0, 350.0, 406.0, 36.0], UnitI23Cfs, 5680515]
[paragraph, [93.0, 173.0, 513.0, 36.0], shoonya_3sBRB2SZ1408N9, 5680515]
[paragraph, [93.0, 209.0, 513.0, 36.0], shoonya_3sBRB2SZ1408N9, 5680515]
[paragraph, [93.0, 245.0, 513.0, 36.0], shoonya_3sBRB2SZ1408N9, 5680515]
[paragraph, [93.0, 281.0, 513.0, 36.0], shoonya_3sBRB2SZ1408N9, 5680515]
[paragraph, [93.0, 317.0, 513.0, 36.0], shoonya_3sBRB2SZ1408N9, 5680515]
[paragraph, [93.0, 353.0, 513.0, 36.0], shoonya_3sBRB2SZ1408N9, 5680515]
[paragraph, [93.0, 389.0, 513.0, 36.0], shoonya_3sBRB2SZ1408N9, 5680515]
[paragraph, [93.0, 425.0, 513.0, 36.0], shoonya_3sBRB2SZ1408N9, 5680515]
[paragraph, [654.0, 443.0, 503.0, 36.0], 3RpXaAmDpo, 5680515]
[paragraph, [654.0, 479.0, 503.0, 36.0], 3RpXaAmDpo, 5680515]
[paragraph, [654.0, 515.0, 503.0, 36.0], 3RpXaAmDpo, 5680515]
[paragraph, [654.0, 551.0, 503.0, 36.0], 3RpXaAmDpo, 5680515]
[paragraph, [654.0, 587.0, 503.0, 36.0], 3RpXaAmDpo, 5680515]
[paragraph, [654.0, 623.0, 503.0, 36.0], 3RpXaAmDpo, 5680515]
[paragraph, [654.0, 659.0, 503.0, 36.0], 3RpXaAmDpo, 5680515]
[paragraph, [654.0, 695.0, 503.0, 36.0], 3RpXaAmDpo, 5680515]
[paragraph, [654.0, 731.0, 503.0, 36.0], 3RpXaAmDpo, 5680515]
[paragraph, [94.0, 471.0, 511.0, 36.0], shoonya_4sQVNQMB9U5Y5H, 5680515]
[paragraph, [94.0, 507.0, 511.0, 36.0], shoonya_4sQVNQMB9U5Y5H, 5680515]
[paragraph, [94.0, 543.0, 511.0, 36.0], shoonya_4sQVNQMB9U5Y5H, 5680515]
[paragraph, [94.0, 579.0, 511.0, 36.0], shoonya_4sQVNQMB9U5Y5H, 5680515]
[paragraph, [94.0, 615.0, 511.0, 36.0], shoonya_4sQVNQMB9U5Y5H, 5680515]
[paragraph, [94.0, 651.0, 511.0, 36.0], shoonya_4sQVNQMB9U5Y5H, 5680515]
[paragraph, [94.0, 687.0, 511.0, 36.0], shoonya_4sQVNQMB9U5Y5H, 5680515]
[paragraph, [94.0, 723.0, 511.0, 36.0], shoonya_4sQVNQMB9U5Y5H, 5680515]
[paragraph, [94.0, 759.0, 511.0, 36.0], shoonya_4sQVNQMB9U5Y5H, 5680515]
[paragraph, [94.0, 795.0, 511.0, 36.0], shoonya_4sQVNQMB9U5Y5H, 5680515]
[paragraph, [94.0, 831.0, 511.0, 36.0], shoonya_4sQVNQMB9U5Y5H, 5680515]
[paragraph, [94.0, 867.0, 511.0, 36.0], shoonya_4sQVNQMB9U5Y5H, 5680515]
[paragraph, [94.0, 903.0, 511.0, 36.0], shoonya_4sQVNQMB9U5Y5H, 5680515]
[paragraph, [94.0, 939.0, 511.0, 36.0], shoonya_4sQVNQMB9U5Y5H, 5680515]
[paragraph, [94.0, 975.0, 511.0, 36.0], shoonya_4sQVNQMB9U5Y5H, 5680515]
[paragraph, [94.0, 1011.0, 511.0, 36.0], shoonya_4sQVNQMB9U5Y5H, 5680515]
[paragraph, [94.0, 1047.0, 511.0, 36.0], shoonya_4sQVNQMB9U5Y5H, 5680515]
[paragraph, [94.0, 1083.0, 511.0, 36.0], shoonya_4sQVNQMB9U5Y5H, 5680515]
[paragraph, [94.0, 1119.0, 511.0, 36.0], shoonya_4sQVNQMB9U5Y5H, 5680515]
[paragraph, [94.0, 1155.0, 511.0, 36.0], shoonya_4sQVNQMB9U5Y5H, 5680515]
