[1275, 750]
[folio, [224.0, 79.0, 292.0, 18.0], gqgGDGQAVp, 5767674]
[folio, [224.0, 97.0, 292.0, 18.0], gqgGDGQAVp, 5767674]
[folio, [224.0, 115.0, 292.0, 18.0], gqgGDGQAVp, 5767674]
[paragraph, [59.0, 150.0, 621.0, 18.0], shoonya_0sRHPL3SUCNYGR, 5767674]
[paragraph, [59.0, 168.0, 621.0, 18.0], shoonya_0sRHPL3SUCNYGR, 5767674]
[paragraph, [59.0, 186.0, 621.0, 18.0], shoonya_0sRHPL3SUCNYGR, 5767674]
[paragraph, [59.0, 204.0, 621.0, 18.0], shoonya_0sRHPL3SUCNYGR, 5767674]
[paragraph, [59.0, 222.0, 621.0, 18.0], shoonya_0sRHPL3SUCNYGR, 5767674]
[paragraph, [59.0, 240.0, 621.0, 18.0], shoonya_0sRHPL3SUCNYGR, 5767674]
[paragraph, [59.0, 258.0, 621.0, 18.0], shoonya_0sRHPL3SUCNYGR, 5767674]
[paragraph, [59.0, 276.0, 621.0, 18.0], shoonya_0sRHPL3SUCNYGR, 5767674]
[paragraph, [59.0, 294.0, 621.0, 18.0], shoonya_0sRHPL3SUCNYGR, 5767674]
[paragraph, [59.0, 312.0, 621.0, 18.0], shoonya_0sRHPL3SUCNYGR, 5767674]
[paragraph, [59.0, 330.0, 621.0, 18.0], shoonya_0sRHPL3SUCNYGR, 5767674]
[paragraph, [59.0, 348.0, 621.0, 18.0], shoonya_0sRHPL3SUCNYGR, 5767674]
[paragraph, [59.0, 366.0, 621.0, 18.0], shoonya_0sRHPL3SUCNYGR, 5767674]
[paragraph, [59.0, 384.0, 621.0, 18.0], shoonya_0sRHPL3SUCNYGR, 5767674]
[paragraph, [59.0, 402.0, 621.0, 18.0], shoonya_0sRHPL3SUCNYGR, 5767674]
[paragraph, [59.0, 420.0, 621.0, 18.0], shoonya_0sRHPL3SUCNYGR, 5767674]
[paragraph, [59.0, 438.0, 621.0, 18.0], shoonya_0sRHPL3SUCNYGR, 5767674]
[paragraph, [59.0, 456.0, 621.0, 18.0], shoonya_0sRHPL3SUCNYGR, 5767674]
[paragraph, [59.0, 474.0, 621.0, 18.0], shoonya_0sRHPL3SUCNYGR, 5767674]
[paragraph, [72.0, 499.0, 600.0, 18.0], szKUd346sD, 5767674]
[paragraph, [72.0, 517.0, 600.0, 18.0], szKUd346sD, 5767674]
[paragraph, [72.0, 535.0, 600.0, 18.0], szKUd346sD, 5767674]
[paragraph, [72.0, 553.0, 600.0, 18.0], szKUd346sD, 5767674]
[paragraph, [72.0, 571.0, 600.0, 18.0], szKUd346sD, 5767674]
[ordered-list, [76.0, 623.0, 629.0, 18.0], shoonya_3sSSQHAOJB7HZX, 5767674]
[ordered-list, [76.0, 641.0, 629.0, 18.0], shoonya_3sSSQHAOJB7HZX, 5767674]
[ordered-list, [76.0, 659.0, 629.0, 18.0], shoonya_3sSSQHAOJB7HZX, 5767674]
[ordered-list, [76.0, 677.0, 629.0, 18.0], shoonya_3sSSQHAOJB7HZX, 5767674]
[ordered-list, [76.0, 695.0, 629.0, 18.0], shoonya_3sSSQHAOJB7HZX, 5767674]
[ordered-list, [76.0, 713.0, 629.0, 18.0], shoonya_3sSSQHAOJB7HZX, 5767674]
[ordered-list, [76.0, 731.0, 629.0, 18.0], shoonya_3sSSQHAOJB7HZX, 5767674]
