[1823, 1375]
[folio, [621.0, 97.0, 119.0, 36.0], shoonya_1sIP8G0UH8O0DY, 5683793]
[folio, [962.0, 100.0, 310.0, 36.0], shoonya_2s4YR9R5FVI9JN, 5683793]
[paragraph, [696.0, 168.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [696.0, 204.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [696.0, 240.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [696.0, 276.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [696.0, 312.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [696.0, 348.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [696.0, 384.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [696.0, 420.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [696.0, 456.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [696.0, 492.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [696.0, 528.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [696.0, 564.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [696.0, 600.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [696.0, 636.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [696.0, 672.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [696.0, 708.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [696.0, 744.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [696.0, 780.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [696.0, 816.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [696.0, 852.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [696.0, 888.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [696.0, 924.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [696.0, 960.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [696.0, 996.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [696.0, 1032.0, 586.0, 36.0], szuE7Zwo_D, 5683793]
[paragraph, [98.0, 169.0, 586.0, 36.0], shoonya_4sWDUXMZ0WT3G3, 5683793]
[paragraph, [98.0, 205.0, 586.0, 36.0], shoonya_4sWDUXMZ0WT3G3, 5683793]
[paragraph, [98.0, 241.0, 586.0, 36.0], shoonya_4sWDUXMZ0WT3G3, 5683793]
