[612, 396]
[author, [135.0, 94.0, 126.0, 18.0], Lm6DtmXKQt, 6516302]
[paragraph, [38.0, 137.0, 324.0, 18.0], or46rTs1TY, 6516302]
[paragraph, [38.0, 155.0, 324.0, 18.0], or46rTs1TY, 6516302]
[paragraph, [38.0, 173.0, 324.0, 18.0], or46rTs1TY, 6516302]
[paragraph, [38.0, 191.0, 324.0, 18.0], or46rTs1TY, 6516302]
[paragraph, [38.0, 209.0, 324.0, 18.0], or46rTs1TY, 6516302]
[paragraph, [38.0, 227.0, 324.0, 18.0], or46rTs1TY, 6516302]
[paragraph, [38.0, 245.0, 324.0, 18.0], or46rTs1TY, 6516302]
[paragraph, [38.0, 263.0, 324.0, 18.0], or46rTs1TY, 6516302]
[paragraph, [38.0, 281.0, 324.0, 18.0], or46rTs1TY, 6516302]
[paragraph, [38.0, 299.0, 324.0, 18.0], or46rTs1TY, 6516302]
[paragraph, [38.0, 317.0, 324.0, 18.0], or46rTs1TY, 6516302]
[paragraph, [38.0, 335.0, 324.0, 18.0], or46rTs1TY, 6516302]
[paragraph, [38.0, 353.0, 324.0, 18.0], or46rTs1TY, 6516302]
[paragraph, [39.0, 389.0, 319.0, 18.0], shoonya_0sQWB1QRDBYED7, 6516302]
[paragraph, [39.0, 407.0, 319.0, 18.0], shoonya_0sQWB1QRDBYED7, 6516302]
[paragraph, [39.0, 425.0, 319.0, 18.0], shoonya_0sQWB1QRDBYED7, 6516302]
[paragraph, [39.0, 443.0, 319.0, 18.0], shoonya_0sQWB1QRDBYED7, 6516302]
[paragraph, [39.0, 461.0, 319.0, 18.0], shoonya_0sQWB1QRDBYED7, 6516302]
[paragraph, [39.0, 479.0, 319.0, 18.0], shoonya_0sQWB1QRDBYED7, 6516302]
[paragraph, [39.0, 497.0, 319.0, 18.0], shoonya_0sQWB1QRDBYED7, 6516302]
[paragraph, [39.0, 515.0, 319.0, 18.0], shoonya_0sQWB1QRDBYED7, 6516302]
[paragraph, [39.0, 533.0, 319.0, 18.0], shoonya_0sQWB1QRDBYED7, 6516302]
