[811, 612]
[paragraph, [170.0, 67.0, 268.0, 18.0], shoonya_7s0BR5EFOCPOAO, 5701485]
[paragraph, [170.0, 85.0, 268.0, 18.0], shoonya_7s0BR5EFOCPOAO, 5701485]
[paragraph, [170.0, 103.0, 268.0, 18.0], shoonya_7s0BR5EFOCPOAO, 5701485]
[paragraph, [170.0, 121.0, 268.0, 18.0], shoonya_7s0BR5EFOCPOAO, 5701485]
[paragraph, [170.0, 139.0, 268.0, 18.0], shoonya_7s0BR5EFOCPOAO, 5701485]
[paragraph, [170.0, 157.0, 268.0, 18.0], shoonya_7s0BR5EFOCPOAO, 5701485]
[paragraph, [170.0, 175.0, 268.0, 18.0], shoonya_7s0BR5EFOCPOAO, 5701485]
[paragraph, [170.0, 193.0, 268.0, 18.0], shoonya_7s0BR5EFOCPOAO, 5701485]
[paragraph, [170.0, 211.0, 268.0, 18.0], shoonya_7s0BR5EFOCPOAO, 5701485]
[paragraph, [170.0, 229.0, 268.0, 18.0], shoonya_7s0BR5EFOCPOAO, 5701485]
[paragraph, [170.0, 247.0, 268.0, 18.0], shoonya_7s0BR5EFOCPOAO, 5701485]
[paragraph, [170.0, 265.0, 268.0, 18.0], shoonya_7s0BR5EFOCPOAO, 5701485]
[paragraph, [170.0, 283.0, 268.0, 18.0], shoonya_7s0BR5EFOCPOAO, 5701485]
[paragraph, [170.0, 301.0, 268.0, 18.0], shoonya_7s0BR5EFOCPOAO, 5701485]
[paragraph, [170.0, 319.0, 268.0, 18.0], shoonya_7s0BR5EFOCPOAO, 5701485]
[paragraph, [170.0, 337.0, 268.0, 18.0], shoonya_7s0BR5EFOCPOAO, 5701485]
[paragraph, [170.0, 355.0, 268.0, 18.0], shoonya_7s0BR5EFOCPOAO, 5701485]
[paragraph, [170.0, 373.0, 268.0, 18.0], shoonya_7s0BR5EFOCPOAO, 5701485]
[paragraph, [170.0, 391.0, 268.0, 18.0], shoonya_7s0BR5EFOCPOAO, 5701485]
[author, [433.0, 425.0, 114.0, 18.0], shoonya_6s8L221Y7WAPD1, 5701485]
