[1518, 1075]
[paragraph, [556.0, 167.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 203.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 239.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 275.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 311.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 347.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 383.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 419.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 455.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 491.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 527.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 563.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 599.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 635.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 671.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 707.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 743.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 779.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 815.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 851.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 887.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 923.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 959.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 995.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 1031.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 1067.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 1103.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 1139.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 1175.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 1211.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 1247.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [556.0, 1283.0, 429.0, 36.0], shoonya_2sU6WL4CWAHXW5, 5721965]
[paragraph, [114.0, 172.0, 427.0, 36.0], shoonya_8sTEPJ3SO01G2C, 5721965]
[paragraph, [114.0, 208.0, 427.0, 36.0], shoonya_8sTEPJ3SO01G2C, 5721965]
[paragraph, [114.0, 318.0, 425.0, 36.0], shoonya_1sV5T2GN2GY4O4, 5721965]
[paragraph, [114.0, 354.0, 425.0, 36.0], shoonya_1sV5T2GN2GY4O4, 5721965]
[paragraph, [114.0, 390.0, 425.0, 36.0], shoonya_1sV5T2GN2GY4O4, 5721965]
[paragraph, [114.0, 426.0, 425.0, 36.0], shoonya_1sV5T2GN2GY4O4, 5721965]
[paragraph, [114.0, 462.0, 425.0, 36.0], shoonya_1sV5T2GN2GY4O4, 5721965]
[paragraph, [114.0, 498.0, 425.0, 36.0], shoonya_1sV5T2GN2GY4O4, 5721965]
[paragraph, [114.0, 534.0, 425.0, 36.0], shoonya_1sV5T2GN2GY4O4, 5721965]
[paragraph, [114.0, 570.0, 425.0, 36.0], shoonya_1sV5T2GN2GY4O4, 5721965]
[paragraph, [114.0, 606.0, 425.0, 36.0], shoonya_1sV5T2GN2GY4O4, 5721965]
[paragraph, [114.0, 642.0, 425.0, 36.0], shoonya_1sV5T2GN2GY4O4, 5721965]
[paragraph, [114.0, 678.0, 425.0, 36.0], shoonya_1sV5T2GN2GY4O4, 5721965]
[paragraph, [114.0, 714.0, 425.0, 36.0], shoonya_1sV5T2GN2GY4O4, 5721965]
[paragraph, [114.0, 750.0, 425.0, 36.0], shoonya_1sV5T2GN2GY4O4, 5721965]
[paragraph, [114.0, 829.0, 428.0, 36.0], shoonya_0sVLTZ3J3JZF6A, 5721965]
[paragraph, [114.0, 865.0, 428.0, 36.0], shoonya_0sVLTZ3J3JZF6A, 5721965]
[paragraph, [114.0, 901.0, 428.0, 36.0], shoonya_0sVLTZ3J3JZF6A, 5721965]
[paragraph, [114.0, 937.0, 428.0, 36.0], shoonya_0sVLTZ3J3JZF6A, 5721965]
[paragraph, [114.0, 973.0, 428.0, 36.0], shoonya_0sVLTZ3J3JZF6A, 5721965]
[paragraph, [114.0, 1009.0, 428.0, 36.0], shoonya_0sVLTZ3J3JZF6A, 5721965]
[paragraph, [114.0, 1045.0, 428.0, 36.0], shoonya_0sVLTZ3J3JZF6A, 5721965]
[paragraph, [114.0, 1081.0, 428.0, 36.0], shoonya_0sVLTZ3J3JZF6A, 5721965]
[paragraph, [114.0, 1117.0, 428.0, 36.0], shoonya_0sVLTZ3J3JZF6A, 5721965]
[paragraph, [114.0, 1153.0, 428.0, 36.0], shoonya_0sVLTZ3J3JZF6A, 5721965]
[paragraph, [114.0, 1189.0, 428.0, 36.0], shoonya_0sVLTZ3J3JZF6A, 5721965]
[paragraph, [114.0, 1225.0, 428.0, 36.0], shoonya_0sVLTZ3J3JZF6A, 5721965]
[paragraph, [114.0, 1261.0, 428.0, 36.0], shoonya_0sVLTZ3J3JZF6A, 5721965]
[folio, [200.0, 1393.0, 407.0, 36.0], shoonya_6sS6P4PQYX33O3, 5721965]
