[1226, 792]
[ordered-list, [57.0, 104.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 122.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 140.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 158.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 176.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 194.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 212.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 230.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 248.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 266.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 284.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 302.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 320.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 338.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 356.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 374.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 392.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 410.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 428.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 446.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 464.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 482.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 500.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 518.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 536.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 554.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 572.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 590.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 608.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 626.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 644.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 662.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 680.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 698.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 716.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 734.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 752.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 770.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 788.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 806.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 824.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 842.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 860.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 878.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 896.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 914.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 932.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 950.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 968.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 986.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[ordered-list, [57.0, 1004.0, 675.0, 18.0], shoonya_1sXPPH8OSUF86R, 5700700]
[paragraph, [64.0, 1051.0, 182.0, 18.0], shoonya_0s25ZKNE4XZ05S, 5700700]
[paragraph, [55.0, 1075.0, 657.0, 18.0], LxH1CZTz7P, 5700700]
[paragraph, [55.0, 1093.0, 657.0, 18.0], LxH1CZTz7P, 5700700]
[paragraph, [55.0, 1111.0, 657.0, 18.0], LxH1CZTz7P, 5700700]
