[1601, 1158]
[section-title, [146.0, 93.0, 431.0, 49.5], shoonya_0sR6CLZIYXMGZ4, 5695390]
[section-title, [146.0, 142.5, 431.0, 49.5], shoonya_0sR6CLZIYXMGZ4, 5695390]
[unordered-list, [167.0, 245.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 281.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 317.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 353.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 389.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 425.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 461.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 497.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 533.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 569.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 605.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 641.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 677.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 713.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 749.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 785.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 821.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 857.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 893.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 929.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 965.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 1001.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 1037.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 1073.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 1109.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 1145.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 1181.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 1217.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 1253.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [167.0, 1289.0, 390.0, 36.0], 5gbCxlHnqC, 5695390]
[unordered-list, [620.0, 1230.0, 409.0, 36.0], x2XqzVa0jd, 5695390]
[unordered-list, [620.0, 1266.0, 409.0, 36.0], x2XqzVa0jd, 5695390]
[unordered-list, [620.0, 1302.0, 409.0, 36.0], x2XqzVa0jd, 5695390]
[unordered-list, [620.0, 1338.0, 409.0, 36.0], x2XqzVa0jd, 5695390]
[unordered-list, [620.0, 1374.0, 409.0, 36.0], x2XqzVa0jd, 5695390]
[unordered-list, [620.0, 1410.0, 409.0, 36.0], x2XqzVa0jd, 5695390]
[unordered-list, [620.0, 1446.0, 409.0, 36.0], x2XqzVa0jd, 5695390]
