[2717, 1772]
[folio, [784.0, 236.0, 200.0, 46.5], shoonya_1sA6UWR0HU7OCO, 5721725]
[paragraph, [213.0, 353.0, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 399.5, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 446.0, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 492.5, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 539.0, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 585.5, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 632.0, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 678.5, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 725.0, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 771.5, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 818.0, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 864.5, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 911.0, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 957.5, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 1004.0, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 1050.5, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 1097.0, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 1143.5, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 1190.0, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 1236.5, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 1283.0, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 1329.5, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 1376.0, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 1422.5, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 1469.0, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 1515.5, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 1562.0, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 1608.5, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 1655.0, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 1701.5, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 1748.0, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 1794.5, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 1841.0, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 1887.5, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 1934.0, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
[paragraph, [213.0, 1980.5, 1359.0, 46.5], shoonya_0sM1GTD9OCIUW2, 5721725]
