[1606, 1056]
[folio, [101.0, 101.0, 241.0, 36.0], ET8ql2hDe_, 5683447]
[folio, [441.0, 103.0, 176.0, 36.0], shoonya_1sM3NHPRIOR0E8, 5683447]
[paragraph, [310.0, 156.0, 436.0, 36.0], shoonya_0s8YAITQCAYWTR, 5683447]
[paragraph, [310.0, 192.0, 436.0, 36.0], shoonya_0s8YAITQCAYWTR, 5683447]
[paragraph, [310.0, 228.0, 436.0, 36.0], shoonya_0s8YAITQCAYWTR, 5683447]
[paragraph, [310.0, 264.0, 436.0, 36.0], shoonya_0s8YAITQCAYWTR, 5683447]
[paragraph, [328.0, 336.0, 422.0, 36.0], jLxHIZrYEh, 5683447]
[paragraph, [328.0, 372.0, 422.0, 36.0], jLxHIZrYEh, 5683447]
[paragraph, [328.0, 408.0, 422.0, 36.0], jLxHIZrYEh, 5683447]
[paragraph, [328.0, 444.0, 422.0, 36.0], jLxHIZrYEh, 5683447]
[paragraph, [328.0, 480.0, 422.0, 36.0], jLxHIZrYEh, 5683447]
[paragraph, [328.0, 516.0, 422.0, 36.0], jLxHIZrYEh, 5683447]
[paragraph, [328.0, 552.0, 422.0, 36.0], jLxHIZrYEh, 5683447]
[paragraph, [328.0, 588.0, 422.0, 36.0], jLxHIZrYEh, 5683447]
[paragraph, [328.0, 624.0, 422.0, 36.0], jLxHIZrYEh, 5683447]
[paragraph, [300.0, 697.0, 458.0, 36.0], ks-yhYFmj2, 5683447]
[paragraph, [300.0, 733.0, 458.0, 36.0], ks-yhYFmj2, 5683447]
[paragraph, [300.0, 769.0, 458.0, 36.0], ks-yhYFmj2, 5683447]
[paragraph, [300.0, 805.0, 458.0, 36.0], ks-yhYFmj2, 5683447]
[paragraph, [317.0, 880.0, 435.0, 36.0], HSEJCP0IMW, 5683447]
[paragraph, [317.0, 916.0, 435.0, 36.0], HSEJCP0IMW, 5683447]
[paragraph, [317.0, 952.0, 435.0, 36.0], HSEJCP0IMW, 5683447]
[paragraph, [317.0, 988.0, 435.0, 36.0], HSEJCP0IMW, 5683447]
[paragraph, [314.0, 1056.0, 462.0, 36.0], 1DvGSptnER, 5683447]
[paragraph, [314.0, 1092.0, 462.0, 36.0], 1DvGSptnER, 5683447]
[paragraph, [314.0, 1128.0, 462.0, 36.0], 1DvGSptnER, 5683447]
[paragraph, [314.0, 1164.0, 462.0, 36.0], 1DvGSptnER, 5683447]
[paragraph, [314.0, 1200.0, 462.0, 36.0], 1DvGSptnER, 5683447]
[paragraph, [314.0, 1236.0, 462.0, 36.0], 1DvGSptnER, 5683447]
[paragraph, [314.0, 1272.0, 462.0, 36.0], 1DvGSptnER, 5683447]
[paragraph, [314.0, 1308.0, 462.0, 36.0], 1DvGSptnER, 5683447]
[paragraph, [314.0, 1344.0, 462.0, 36.0], 1DvGSptnER, 5683447]
[paragraph, [303.0, 1419.0, 457.0, 36.0], X7_pKXRVuL, 5683447]
[paragraph, [303.0, 1455.0, 457.0, 36.0], X7_pKXRVuL, 5683447]
