[1518, 1075]
[paragraph, [90.0, 172.0, 429.0, 36.0], shoonya_9s9TM9YD25IFI2, 5722231]
[paragraph, [90.0, 208.0, 429.0, 36.0], shoonya_9s9TM9YD25IFI2, 5722231]
[paragraph, [90.0, 244.0, 429.0, 36.0], shoonya_9s9TM9YD25IFI2, 5722231]
[paragraph, [90.0, 280.0, 429.0, 36.0], shoonya_9s9TM9YD25IFI2, 5722231]
[paragraph, [90.0, 316.0, 429.0, 36.0], shoonya_9s9TM9YD25IFI2, 5722231]
[paragraph, [90.0, 352.0, 429.0, 36.0], shoonya_9s9TM9YD25IFI2, 5722231]
[paragraph, [90.0, 388.0, 429.0, 36.0], shoonya_9s9TM9YD25IFI2, 5722231]
[paragraph, [90.0, 424.0, 429.0, 36.0], shoonya_9s9TM9YD25IFI2, 5722231]
[paragraph, [536.0, 173.0, 425.0, 36.0], shoonya_5sO40LT51170R5, 5722231]
[paragraph, [536.0, 209.0, 425.0, 36.0], shoonya_5sO40LT51170R5, 5722231]
[paragraph, [536.0, 278.0, 427.0, 36.0], shoonya_2sQXYIMLT71QK4, 5722231]
[paragraph, [536.0, 314.0, 427.0, 36.0], shoonya_2sQXYIMLT71QK4, 5722231]
[paragraph, [536.0, 350.0, 427.0, 36.0], shoonya_2sQXYIMLT71QK4, 5722231]
[paragraph, [536.0, 386.0, 427.0, 36.0], shoonya_2sQXYIMLT71QK4, 5722231]
[paragraph, [536.0, 422.0, 427.0, 36.0], shoonya_2sQXYIMLT71QK4, 5722231]
[paragraph, [536.0, 458.0, 427.0, 36.0], shoonya_2sQXYIMLT71QK4, 5722231]
[paragraph, [536.0, 494.0, 427.0, 36.0], shoonya_2sQXYIMLT71QK4, 5722231]
[paragraph, [536.0, 530.0, 427.0, 36.0], shoonya_2sQXYIMLT71QK4, 5722231]
[paragraph, [536.0, 566.0, 427.0, 36.0], shoonya_2sQXYIMLT71QK4, 5722231]
[paragraph, [536.0, 602.0, 427.0, 36.0], shoonya_2sQXYIMLT71QK4, 5722231]
[paragraph, [536.0, 638.0, 427.0, 36.0], shoonya_2sQXYIMLT71QK4, 5722231]
[paragraph, [536.0, 674.0, 427.0, 36.0], shoonya_2sQXYIMLT71QK4, 5722231]
[paragraph, [536.0, 710.0, 427.0, 36.0], shoonya_2sQXYIMLT71QK4, 5722231]
[paragraph, [536.0, 746.0, 427.0, 36.0], shoonya_2sQXYIMLT71QK4, 5722231]
[paragraph, [536.0, 782.0, 427.0, 36.0], shoonya_2sQXYIMLT71QK4, 5722231]
[paragraph, [536.0, 818.0, 427.0, 36.0], shoonya_2sQXYIMLT71QK4, 5722231]
[paragraph, [536.0, 854.0, 427.0, 36.0], shoonya_2sQXYIMLT71QK4, 5722231]
[paragraph, [89.0, 497.0, 432.0, 36.0], shoonya_3sO7C7AMKV5E9K, 5722231]
[paragraph, [89.0, 533.0, 432.0, 36.0], shoonya_3sO7C7AMKV5E9K, 5722231]
[paragraph, [89.0, 569.0, 432.0, 36.0], shoonya_3sO7C7AMKV5E9K, 5722231]
[paragraph, [89.0, 605.0, 432.0, 36.0], shoonya_3sO7C7AMKV5E9K, 5722231]
[paragraph, [89.0, 641.0, 432.0, 36.0], shoonya_3sO7C7AMKV5E9K, 5722231]
[paragraph, [88.0, 684.0, 433.0, 36.0], shoonya_6sX8NQP7HPFXHF, 5722231]
[paragraph, [88.0, 720.0, 433.0, 36.0], shoonya_6sX8NQP7HPFXHF, 5722231]
[paragraph, [90.0, 796.0, 432.0, 36.0], shoonya_4sR9JMEUO1MZ02, 5722231]
[paragraph, [90.0, 832.0, 432.0, 36.0], shoonya_4sR9JMEUO1MZ02, 5722231]
[paragraph, [90.0, 868.0, 432.0, 36.0], shoonya_4sR9JMEUO1MZ02, 5722231]
[paragraph, [90.0, 904.0, 432.0, 36.0], shoonya_4sR9JMEUO1MZ02, 5722231]
[paragraph, [90.0, 940.0, 432.0, 36.0], shoonya_4sR9JMEUO1MZ02, 5722231]
