[1336, 843]
[paragraph, [36.0, 31.0, 760.0, 18.0], nfMwCWdtuP, 5660755]
[paragraph, [36.0, 49.0, 760.0, 18.0], nfMwCWdtuP, 5660755]
[paragraph, [36.0, 67.0, 760.0, 18.0], nfMwCWdtuP, 5660755]
[paragraph, [36.0, 85.0, 760.0, 18.0], nfMwCWdtuP, 5660755]
[paragraph, [31.0, 105.0, 788.0, 18.0], ktzAd50Eqy, 5660755]
[paragraph, [31.0, 123.0, 788.0, 18.0], ktzAd50Eqy, 5660755]
[paragraph, [31.0, 141.0, 788.0, 18.0], ktzAd50Eqy, 5660755]
[paragraph, [31.0, 159.0, 788.0, 18.0], ktzAd50Eqy, 5660755]
[paragraph, [31.0, 177.0, 788.0, 18.0], ktzAd50Eqy, 5660755]
[paragraph, [31.0, 195.0, 788.0, 18.0], ktzAd50Eqy, 5660755]
[paragraph, [31.0, 213.0, 788.0, 18.0], ktzAd50Eqy, 5660755]
[paragraph, [31.0, 231.0, 788.0, 18.0], ktzAd50Eqy, 5660755]
[paragraph, [31.0, 249.0, 788.0, 18.0], ktzAd50Eqy, 5660755]
[paragraph, [31.0, 267.0, 788.0, 18.0], ktzAd50Eqy, 5660755]
[paragraph, [31.0, 285.0, 788.0, 18.0], ktzAd50Eqy, 5660755]
[paragraph, [31.0, 303.0, 788.0, 18.0], ktzAd50Eqy, 5660755]
[paragraph, [31.0, 321.0, 788.0, 18.0], ktzAd50Eqy, 5660755]
[paragraph, [31.0, 339.0, 788.0, 18.0], ktzAd50Eqy, 5660755]
[paragraph, [31.0, 357.0, 788.0, 18.0], ktzAd50Eqy, 5660755]
[paragraph, [31.0, 375.0, 788.0, 18.0], ktzAd50Eqy, 5660755]
[paragraph, [31.0, 393.0, 788.0, 18.0], ktzAd50Eqy, 5660755]
[paragraph, [31.0, 411.0, 788.0, 18.0], ktzAd50Eqy, 5660755]
[paragraph, [31.0, 429.0, 788.0, 18.0], ktzAd50Eqy, 5660755]
[paragraph, [31.0, 447.0, 788.0, 18.0], ktzAd50Eqy, 5660755]
[paragraph, [31.0, 465.0, 788.0, 18.0], ktzAd50Eqy, 5660755]
[paragraph, [31.0, 483.0, 788.0, 18.0], ktzAd50Eqy, 5660755]
[paragraph, [20.0, 508.0, 783.0, 18.0], gzRMAkSFhL, 5660755]
[paragraph, [20.0, 526.0, 783.0, 18.0], gzRMAkSFhL, 5660755]
[paragraph, [20.0, 544.0, 783.0, 18.0], gzRMAkSFhL, 5660755]
[paragraph, [20.0, 562.0, 783.0, 18.0], gzRMAkSFhL, 5660755]
[paragraph, [20.0, 580.0, 783.0, 18.0], gzRMAkSFhL, 5660755]
[paragraph, [20.0, 598.0, 783.0, 18.0], gzRMAkSFhL, 5660755]
[paragraph, [20.0, 616.0, 783.0, 18.0], gzRMAkSFhL, 5660755]
[paragraph, [20.0, 634.0, 783.0, 18.0], gzRMAkSFhL, 5660755]
[paragraph, [20.0, 652.0, 783.0, 18.0], gzRMAkSFhL, 5660755]
[paragraph, [20.0, 670.0, 783.0, 18.0], gzRMAkSFhL, 5660755]
[paragraph, [20.0, 688.0, 783.0, 18.0], gzRMAkSFhL, 5660755]
[paragraph, [20.0, 706.0, 783.0, 18.0], gzRMAkSFhL, 5660755]
[paragraph, [20.0, 724.0, 783.0, 18.0], gzRMAkSFhL, 5660755]
[paragraph, [20.0, 742.0, 783.0, 18.0], gzRMAkSFhL, 5660755]
[paragraph, [20.0, 760.0, 783.0, 18.0], gzRMAkSFhL, 5660755]
[paragraph, [20.0, 778.0, 783.0, 18.0], gzRMAkSFhL, 5660755]
[paragraph, [20.0, 796.0, 783.0, 18.0], gzRMAkSFhL, 5660755]
[paragraph, [20.0, 814.0, 783.0, 18.0], gzRMAkSFhL, 5660755]
[paragraph, [20.0, 832.0, 783.0, 18.0], gzRMAkSFhL, 5660755]
[paragraph, [20.0, 850.0, 783.0, 18.0], gzRMAkSFhL, 5660755]
