[2339, 1653]
[paragraph, [234.0, 209.0, 1180.0, 36.0], shoonya_1sMVHZ4DNWC1FL, 5686504]
[paragraph, [234.0, 245.0, 1180.0, 36.0], shoonya_1sMVHZ4DNWC1FL, 5686504]
[paragraph, [234.0, 281.0, 1180.0, 36.0], shoonya_1sMVHZ4DNWC1FL, 5686504]
[paragraph, [234.0, 317.0, 1180.0, 36.0], shoonya_1sMVHZ4DNWC1FL, 5686504]
[paragraph, [234.0, 353.0, 1180.0, 36.0], shoonya_1sMVHZ4DNWC1FL, 5686504]
[paragraph, [234.0, 389.0, 1180.0, 36.0], shoonya_1sMVHZ4DNWC1FL, 5686504]
[paragraph, [234.0, 425.0, 1180.0, 36.0], shoonya_1sMVHZ4DNWC1FL, 5686504]
[paragraph, [234.0, 461.0, 1180.0, 36.0], shoonya_1sMVHZ4DNWC1FL, 5686504]
[paragraph, [234.0, 497.0, 1180.0, 36.0], shoonya_1sMVHZ4DNWC1FL, 5686504]
[paragraph, [234.0, 533.0, 1180.0, 36.0], shoonya_1sMVHZ4DNWC1FL, 5686504]
[paragraph, [234.0, 569.0, 1180.0, 36.0], shoonya_1sMVHZ4DNWC1FL, 5686504]
[paragraph, [234.0, 605.0, 1180.0, 36.0], shoonya_1sMVHZ4DNWC1FL, 5686504]
[paragraph, [234.0, 641.0, 1180.0, 36.0], shoonya_1sMVHZ4DNWC1FL, 5686504]
[paragraph, [234.0, 677.0, 1180.0, 36.0], shoonya_1sMVHZ4DNWC1FL, 5686504]
[paragraph, [234.0, 713.0, 1180.0, 36.0], shoonya_1sMVHZ4DNWC1FL, 5686504]
[paragraph, [234.0, 749.0, 1180.0, 36.0], shoonya_1sMVHZ4DNWC1FL, 5686504]
[paragraph, [234.0, 785.0, 1180.0, 36.0], shoonya_1sMVHZ4DNWC1FL, 5686504]
[paragraph, [234.0, 821.0, 1180.0, 36.0], shoonya_1sMVHZ4DNWC1FL, 5686504]
[paragraph, [234.0, 960.0, 1183.0, 36.0], shoonya_0sNNM5E747G201, 5686504]
[paragraph, [234.0, 996.0, 1183.0, 36.0], shoonya_0sNNM5E747G201, 5686504]
[paragraph, [234.0, 1032.0, 1183.0, 36.0], shoonya_0sNNM5E747G201, 5686504]
[paragraph, [234.0, 1068.0, 1183.0, 36.0], shoonya_0sNNM5E747G201, 5686504]
[paragraph, [234.0, 1104.0, 1183.0, 36.0], shoonya_0sNNM5E747G201, 5686504]
[paragraph, [234.0, 1140.0, 1183.0, 36.0], shoonya_0sNNM5E747G201, 5686504]
[paragraph, [234.0, 1176.0, 1183.0, 36.0], shoonya_0sNNM5E747G201, 5686504]
[paragraph, [234.0, 1212.0, 1183.0, 36.0], shoonya_0sNNM5E747G201, 5686504]
[paragraph, [234.0, 1248.0, 1183.0, 36.0], shoonya_0sNNM5E747G201, 5686504]
[paragraph, [234.0, 1284.0, 1183.0, 36.0], shoonya_0sNNM5E747G201, 5686504]
[paragraph, [234.0, 1320.0, 1183.0, 36.0], shoonya_0sNNM5E747G201, 5686504]
[paragraph, [234.0, 1356.0, 1183.0, 36.0], shoonya_0sNNM5E747G201, 5686504]
[paragraph, [234.0, 1392.0, 1183.0, 36.0], shoonya_0sNNM5E747G201, 5686504]
[paragraph, [234.0, 1428.0, 1183.0, 36.0], shoonya_0sNNM5E747G201, 5686504]
[paragraph, [545.0, 1494.0, 562.0, 36.0], 9IjC2PKVR_, 5686504]
[paragraph, [545.0, 1530.0, 562.0, 36.0], 9IjC2PKVR_, 5686504]
[paragraph, [545.0, 1566.0, 562.0, 36.0], 9IjC2PKVR_, 5686504]
[paragraph, [545.0, 1602.0, 562.0, 36.0], 9IjC2PKVR_, 5686504]
[reference, [1040.0, 1657.0, 142.0, 36.0], YniI6PWn2v, 5686504]
[paragraph, [677.0, 1659.0, 359.0, 36.0], 8ZO88T_d6-, 5686504]
[paragraph, [233.0, 1733.0, 1181.0, 36.0], shoonya_2sRHXHU38IIG6M, 5686504]
[paragraph, [233.0, 1769.0, 1181.0, 36.0], shoonya_2sRHXHU38IIG6M, 5686504]
[paragraph, [233.0, 1805.0, 1181.0, 36.0], shoonya_2sRHXHU38IIG6M, 5686504]
[paragraph, [233.0, 1841.0, 1181.0, 36.0], shoonya_2sRHXHU38IIG6M, 5686504]
[paragraph, [233.0, 1877.0, 1181.0, 36.0], shoonya_2sRHXHU38IIG6M, 5686504]
[paragraph, [233.0, 1913.0, 1181.0, 36.0], shoonya_2sRHXHU38IIG6M, 5686504]
[paragraph, [233.0, 1949.0, 1181.0, 36.0], shoonya_2sRHXHU38IIG6M, 5686504]
[paragraph, [233.0, 1985.0, 1181.0, 36.0], shoonya_2sRHXHU38IIG6M, 5686504]
