[576, 360]
[paragraph, [23.0, 59.0, 306.0, 18.0], shoonya_0sPFSTCDIY0UZT, 6517000]
[paragraph, [23.0, 77.0, 306.0, 18.0], shoonya_0sPFSTCDIY0UZT, 6517000]
[paragraph, [23.0, 95.0, 306.0, 18.0], shoonya_0sPFSTCDIY0UZT, 6517000]
[paragraph, [23.0, 113.0, 306.0, 18.0], shoonya_0sPFSTCDIY0UZT, 6517000]
[paragraph, [23.0, 131.0, 306.0, 18.0], shoonya_0sPFSTCDIY0UZT, 6517000]
[paragraph, [23.0, 149.0, 306.0, 18.0], shoonya_0sPFSTCDIY0UZT, 6517000]
[paragraph, [23.0, 167.0, 306.0, 18.0], shoonya_0sPFSTCDIY0UZT, 6517000]
[paragraph, [23.0, 185.0, 306.0, 18.0], shoonya_0sPFSTCDIY0UZT, 6517000]
[paragraph, [23.0, 203.0, 306.0, 18.0], shoonya_0sPFSTCDIY0UZT, 6517000]
[paragraph, [23.0, 221.0, 306.0, 18.0], shoonya_0sPFSTCDIY0UZT, 6517000]
[paragraph, [23.0, 239.0, 306.0, 18.0], shoonya_0sPFSTCDIY0UZT, 6517000]
[paragraph, [23.0, 257.0, 306.0, 18.0], shoonya_0sPFSTCDIY0UZT, 6517000]
[paragraph, [23.0, 275.0, 306.0, 18.0], shoonya_0sPFSTCDIY0UZT, 6517000]
[paragraph, [23.0, 293.0, 306.0, 18.0], shoonya_0sPFSTCDIY0UZT, 6517000]
[paragraph, [23.0, 311.0, 306.0, 18.0], shoonya_0sPFSTCDIY0UZT, 6517000]
[paragraph, [23.0, 329.0, 306.0, 18.0], shoonya_0sPFSTCDIY0UZT, 6517000]
[paragraph, [23.0, 347.0, 306.0, 18.0], shoonya_0sPFSTCDIY0UZT, 6517000]
[paragraph, [23.0, 365.0, 306.0, 18.0], shoonya_0sPFSTCDIY0UZT, 6517000]
[paragraph, [23.0, 383.0, 306.0, 18.0], shoonya_0sPFSTCDIY0UZT, 6517000]
[paragraph, [23.0, 401.0, 306.0, 18.0], shoonya_0sPFSTCDIY0UZT, 6517000]
[paragraph, [23.0, 419.0, 306.0, 18.0], shoonya_0sPFSTCDIY0UZT, 6517000]
[paragraph, [29.0, 468.0, 303.0, 18.0], n0ZEd8yJPM, 6517000]
[paragraph, [29.0, 486.0, 303.0, 18.0], n0ZEd8yJPM, 6517000]
[paragraph, [29.0, 504.0, 303.0, 18.0], n0ZEd8yJPM, 6517000]
