[1754, 1241]
[quote, [361.0, 77.0, 484.0, 36.0], _duBuibZ6m, 5715728]
[quote, [361.0, 113.0, 484.0, 36.0], _duBuibZ6m, 5715728]
[quote, [361.0, 149.0, 484.0, 36.0], _duBuibZ6m, 5715728]
[quote, [868.0, 706.0, 311.0, 36.0], vX6IyFNIhq, 5715728]
[quote, [868.0, 742.0, 311.0, 36.0], vX6IyFNIhq, 5715728]
[quote, [868.0, 778.0, 311.0, 36.0], vX6IyFNIhq, 5715728]
[quote, [868.0, 814.0, 311.0, 36.0], vX6IyFNIhq, 5715728]
[quote, [278.0, 798.0, 276.0, 36.0], v8E06jBzPP, 5715728]
[quote, [278.0, 834.0, 276.0, 36.0], v8E06jBzPP, 5715728]
[quote, [278.0, 870.0, 276.0, 36.0], v8E06jBzPP, 5715728]
[quote, [23.0, 883.0, 253.0, 36.0], Yk8iMo21Rd, 5715728]
[quote, [23.0, 919.0, 253.0, 36.0], Yk8iMo21Rd, 5715728]
[quote, [23.0, 955.0, 253.0, 36.0], Yk8iMo21Rd, 5715728]
[quote, [715.0, 883.0, 264.0, 36.0], WeRBnPd8fB, 5715728]
[quote, [715.0, 919.0, 264.0, 36.0], WeRBnPd8fB, 5715728]
[quote, [715.0, 955.0, 264.0, 36.0], WeRBnPd8fB, 5715728]
[quote, [657.0, 1331.0, 399.0, 36.0], fHEvmPOc9W, 5715728]
[quote, [657.0, 1367.0, 399.0, 36.0], fHEvmPOc9W, 5715728]
[quote, [657.0, 1403.0, 399.0, 36.0], fHEvmPOc9W, 5715728]
[quote, [657.0, 1439.0, 399.0, 36.0], fHEvmPOc9W, 5715728]
[quote, [657.0, 1475.0, 399.0, 36.0], fHEvmPOc9W, 5715728]
[quote, [205.0, 1356.0, 258.0, 36.0], ufj279bJF8, 5715728]
[quote, [205.0, 1392.0, 258.0, 36.0], ufj279bJF8, 5715728]
[quote, [205.0, 1428.0, 258.0, 36.0], ufj279bJF8, 5715728]
[quote, [205.0, 1464.0, 258.0, 36.0], ufj279bJF8, 5715728]
