[1571, 1187]
[paragraph, [515.0, 165.0, 407.0, 36.0], shoonya_3sKE66PWMLOEMA, 6471991]
[paragraph, [515.0, 201.0, 407.0, 36.0], shoonya_3sKE66PWMLOEMA, 6471991]
[paragraph, [515.0, 237.0, 407.0, 36.0], shoonya_3sKE66PWMLOEMA, 6471991]
[paragraph, [515.0, 273.0, 407.0, 36.0], shoonya_3sKE66PWMLOEMA, 6471991]
[paragraph, [515.0, 309.0, 407.0, 36.0], shoonya_3sKE66PWMLOEMA, 6471991]
[paragraph, [515.0, 345.0, 407.0, 36.0], shoonya_3sKE66PWMLOEMA, 6471991]
[paragraph, [515.0, 381.0, 407.0, 36.0], shoonya_3sKE66PWMLOEMA, 6471991]
[paragraph, [515.0, 417.0, 407.0, 36.0], shoonya_3sKE66PWMLOEMA, 6471991]
[paragraph, [515.0, 453.0, 407.0, 36.0], shoonya_3sKE66PWMLOEMA, 6471991]
[paragraph, [95.0, 170.0, 407.0, 36.0], shoonya_7sUXWIICHC9QZD, 6471991]
[paragraph, [95.0, 206.0, 407.0, 36.0], shoonya_7sUXWIICHC9QZD, 6471991]
[paragraph, [95.0, 242.0, 407.0, 36.0], shoonya_7sUXWIICHC9QZD, 6471991]
[paragraph, [94.0, 297.0, 405.0, 36.0], shoonya_1sQT1GTB5U8MPZ, 6471991]
[paragraph, [94.0, 333.0, 405.0, 36.0], shoonya_1sQT1GTB5U8MPZ, 6471991]
[paragraph, [94.0, 369.0, 405.0, 36.0], shoonya_1sQT1GTB5U8MPZ, 6471991]
[paragraph, [94.0, 405.0, 405.0, 36.0], shoonya_1sQT1GTB5U8MPZ, 6471991]
[paragraph, [93.0, 447.0, 414.0, 36.0], shoonya_4s7QNBNTD6YWN7, 6471991]
[paragraph, [93.0, 483.0, 414.0, 36.0], shoonya_4s7QNBNTD6YWN7, 6471991]
[paragraph, [93.0, 519.0, 414.0, 36.0], shoonya_4s7QNBNTD6YWN7, 6471991]
[paragraph, [93.0, 555.0, 414.0, 36.0], shoonya_4s7QNBNTD6YWN7, 6471991]
[paragraph, [93.0, 591.0, 414.0, 36.0], shoonya_4s7QNBNTD6YWN7, 6471991]
[paragraph, [93.0, 627.0, 414.0, 36.0], shoonya_4s7QNBNTD6YWN7, 6471991]
[paragraph, [93.0, 663.0, 414.0, 36.0], shoonya_4s7QNBNTD6YWN7, 6471991]
[paragraph, [93.0, 699.0, 414.0, 36.0], shoonya_4s7QNBNTD6YWN7, 6471991]
[paragraph, [93.0, 735.0, 414.0, 36.0], shoonya_4s7QNBNTD6YWN7, 6471991]
[paragraph, [93.0, 771.0, 414.0, 36.0], shoonya_4s7QNBNTD6YWN7, 6471991]
[paragraph, [514.0, 496.0, 406.0, 36.0], shoonya_10sFRRLUNE9LU5, 6471991]
[paragraph, [514.0, 532.0, 406.0, 36.0], shoonya_10sFRRLUNE9LU5, 6471991]
[paragraph, [514.0, 568.0, 406.0, 36.0], shoonya_10sFRRLUNE9LU5, 6471991]
[quote, [511.0, 637.0, 559.0, 36.0], shoonya_8s877P2XL0G8I8, 6471991]
[quote, [511.0, 673.0, 559.0, 36.0], shoonya_8s877P2XL0G8I8, 6471991]
[quote, [511.0, 709.0, 559.0, 36.0], shoonya_8s877P2XL0G8I8, 6471991]
[quote, [511.0, 745.0, 559.0, 36.0], shoonya_8s877P2XL0G8I8, 6471991]
[quote, [511.0, 781.0, 559.0, 36.0], shoonya_8s877P2XL0G8I8, 6471991]
[quote, [511.0, 817.0, 559.0, 36.0], shoonya_8s877P2XL0G8I8, 6471991]
[paragraph, [98.0, 821.0, 403.0, 36.0], shoonya_0s35S530F7KG6U, 6471991]
[paragraph, [98.0, 857.0, 403.0, 36.0], shoonya_0s35S530F7KG6U, 6471991]
[paragraph, [98.0, 893.0, 403.0, 36.0], shoonya_0s35S530F7KG6U, 6471991]
[paragraph, [98.0, 929.0, 403.0, 36.0], shoonya_0s35S530F7KG6U, 6471991]
[paragraph, [98.0, 965.0, 403.0, 36.0], shoonya_0s35S530F7KG6U, 6471991]
[paragraph, [98.0, 1001.0, 403.0, 36.0], shoonya_0s35S530F7KG6U, 6471991]
[paragraph, [98.0, 1037.0, 403.0, 36.0], shoonya_0s35S530F7KG6U, 6471991]
[paragraph, [98.0, 1073.0, 403.0, 36.0], shoonya_0s35S530F7KG6U, 6471991]
[paragraph, [98.0, 1109.0, 403.0, 36.0], shoonya_0s35S530F7KG6U, 6471991]
[paragraph, [98.0, 1145.0, 403.0, 36.0], shoonya_0s35S530F7KG6U, 6471991]
[paragraph, [98.0, 1181.0, 403.0, 36.0], shoonya_0s35S530F7KG6U, 6471991]
[paragraph, [512.0, 871.0, 404.0, 36.0], nr0P1znxUZ, 6471991]
[paragraph, [512.0, 907.0, 404.0, 36.0], nr0P1znxUZ, 6471991]
[paragraph, [512.0, 943.0, 404.0, 36.0], nr0P1znxUZ, 6471991]
[paragraph, [512.0, 979.0, 404.0, 36.0], nr0P1znxUZ, 6471991]
[paragraph, [513.0, 1023.0, 408.0, 36.0], shoonya_6sZB8PT277794E, 6471991]
[paragraph, [513.0, 1059.0, 408.0, 36.0], shoonya_6sZB8PT277794E, 6471991]
[paragraph, [513.0, 1095.0, 408.0, 36.0], shoonya_6sZB8PT277794E, 6471991]
[paragraph, [513.0, 1131.0, 408.0, 36.0], shoonya_6sZB8PT277794E, 6471991]
[paragraph, [513.0, 1167.0, 408.0, 36.0], shoonya_6sZB8PT277794E, 6471991]
[paragraph, [513.0, 1203.0, 408.0, 36.0], shoonya_6sZB8PT277794E, 6471991]
[paragraph, [513.0, 1239.0, 408.0, 36.0], shoonya_6sZB8PT277794E, 6471991]
[paragraph, [513.0, 1275.0, 408.0, 36.0], shoonya_6sZB8PT277794E, 6471991]
[paragraph, [513.0, 1311.0, 408.0, 36.0], shoonya_6sZB8PT277794E, 6471991]
[paragraph, [513.0, 1347.0, 408.0, 36.0], shoonya_6sZB8PT277794E, 6471991]
[paragraph, [513.0, 1383.0, 408.0, 36.0], shoonya_6sZB8PT277794E, 6471991]
[paragraph, [513.0, 1419.0, 408.0, 36.0], shoonya_6sZB8PT277794E, 6471991]
[paragraph, [97.0, 1220.0, 402.0, 36.0], shoonya_2s12KAU1N0EH8J, 6471991]
[paragraph, [97.0, 1256.0, 402.0, 36.0], shoonya_2s12KAU1N0EH8J, 6471991]
[paragraph, [97.0, 1292.0, 402.0, 36.0], shoonya_2s12KAU1N0EH8J, 6471991]
[paragraph, [97.0, 1328.0, 402.0, 36.0], shoonya_2s12KAU1N0EH8J, 6471991]
[paragraph, [97.0, 1364.0, 402.0, 36.0], shoonya_2s12KAU1N0EH8J, 6471991]
[paragraph, [97.0, 1400.0, 402.0, 36.0], shoonya_2s12KAU1N0EH8J, 6471991]
