[792, 612]
[author, [177.0, 215.0, 254.0, 18.0], shoonya_2sJ31517QSOGRD, 6516427]
[paragraph, [52.0, 244.0, 508.0, 18.0], icNJLyBIvX, 6516427]
[paragraph, [52.0, 262.0, 508.0, 18.0], icNJLyBIvX, 6516427]
[paragraph, [52.0, 280.0, 508.0, 18.0], icNJLyBIvX, 6516427]
[paragraph, [52.0, 298.0, 508.0, 18.0], icNJLyBIvX, 6516427]
[paragraph, [52.0, 316.0, 508.0, 18.0], icNJLyBIvX, 6516427]
[paragraph, [410.0, 355.0, 151.0, 18.0], shoonya_4sNI8XBMTL43F2, 6516427]
[paragraph, [410.0, 373.0, 151.0, 18.0], shoonya_4sNI8XBMTL43F2, 6516427]
[paragraph, [230.0, 356.0, 102.0, 18.0], shoonya_3sSRQBFYXRB3S2, 6516427]
[paragraph, [230.0, 374.0, 102.0, 18.0], shoonya_3sSRQBFYXRB3S2, 6516427]
[paragraph, [230.0, 392.0, 102.0, 18.0], shoonya_3sSRQBFYXRB3S2, 6516427]
[paragraph, [230.0, 410.0, 102.0, 18.0], shoonya_3sSRQBFYXRB3S2, 6516427]
[paragraph, [230.0, 428.0, 102.0, 18.0], shoonya_3sSRQBFYXRB3S2, 6516427]
[author, [71.0, 390.0, 108.0, 18.0], b70TUkmGox, 6516427]
[paragraph, [408.0, 395.0, 152.0, 18.0], 2BZBhj1t_Y, 6516427]
[paragraph, [408.0, 413.0, 152.0, 18.0], 2BZBhj1t_Y, 6516427]
[paragraph, [408.0, 431.0, 152.0, 18.0], 2BZBhj1t_Y, 6516427]
[paragraph, [408.0, 449.0, 152.0, 18.0], 2BZBhj1t_Y, 6516427]
[paragraph, [408.0, 467.0, 152.0, 18.0], 2BZBhj1t_Y, 6516427]
[paragraph, [408.0, 485.0, 152.0, 18.0], 2BZBhj1t_Y, 6516427]
[paragraph, [408.0, 503.0, 152.0, 18.0], 2BZBhj1t_Y, 6516427]
[paragraph, [408.0, 521.0, 152.0, 18.0], 2BZBhj1t_Y, 6516427]
[paragraph, [408.0, 539.0, 152.0, 18.0], 2BZBhj1t_Y, 6516427]
[paragraph, [408.0, 557.0, 152.0, 18.0], 2BZBhj1t_Y, 6516427]
[paragraph, [408.0, 575.0, 152.0, 18.0], 2BZBhj1t_Y, 6516427]
[paragraph, [408.0, 593.0, 152.0, 18.0], 2BZBhj1t_Y, 6516427]
[paragraph, [408.0, 611.0, 152.0, 18.0], 2BZBhj1t_Y, 6516427]
[paragraph, [408.0, 629.0, 152.0, 18.0], 2BZBhj1t_Y, 6516427]
[paragraph, [408.0, 647.0, 152.0, 18.0], 2BZBhj1t_Y, 6516427]
[paragraph, [52.0, 441.0, 148.0, 18.0], Pr-FQEeiyr, 6516427]
[paragraph, [52.0, 459.0, 148.0, 18.0], Pr-FQEeiyr, 6516427]
[paragraph, [52.0, 477.0, 148.0, 18.0], Pr-FQEeiyr, 6516427]
[paragraph, [231.0, 459.0, 148.0, 18.0], mZdrif_z7M, 6516427]
[paragraph, [231.0, 477.0, 148.0, 18.0], mZdrif_z7M, 6516427]
[paragraph, [231.0, 495.0, 148.0, 18.0], mZdrif_z7M, 6516427]
[paragraph, [52.0, 507.0, 147.0, 18.0], LZTukd_Lrf, 6516427]
[paragraph, [231.0, 587.0, 150.0, 18.0], 5NU8lZYTyG, 6516427]
[paragraph, [231.0, 605.0, 150.0, 18.0], 5NU8lZYTyG, 6516427]
[paragraph, [231.0, 623.0, 150.0, 18.0], 5NU8lZYTyG, 6516427]
[paragraph, [231.0, 641.0, 150.0, 18.0], 5NU8lZYTyG, 6516427]
[paragraph, [231.0, 659.0, 150.0, 18.0], 5NU8lZYTyG, 6516427]
[paragraph, [49.0, 590.0, 152.0, 18.0], DGz7awE3ar, 6516427]
[paragraph, [49.0, 608.0, 152.0, 18.0], DGz7awE3ar, 6516427]
[paragraph, [49.0, 626.0, 152.0, 18.0], DGz7awE3ar, 6516427]
[paragraph, [49.0, 644.0, 152.0, 18.0], DGz7awE3ar, 6516427]
[paragraph, [49.0, 662.0, 152.0, 18.0], DGz7awE3ar, 6516427]
