[2339, 1654]
[folio, [140.0, 80.0, 202.0, 36.0], dBQE0sbAKO, 5750567]
[paragraph, [126.0, 151.0, 1454.0, 36.0], shoonya_1sTPFDF5P66IBB, 5750567]
[paragraph, [126.0, 187.0, 1454.0, 36.0], shoonya_1sTPFDF5P66IBB, 5750567]
[paragraph, [126.0, 223.0, 1454.0, 36.0], shoonya_1sTPFDF5P66IBB, 5750567]
[paragraph, [126.0, 259.0, 1454.0, 36.0], shoonya_1sTPFDF5P66IBB, 5750567]
[paragraph, [126.0, 295.0, 1454.0, 36.0], shoonya_1sTPFDF5P66IBB, 5750567]
[paragraph, [126.0, 331.0, 1454.0, 36.0], shoonya_1sTPFDF5P66IBB, 5750567]
[paragraph, [126.0, 367.0, 1454.0, 36.0], shoonya_1sTPFDF5P66IBB, 5750567]
[paragraph, [126.0, 403.0, 1454.0, 36.0], shoonya_1sTPFDF5P66IBB, 5750567]
[paragraph, [126.0, 439.0, 1454.0, 36.0], shoonya_1sTPFDF5P66IBB, 5750567]
[paragraph, [126.0, 475.0, 1454.0, 36.0], shoonya_1sTPFDF5P66IBB, 5750567]
[paragraph, [126.0, 511.0, 1454.0, 36.0], shoonya_1sTPFDF5P66IBB, 5750567]
[paragraph, [126.0, 547.0, 1454.0, 36.0], shoonya_1sTPFDF5P66IBB, 5750567]
[paragraph, [126.0, 583.0, 1454.0, 36.0], shoonya_1sTPFDF5P66IBB, 5750567]
[paragraph, [126.0, 619.0, 1454.0, 36.0], shoonya_1sTPFDF5P66IBB, 5750567]
[paragraph, [126.0, 655.0, 1454.0, 36.0], shoonya_1sTPFDF5P66IBB, 5750567]
[paragraph, [126.0, 691.0, 1454.0, 36.0], shoonya_1sTPFDF5P66IBB, 5750567]
[paragraph, [126.0, 727.0, 1454.0, 36.0], shoonya_1sTPFDF5P66IBB, 5750567]
[paragraph, [126.0, 763.0, 1454.0, 36.0], shoonya_1sTPFDF5P66IBB, 5750567]
[paragraph, [126.0, 799.0, 1454.0, 36.0], shoonya_1sTPFDF5P66IBB, 5750567]
[paragraph, [274.0, 846.0, 1163.0, 36.0], tuezDcabyS, 5750567]
[paragraph, [274.0, 882.0, 1163.0, 36.0], tuezDcabyS, 5750567]
[paragraph, [274.0, 918.0, 1163.0, 36.0], tuezDcabyS, 5750567]
[paragraph, [274.0, 954.0, 1163.0, 36.0], tuezDcabyS, 5750567]
[reference, [989.0, 988.0, 446.0, 36.0], shoonya_3s4XC0K0N8J92E, 5750567]
[paragraph, [145.0, 1039.0, 1470.0, 36.0], shoonya_0sHQIV1X0W81CK, 5750567]
[paragraph, [145.0, 1075.0, 1470.0, 36.0], shoonya_0sHQIV1X0W81CK, 5750567]
[paragraph, [145.0, 1111.0, 1470.0, 36.0], shoonya_0sHQIV1X0W81CK, 5750567]
[paragraph, [145.0, 1147.0, 1470.0, 36.0], shoonya_0sHQIV1X0W81CK, 5750567]
[paragraph, [145.0, 1183.0, 1470.0, 36.0], shoonya_0sHQIV1X0W81CK, 5750567]
[paragraph, [145.0, 1219.0, 1470.0, 36.0], shoonya_0sHQIV1X0W81CK, 5750567]
[paragraph, [145.0, 1255.0, 1470.0, 36.0], shoonya_0sHQIV1X0W81CK, 5750567]
