[2400, 1600]
[website-link, [980.0, 103.0, 245.0, 18.0], SBtVQZSVpt, 5660649]
[website-link, [980.0, 121.0, 245.0, 18.0], SBtVQZSVpt, 5660649]
[website-link, [1246.0, 113.0, 171.0, 18.0], LV839ky3dt, 5660649]
[section-title, [826.0, 205.0, 617.0, 52.5], vNnHc1qaHc, 5660649]
[paragraph, [170.0, 305.0, 1274.0, 36.0], shoonya_4sF30SGDFTBYOX, 5660649]
[paragraph, [170.0, 341.0, 1274.0, 36.0], shoonya_4sF30SGDFTBYOX, 5660649]
[paragraph, [170.0, 377.0, 1274.0, 36.0], shoonya_4sF30SGDFTBYOX, 5660649]
[paragraph, [170.0, 413.0, 1274.0, 36.0], shoonya_4sF30SGDFTBYOX, 5660649]
[paragraph, [170.0, 449.0, 1274.0, 36.0], shoonya_4sF30SGDFTBYOX, 5660649]
[paragraph, [170.0, 485.0, 1274.0, 36.0], shoonya_4sF30SGDFTBYOX, 5660649]
[paragraph, [170.0, 521.0, 1274.0, 36.0], shoonya_4sF30SGDFTBYOX, 5660649]
[paragraph, [170.0, 557.0, 1274.0, 36.0], shoonya_4sF30SGDFTBYOX, 5660649]
[paragraph, [170.0, 593.0, 1274.0, 36.0], shoonya_4sF30SGDFTBYOX, 5660649]
[paragraph, [167.0, 655.0, 1274.0, 36.0], NSj4F-oQd0, 5660649]
[paragraph, [167.0, 691.0, 1274.0, 36.0], NSj4F-oQd0, 5660649]
[paragraph, [167.0, 727.0, 1274.0, 36.0], NSj4F-oQd0, 5660649]
[paragraph, [167.0, 763.0, 1274.0, 36.0], NSj4F-oQd0, 5660649]
[paragraph, [167.0, 799.0, 1274.0, 36.0], NSj4F-oQd0, 5660649]
[paragraph, [149.0, 879.0, 1292.0, 36.0], shoonya_2sQC8OA4PGK7XS, 5660649]
[paragraph, [149.0, 915.0, 1292.0, 36.0], shoonya_2sQC8OA4PGK7XS, 5660649]
[paragraph, [149.0, 951.0, 1292.0, 36.0], shoonya_2sQC8OA4PGK7XS, 5660649]
[paragraph, [149.0, 987.0, 1292.0, 36.0], shoonya_2sQC8OA4PGK7XS, 5660649]
[paragraph, [149.0, 1023.0, 1292.0, 36.0], shoonya_2sQC8OA4PGK7XS, 5660649]
[paragraph, [149.0, 1059.0, 1292.0, 36.0], shoonya_2sQC8OA4PGK7XS, 5660649]
[paragraph, [149.0, 1095.0, 1292.0, 36.0], shoonya_2sQC8OA4PGK7XS, 5660649]
[paragraph, [149.0, 1131.0, 1292.0, 36.0], shoonya_2sQC8OA4PGK7XS, 5660649]
[paragraph, [149.0, 1167.0, 1292.0, 36.0], shoonya_2sQC8OA4PGK7XS, 5660649]
[paragraph, [149.0, 1203.0, 1292.0, 36.0], shoonya_2sQC8OA4PGK7XS, 5660649]
[paragraph, [149.0, 1239.0, 1292.0, 36.0], shoonya_2sQC8OA4PGK7XS, 5660649]
[paragraph, [149.0, 1275.0, 1292.0, 36.0], shoonya_2sQC8OA4PGK7XS, 5660649]
[paragraph, [149.0, 1311.0, 1292.0, 36.0], shoonya_2sQC8OA4PGK7XS, 5660649]
[paragraph, [149.0, 1347.0, 1292.0, 36.0], shoonya_2sQC8OA4PGK7XS, 5660649]
[paragraph, [149.0, 1383.0, 1292.0, 36.0], shoonya_2sQC8OA4PGK7XS, 5660649]
[paragraph, [149.0, 1419.0, 1292.0, 36.0], shoonya_2sQC8OA4PGK7XS, 5660649]
[paragraph, [149.0, 1455.0, 1292.0, 36.0], shoonya_2sQC8OA4PGK7XS, 5660649]
[paragraph, [148.0, 1548.0, 1302.0, 36.0], shoonya_1sA58L6M9KDZWO, 5660649]
[paragraph, [148.0, 1584.0, 1302.0, 36.0], shoonya_1sA58L6M9KDZWO, 5660649]
[paragraph, [148.0, 1620.0, 1302.0, 36.0], shoonya_1sA58L6M9KDZWO, 5660649]
[paragraph, [148.0, 1656.0, 1302.0, 36.0], shoonya_1sA58L6M9KDZWO, 5660649]
[paragraph, [148.0, 1692.0, 1302.0, 36.0], shoonya_1sA58L6M9KDZWO, 5660649]
[paragraph, [148.0, 1728.0, 1302.0, 36.0], shoonya_1sA58L6M9KDZWO, 5660649]
[paragraph, [148.0, 1764.0, 1302.0, 36.0], shoonya_1sA58L6M9KDZWO, 5660649]
[paragraph, [148.0, 1800.0, 1302.0, 36.0], shoonya_1sA58L6M9KDZWO, 5660649]
[paragraph, [148.0, 1836.0, 1302.0, 36.0], shoonya_1sA58L6M9KDZWO, 5660649]
[paragraph, [148.0, 1872.0, 1302.0, 36.0], shoonya_1sA58L6M9KDZWO, 5660649]
[paragraph, [148.0, 1908.0, 1302.0, 36.0], shoonya_1sA58L6M9KDZWO, 5660649]
[paragraph, [141.0, 1962.0, 1310.0, 36.0], shoonya_0s9LQ538CHKAFD, 5660649]
[paragraph, [141.0, 1998.0, 1310.0, 36.0], shoonya_0s9LQ538CHKAFD, 5660649]
[paragraph, [141.0, 2034.0, 1310.0, 36.0], shoonya_0s9LQ538CHKAFD, 5660649]
[paragraph, [141.0, 2070.0, 1310.0, 36.0], shoonya_0s9LQ538CHKAFD, 5660649]
[paragraph, [141.0, 2106.0, 1310.0, 36.0], shoonya_0s9LQ538CHKAFD, 5660649]
[paragraph, [141.0, 2142.0, 1310.0, 36.0], shoonya_0s9LQ538CHKAFD, 5660649]
[footnote, [298.0, 2295.0, 1005.0, 36.0], shoonya_3sSDKOIFQ53ZMO, 5660649]
