[792, 612]
[website-link, [235.0, 20.0, 142.0, 18.0], --pXBT2_aV, 5750234]
[paragraph, [56.0, 102.0, 365.0, 18.0], shoonya_1s37SYELDD14PR, 5750234]
[paragraph, [56.0, 120.0, 365.0, 18.0], shoonya_1s37SYELDD14PR, 5750234]
[paragraph, [56.0, 138.0, 365.0, 18.0], shoonya_1s37SYELDD14PR, 5750234]
[paragraph, [56.0, 156.0, 365.0, 18.0], shoonya_1s37SYELDD14PR, 5750234]
[paragraph, [56.0, 174.0, 365.0, 18.0], shoonya_1s37SYELDD14PR, 5750234]
[paragraph, [56.0, 192.0, 365.0, 18.0], shoonya_1s37SYELDD14PR, 5750234]
[paragraph, [56.0, 210.0, 365.0, 18.0], shoonya_1s37SYELDD14PR, 5750234]
[paragraph, [56.0, 228.0, 365.0, 18.0], shoonya_1s37SYELDD14PR, 5750234]
[paragraph, [56.0, 246.0, 365.0, 18.0], shoonya_1s37SYELDD14PR, 5750234]
[paragraph, [56.0, 264.0, 365.0, 18.0], shoonya_1s37SYELDD14PR, 5750234]
[paragraph, [56.0, 282.0, 365.0, 18.0], shoonya_1s37SYELDD14PR, 5750234]
[paragraph, [56.0, 300.0, 365.0, 18.0], shoonya_1s37SYELDD14PR, 5750234]
[paragraph, [56.0, 318.0, 365.0, 18.0], shoonya_1s37SYELDD14PR, 5750234]
[paragraph, [57.0, 353.0, 365.0, 18.0], shoonya_2sYZHZFRQZ3EGS, 5750234]
[paragraph, [57.0, 371.0, 365.0, 18.0], shoonya_2sYZHZFRQZ3EGS, 5750234]
[paragraph, [57.0, 389.0, 365.0, 18.0], shoonya_2sYZHZFRQZ3EGS, 5750234]
[paragraph, [56.0, 447.0, 367.0, 18.0], shoonya_0sSP0GCITXMMR0, 5750234]
[paragraph, [56.0, 465.0, 367.0, 18.0], shoonya_0sSP0GCITXMMR0, 5750234]
[paragraph, [56.0, 483.0, 367.0, 18.0], shoonya_0sSP0GCITXMMR0, 5750234]
[paragraph, [56.0, 501.0, 367.0, 18.0], shoonya_0sSP0GCITXMMR0, 5750234]
[paragraph, [56.0, 519.0, 367.0, 18.0], shoonya_0sSP0GCITXMMR0, 5750234]
[paragraph, [56.0, 537.0, 367.0, 18.0], shoonya_0sSP0GCITXMMR0, 5750234]
[paragraph, [56.0, 555.0, 367.0, 18.0], shoonya_0sSP0GCITXMMR0, 5750234]
[paragraph, [56.0, 573.0, 367.0, 18.0], shoonya_0sSP0GCITXMMR0, 5750234]
[paragraph, [56.0, 591.0, 367.0, 18.0], shoonya_0sSP0GCITXMMR0, 5750234]
[paragraph, [56.0, 609.0, 367.0, 18.0], shoonya_0sSP0GCITXMMR0, 5750234]
[paragraph, [56.0, 627.0, 367.0, 18.0], shoonya_0sSP0GCITXMMR0, 5750234]
[paragraph, [56.0, 645.0, 367.0, 18.0], shoonya_0sSP0GCITXMMR0, 5750234]
[paragraph, [56.0, 663.0, 367.0, 18.0], shoonya_0sSP0GCITXMMR0, 5750234]
[paragraph, [56.0, 681.0, 367.0, 18.0], shoonya_0sSP0GCITXMMR0, 5750234]
[website-link, [235.0, 751.0, 148.0, 18.0], vhf1Mq_8Tj, 5750234]
