[3509, 2482]
[paragraph, [226.0, 594.0, 1756.0, 52.5], shoonya_2s3XNF04CQJCHQ, 5692212]
[paragraph, [226.0, 646.5, 1756.0, 52.5], shoonya_2s3XNF04CQJCHQ, 5692212]
[paragraph, [226.0, 699.0, 1756.0, 52.5], shoonya_2s3XNF04CQJCHQ, 5692212]
[paragraph, [226.0, 751.5, 1756.0, 52.5], shoonya_2s3XNF04CQJCHQ, 5692212]
[paragraph, [226.0, 804.0, 1756.0, 52.5], shoonya_2s3XNF04CQJCHQ, 5692212]
[paragraph, [226.0, 856.5, 1756.0, 52.5], shoonya_2s3XNF04CQJCHQ, 5692212]
[paragraph, [226.0, 909.0, 1756.0, 52.5], shoonya_2s3XNF04CQJCHQ, 5692212]
[paragraph, [226.0, 961.5, 1756.0, 52.5], shoonya_2s3XNF04CQJCHQ, 5692212]
[paragraph, [226.0, 1014.0, 1756.0, 52.5], shoonya_2s3XNF04CQJCHQ, 5692212]
[paragraph, [226.0, 1066.5, 1756.0, 52.5], shoonya_2s3XNF04CQJCHQ, 5692212]
[paragraph, [226.0, 1119.0, 1756.0, 52.5], shoonya_2s3XNF04CQJCHQ, 5692212]
[paragraph, [226.0, 1171.5, 1756.0, 52.5], shoonya_2s3XNF04CQJCHQ, 5692212]
[paragraph, [226.0, 1224.0, 1756.0, 52.5], shoonya_2s3XNF04CQJCHQ, 5692212]
[paragraph, [226.0, 1276.5, 1756.0, 52.5], shoonya_2s3XNF04CQJCHQ, 5692212]
[paragraph, [226.0, 1329.0, 1756.0, 52.5], shoonya_2s3XNF04CQJCHQ, 5692212]
[paragraph, [226.0, 1381.5, 1756.0, 52.5], shoonya_2s3XNF04CQJCHQ, 5692212]
[paragraph, [226.0, 1434.0, 1756.0, 52.5], shoonya_2s3XNF04CQJCHQ, 5692212]
[paragraph, [226.0, 1486.5, 1756.0, 52.5], shoonya_2s3XNF04CQJCHQ, 5692212]
[paragraph, [282.0, 1585.0, 530.0, 52.5], ujHA9GvPJn, 5692212]
[paragraph, [220.0, 1647.0, 1762.0, 52.5], B8EGWKRX6E, 5692212]
[paragraph, [220.0, 1699.5, 1762.0, 52.5], B8EGWKRX6E, 5692212]
[paragraph, [220.0, 1752.0, 1762.0, 52.5], B8EGWKRX6E, 5692212]
[paragraph, [220.0, 1804.5, 1762.0, 52.5], B8EGWKRX6E, 5692212]
[paragraph, [229.0, 1880.0, 1783.0, 52.5], nwowEqO0Uc, 5692212]
[paragraph, [229.0, 1932.5, 1783.0, 52.5], nwowEqO0Uc, 5692212]
[paragraph, [229.0, 1985.0, 1783.0, 52.5], nwowEqO0Uc, 5692212]
[paragraph, [229.0, 2037.5, 1783.0, 52.5], nwowEqO0Uc, 5692212]
[paragraph, [229.0, 2090.0, 1783.0, 52.5], nwowEqO0Uc, 5692212]
[paragraph, [226.0, 2177.0, 1746.0, 52.5], yavgrSwDiA, 5692212]
[paragraph, [226.0, 2229.5, 1746.0, 52.5], yavgrSwDiA, 5692212]
[paragraph, [226.0, 2282.0, 1746.0, 52.5], yavgrSwDiA, 5692212]
[paragraph, [226.0, 2334.5, 1746.0, 52.5], yavgrSwDiA, 5692212]
[paragraph, [217.0, 2410.0, 1774.0, 52.5], 5XiFteaCdp, 5692212]
[paragraph, [217.0, 2462.5, 1774.0, 52.5], 5XiFteaCdp, 5692212]
[paragraph, [217.0, 2515.0, 1774.0, 52.5], 5XiFteaCdp, 5692212]
[paragraph, [217.0, 2567.5, 1774.0, 52.5], 5XiFteaCdp, 5692212]
[paragraph, [217.0, 2620.0, 1774.0, 52.5], 5XiFteaCdp, 5692212]
[paragraph, [217.0, 2672.5, 1774.0, 52.5], 5XiFteaCdp, 5692212]
[paragraph, [217.0, 2725.0, 1774.0, 52.5], 5XiFteaCdp, 5692212]
[paragraph, [219.0, 2797.0, 1760.0, 52.5], shoonya_0sMX4UJTQIFLJY, 5692212]
[paragraph, [219.0, 2849.5, 1760.0, 52.5], shoonya_0sMX4UJTQIFLJY, 5692212]
[paragraph, [219.0, 2902.0, 1760.0, 52.5], shoonya_0sMX4UJTQIFLJY, 5692212]
[paragraph, [219.0, 2954.5, 1760.0, 52.5], shoonya_0sMX4UJTQIFLJY, 5692212]
[paragraph, [219.0, 3007.0, 1760.0, 52.5], shoonya_0sMX4UJTQIFLJY, 5692212]
[paragraph, [219.0, 3059.5, 1760.0, 52.5], shoonya_0sMX4UJTQIFLJY, 5692212]
[paragraph, [219.0, 3112.0, 1760.0, 52.5], shoonya_0sMX4UJTQIFLJY, 5692212]
[paragraph, [219.0, 3164.5, 1760.0, 52.5], shoonya_0sMX4UJTQIFLJY, 5692212]
[paragraph, [219.0, 3217.0, 1760.0, 52.5], shoonya_0sMX4UJTQIFLJY, 5692212]
[paragraph, [219.0, 3269.5, 1760.0, 52.5], shoonya_0sMX4UJTQIFLJY, 5692212]
