[1787, 1218]
[paragraph, [285.0, 95.0, 481.0, 36.0], shoonya_3sTGGGF90MA281, 5650902]
[paragraph, [285.0, 131.0, 481.0, 36.0], shoonya_3sTGGGF90MA281, 5650902]
[paragraph, [285.0, 167.0, 481.0, 36.0], shoonya_3sTGGGF90MA281, 5650902]
[ordered-list, [78.0, 229.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 265.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 301.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 337.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 373.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 409.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 445.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 481.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 517.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 553.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 589.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 625.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 661.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 697.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 733.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 769.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 805.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 841.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 877.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 913.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 949.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 985.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 1021.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 1057.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 1093.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 1129.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 1165.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 1201.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 1237.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 1273.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 1309.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 1345.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 1381.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 1417.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 1453.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 1489.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 1525.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[ordered-list, [78.0, 1561.0, 1046.0, 36.0], shoonya_0sLQXSS6BCAZAF, 5650902]
[footnote, [475.0, 1638.0, 223.0, 36.0], fJoghqd_Ku, 5650902]
