[2037, 1444]
[paragraph, [22.0, 171.0, 1309.0, 36.0], shoonya_0sU5NILS33EX1V, 5654266]
[paragraph, [22.0, 207.0, 1309.0, 36.0], shoonya_0sU5NILS33EX1V, 5654266]
[paragraph, [22.0, 243.0, 1309.0, 36.0], shoonya_0sU5NILS33EX1V, 5654266]
[paragraph, [22.0, 279.0, 1309.0, 36.0], shoonya_0sU5NILS33EX1V, 5654266]
[paragraph, [22.0, 315.0, 1309.0, 36.0], shoonya_0sU5NILS33EX1V, 5654266]
[paragraph, [22.0, 351.0, 1309.0, 36.0], shoonya_0sU5NILS33EX1V, 5654266]
[paragraph, [22.0, 387.0, 1309.0, 36.0], shoonya_0sU5NILS33EX1V, 5654266]
[paragraph, [22.0, 423.0, 1309.0, 36.0], shoonya_0sU5NILS33EX1V, 5654266]
[paragraph, [22.0, 459.0, 1309.0, 36.0], shoonya_0sU5NILS33EX1V, 5654266]
[paragraph, [22.0, 495.0, 1309.0, 36.0], shoonya_0sU5NILS33EX1V, 5654266]
[paragraph, [22.0, 531.0, 1309.0, 36.0], shoonya_0sU5NILS33EX1V, 5654266]
[paragraph, [22.0, 567.0, 1309.0, 36.0], shoonya_0sU5NILS33EX1V, 5654266]
[paragraph, [22.0, 603.0, 1309.0, 36.0], shoonya_0sU5NILS33EX1V, 5654266]
[paragraph, [22.0, 639.0, 1309.0, 36.0], shoonya_0sU5NILS33EX1V, 5654266]
[paragraph, [22.0, 675.0, 1309.0, 36.0], shoonya_0sU5NILS33EX1V, 5654266]
[paragraph, [22.0, 711.0, 1309.0, 36.0], shoonya_0sU5NILS33EX1V, 5654266]
[paragraph, [22.0, 747.0, 1309.0, 36.0], shoonya_0sU5NILS33EX1V, 5654266]
[paragraph, [22.0, 783.0, 1309.0, 36.0], shoonya_0sU5NILS33EX1V, 5654266]
[section-title, [69.0, 868.0, 1239.0, 52.5], shoonya_4sIKDIEVNQJTRN, 5654266]
[section-title, [69.0, 920.5, 1239.0, 52.5], shoonya_4sIKDIEVNQJTRN, 5654266]
[paragraph, [51.0, 992.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1028.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1064.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1100.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1136.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1172.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1208.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1244.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1280.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1316.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1352.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1388.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1424.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1460.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1496.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1532.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1568.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1604.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1640.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1676.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1712.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1748.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1784.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1820.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1856.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1892.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[paragraph, [51.0, 1928.0, 1295.0, 36.0], shoonya_1sYBY2K85B98HA, 5654266]
[folio, [525.0, 1961.0, 377.0, 36.0], brw-CB7dNx, 5654266]
[folio, [146.0, 1970.0, 90.0, 36.0], Obel5oik7Z, 5654266]
