[1447, 1063]
[folio, [425.0, 51.0, 209.0, 18.0], ovw6ZYuymb, 5762628]
[section-title, [459.0, 114.0, 147.0, 30.0], MQN1X2On1J, 5762628]
[headline, [168.0, 170.0, 744.0, 25.5], AvuAQ0z7br, 5762628]
[headline, [168.0, 195.5, 744.0, 25.5], AvuAQ0z7br, 5762628]
[headline, [168.0, 221.0, 744.0, 25.5], AvuAQ0z7br, 5762628]
[sub-headline, [115.0, 272.0, 839.0, 25.5], 3CYpddFmtO, 5762628]
[paragraph, [108.0, 323.0, 418.0, 18.0], shoonya_6sQ3ZX83143UTI, 5762628]
[paragraph, [108.0, 341.0, 418.0, 18.0], shoonya_6sQ3ZX83143UTI, 5762628]
[paragraph, [108.0, 359.0, 418.0, 18.0], shoonya_6sQ3ZX83143UTI, 5762628]
[paragraph, [108.0, 377.0, 418.0, 18.0], shoonya_6sQ3ZX83143UTI, 5762628]
[paragraph, [108.0, 395.0, 418.0, 18.0], shoonya_6sQ3ZX83143UTI, 5762628]
[paragraph, [108.0, 413.0, 418.0, 18.0], shoonya_6sQ3ZX83143UTI, 5762628]
[paragraph, [108.0, 431.0, 418.0, 18.0], shoonya_6sQ3ZX83143UTI, 5762628]
[paragraph, [108.0, 449.0, 418.0, 18.0], shoonya_6sQ3ZX83143UTI, 5762628]
[paragraph, [108.0, 467.0, 418.0, 18.0], shoonya_6sQ3ZX83143UTI, 5762628]
[paragraph, [108.0, 485.0, 418.0, 18.0], shoonya_6sQ3ZX83143UTI, 5762628]
[paragraph, [108.0, 503.0, 418.0, 18.0], shoonya_6sQ3ZX83143UTI, 5762628]
[paragraph, [108.0, 521.0, 418.0, 18.0], shoonya_6sQ3ZX83143UTI, 5762628]
[paragraph, [536.0, 326.0, 418.0, 18.0], shoonya_0sS9EEM0V1I541, 5762628]
[paragraph, [536.0, 344.0, 418.0, 18.0], shoonya_0sS9EEM0V1I541, 5762628]
[paragraph, [536.0, 362.0, 418.0, 18.0], shoonya_0sS9EEM0V1I541, 5762628]
[paragraph, [536.0, 380.0, 418.0, 18.0], shoonya_0sS9EEM0V1I541, 5762628]
[paragraph, [536.0, 398.0, 418.0, 18.0], shoonya_0sS9EEM0V1I541, 5762628]
[paragraph, [536.0, 416.0, 418.0, 18.0], shoonya_0sS9EEM0V1I541, 5762628]
[paragraph, [536.0, 434.0, 418.0, 18.0], shoonya_0sS9EEM0V1I541, 5762628]
[paragraph, [536.0, 452.0, 418.0, 18.0], shoonya_0sS9EEM0V1I541, 5762628]
[paragraph, [536.0, 470.0, 418.0, 18.0], shoonya_0sS9EEM0V1I541, 5762628]
[paragraph, [536.0, 488.0, 418.0, 18.0], shoonya_0sS9EEM0V1I541, 5762628]
[paragraph, [536.0, 506.0, 418.0, 18.0], shoonya_0sS9EEM0V1I541, 5762628]
[paragraph, [536.0, 524.0, 418.0, 18.0], shoonya_0sS9EEM0V1I541, 5762628]
[paragraph, [536.0, 542.0, 418.0, 18.0], shoonya_0sS9EEM0V1I541, 5762628]
[paragraph, [536.0, 560.0, 418.0, 18.0], shoonya_0sS9EEM0V1I541, 5762628]
[paragraph, [536.0, 578.0, 418.0, 18.0], shoonya_0sS9EEM0V1I541, 5762628]
