[3509, 2482]
[section-title, [995.0, 359.0, 203.0, 93.0], FZSZ97J4sG, 5691927]
[paragraph, [309.0, 457.0, 607.0, 52.5], D0lo9qislx, 5691927]
[paragraph, [191.0, 545.0, 1808.0, 52.5], shoonya_2sDQXU2B1SYMPM, 5691927]
[paragraph, [191.0, 597.5, 1808.0, 52.5], shoonya_2sDQXU2B1SYMPM, 5691927]
[paragraph, [191.0, 650.0, 1808.0, 52.5], shoonya_2sDQXU2B1SYMPM, 5691927]
[paragraph, [191.0, 702.5, 1808.0, 52.5], shoonya_2sDQXU2B1SYMPM, 5691927]
[paragraph, [191.0, 755.0, 1808.0, 52.5], shoonya_2sDQXU2B1SYMPM, 5691927]
[paragraph, [191.0, 807.5, 1808.0, 52.5], shoonya_2sDQXU2B1SYMPM, 5691927]
[section-title, [989.0, 900.0, 245.0, 93.0], shoonya_0sLTLJ29WX5C7O, 5691927]
[paragraph, [297.0, 1014.0, 910.0, 52.5], VIwhyxDWFa, 5691927]
[paragraph, [224.0, 1113.0, 612.0, 52.5], xm_9K1eD8l, 5691927]
[paragraph, [194.0, 1185.0, 1829.0, 52.5], shoonya_1sURCUUZIPJ70O, 5691927]
[paragraph, [194.0, 1237.5, 1829.0, 52.5], shoonya_1sURCUUZIPJ70O, 5691927]
[paragraph, [194.0, 1290.0, 1829.0, 52.5], shoonya_1sURCUUZIPJ70O, 5691927]
[paragraph, [194.0, 1342.5, 1829.0, 52.5], shoonya_1sURCUUZIPJ70O, 5691927]
[paragraph, [194.0, 1395.0, 1829.0, 52.5], shoonya_1sURCUUZIPJ70O, 5691927]
[paragraph, [194.0, 1447.5, 1829.0, 52.5], shoonya_1sURCUUZIPJ70O, 5691927]
[paragraph, [194.0, 1500.0, 1829.0, 52.5], shoonya_1sURCUUZIPJ70O, 5691927]
[section-title, [1671.0, 1721.0, 322.0, 93.0], r-N3bEn505, 5691927]
[paragraph, [197.0, 1821.0, 1815.0, 52.5], j8ur6NT07r, 5691927]
[paragraph, [243.0, 1912.0, 1770.0, 52.5], rVMA6pfVpp, 5691927]
[paragraph, [243.0, 1964.5, 1770.0, 52.5], rVMA6pfVpp, 5691927]
[paragraph, [243.0, 2017.0, 1770.0, 52.5], rVMA6pfVpp, 5691927]
[paragraph, [243.0, 2069.5, 1770.0, 52.5], rVMA6pfVpp, 5691927]
[paragraph, [190.0, 2153.0, 1815.0, 52.5], YnKewGEPrp, 5691927]
[paragraph, [210.0, 2233.0, 1792.0, 52.5], yhiHZmguSB, 5691927]
[paragraph, [210.0, 2285.5, 1792.0, 52.5], yhiHZmguSB, 5691927]
[paragraph, [210.0, 2338.0, 1792.0, 52.5], yhiHZmguSB, 5691927]
[paragraph, [210.0, 2390.5, 1792.0, 52.5], yhiHZmguSB, 5691927]
[paragraph, [228.0, 2463.0, 1179.0, 52.5], MUj3moLX1f, 5691927]
[paragraph, [187.0, 2544.0, 1780.0, 52.5], ME_Drg_0tJ, 5691927]
[paragraph, [187.0, 2596.5, 1780.0, 52.5], ME_Drg_0tJ, 5691927]
[paragraph, [187.0, 2649.0, 1780.0, 52.5], ME_Drg_0tJ, 5691927]
[paragraph, [175.0, 2701.0, 1818.0, 52.5], BFilqpXrnI, 5691927]
[paragraph, [175.0, 2753.5, 1818.0, 52.5], BFilqpXrnI, 5691927]
[paragraph, [175.0, 2806.0, 1818.0, 52.5], BFilqpXrnI, 5691927]
[paragraph, [175.0, 2858.5, 1818.0, 52.5], BFilqpXrnI, 5691927]
[section-title, [1708.0, 3036.0, 272.0, 93.0], QUqUy2sbIk, 5691927]
[paragraph, [215.0, 3149.0, 1787.0, 52.5], cn5gG53rlM, 5691927]
[paragraph, [215.0, 3201.5, 1787.0, 52.5], cn5gG53rlM, 5691927]
[paragraph, [215.0, 3254.0, 1787.0, 52.5], cn5gG53rlM, 5691927]
