[1755, 1240]
[section-title, [210.0, 137.0, 905.0, 49.5], 50Eow4f2M_, 5693461]
[section-title, [210.0, 186.5, 905.0, 49.5], 50Eow4f2M_, 5693461]
[section-title, [210.0, 236.0, 905.0, 49.5], 50Eow4f2M_, 5693461]
[sub-section-title, [219.0, 342.0, 167.0, 36.0], shoonya_2s9RSKRPXUUK3B, 5693461]
[paragraph, [214.0, 425.0, 885.0, 36.0], shoonya_0sLB7ERO6LOTRC, 5693461]
[paragraph, [214.0, 461.0, 885.0, 36.0], shoonya_0sLB7ERO6LOTRC, 5693461]
[paragraph, [214.0, 497.0, 885.0, 36.0], shoonya_0sLB7ERO6LOTRC, 5693461]
[paragraph, [214.0, 533.0, 885.0, 36.0], shoonya_0sLB7ERO6LOTRC, 5693461]
[paragraph, [214.0, 569.0, 885.0, 36.0], shoonya_0sLB7ERO6LOTRC, 5693461]
[paragraph, [214.0, 605.0, 885.0, 36.0], shoonya_0sLB7ERO6LOTRC, 5693461]
[paragraph, [214.0, 641.0, 885.0, 36.0], shoonya_0sLB7ERO6LOTRC, 5693461]
[paragraph, [214.0, 677.0, 885.0, 36.0], shoonya_0sLB7ERO6LOTRC, 5693461]
[paragraph, [214.0, 713.0, 885.0, 36.0], shoonya_0sLB7ERO6LOTRC, 5693461]
[paragraph, [214.0, 749.0, 885.0, 36.0], shoonya_0sLB7ERO6LOTRC, 5693461]
[paragraph, [214.0, 785.0, 885.0, 36.0], shoonya_0sLB7ERO6LOTRC, 5693461]
[paragraph, [214.0, 821.0, 885.0, 36.0], shoonya_0sLB7ERO6LOTRC, 5693461]
[paragraph, [214.0, 857.0, 885.0, 36.0], shoonya_0sLB7ERO6LOTRC, 5693461]
[paragraph, [214.0, 958.0, 893.0, 36.0], shoonya_1sB144XURH1ZM0, 5693461]
[paragraph, [214.0, 994.0, 893.0, 36.0], shoonya_1sB144XURH1ZM0, 5693461]
[paragraph, [214.0, 1030.0, 893.0, 36.0], shoonya_1sB144XURH1ZM0, 5693461]
[paragraph, [214.0, 1066.0, 893.0, 36.0], shoonya_1sB144XURH1ZM0, 5693461]
[paragraph, [214.0, 1102.0, 893.0, 36.0], shoonya_1sB144XURH1ZM0, 5693461]
[paragraph, [214.0, 1138.0, 893.0, 36.0], shoonya_1sB144XURH1ZM0, 5693461]
[paragraph, [214.0, 1174.0, 893.0, 36.0], shoonya_1sB144XURH1ZM0, 5693461]
[paragraph, [214.0, 1210.0, 893.0, 36.0], shoonya_1sB144XURH1ZM0, 5693461]
[paragraph, [214.0, 1246.0, 893.0, 36.0], shoonya_1sB144XURH1ZM0, 5693461]
[paragraph, [214.0, 1282.0, 893.0, 36.0], shoonya_1sB144XURH1ZM0, 5693461]
[paragraph, [214.0, 1318.0, 893.0, 36.0], shoonya_1sB144XURH1ZM0, 5693461]
[paragraph, [214.0, 1354.0, 893.0, 36.0], shoonya_1sB144XURH1ZM0, 5693461]
[paragraph, [214.0, 1390.0, 893.0, 36.0], shoonya_1sB144XURH1ZM0, 5693461]
[paragraph, [214.0, 1426.0, 893.0, 36.0], shoonya_1sB144XURH1ZM0, 5693461]
[paragraph, [213.0, 1491.0, 892.0, 36.0], a5evGlEczy, 5693461]
[paragraph, [213.0, 1527.0, 892.0, 36.0], a5evGlEczy, 5693461]
[paragraph, [213.0, 1563.0, 892.0, 36.0], a5evGlEczy, 5693461]
