[2000, 1414]
[sidebar, [61.0, 127.0, 683.0, 36.0], HiFYZR2-em, 6492026]
[sidebar, [61.0, 163.0, 683.0, 36.0], HiFYZR2-em, 6492026]
[sidebar, [61.0, 199.0, 683.0, 36.0], HiFYZR2-em, 6492026]
[sidebar, [61.0, 235.0, 683.0, 36.0], HiFYZR2-em, 6492026]
[sidebar, [61.0, 271.0, 683.0, 36.0], HiFYZR2-em, 6492026]
[sidebar, [61.0, 307.0, 683.0, 36.0], HiFYZR2-em, 6492026]
[sidebar, [61.0, 343.0, 683.0, 36.0], HiFYZR2-em, 6492026]
[sidebar, [61.0, 379.0, 683.0, 36.0], HiFYZR2-em, 6492026]
[sidebar, [61.0, 415.0, 683.0, 36.0], HiFYZR2-em, 6492026]
[sidebar, [61.0, 451.0, 683.0, 36.0], HiFYZR2-em, 6492026]
[paragraph, [61.0, 902.0, 401.0, 36.0], YFglMR0TPp, 6492026]
[paragraph, [61.0, 938.0, 401.0, 36.0], YFglMR0TPp, 6492026]
[paragraph, [61.0, 974.0, 401.0, 36.0], YFglMR0TPp, 6492026]
[paragraph, [61.0, 1010.0, 401.0, 36.0], YFglMR0TPp, 6492026]
[paragraph, [969.0, 909.0, 327.0, 36.0], SXBaNdtVJk, 6492026]
[paragraph, [969.0, 945.0, 327.0, 36.0], SXBaNdtVJk, 6492026]
[paragraph, [969.0, 981.0, 327.0, 36.0], SXBaNdtVJk, 6492026]
[paragraph, [969.0, 1017.0, 327.0, 36.0], SXBaNdtVJk, 6492026]
[paragraph, [969.0, 1053.0, 327.0, 36.0], SXBaNdtVJk, 6492026]
[paragraph, [969.0, 1089.0, 327.0, 36.0], SXBaNdtVJk, 6492026]
[paragraph, [569.0, 915.0, 355.0, 36.0], DX4qbAq9dI, 6492026]
[paragraph, [569.0, 951.0, 355.0, 36.0], DX4qbAq9dI, 6492026]
[paragraph, [569.0, 987.0, 355.0, 36.0], DX4qbAq9dI, 6492026]
[paragraph, [569.0, 1023.0, 355.0, 36.0], DX4qbAq9dI, 6492026]
[paragraph, [569.0, 1059.0, 355.0, 36.0], DX4qbAq9dI, 6492026]
[paragraph, [569.0, 1095.0, 355.0, 36.0], DX4qbAq9dI, 6492026]
[paragraph, [569.0, 1131.0, 355.0, 36.0], DX4qbAq9dI, 6492026]
[paragraph, [568.0, 1192.0, 361.0, 36.0], wMqXRJBQ-5, 6492026]
[paragraph, [568.0, 1228.0, 361.0, 36.0], wMqXRJBQ-5, 6492026]
[paragraph, [568.0, 1264.0, 361.0, 36.0], wMqXRJBQ-5, 6492026]
[paragraph, [968.0, 1247.0, 322.0, 36.0], PNWLm9R988, 6492026]
[paragraph, [968.0, 1283.0, 322.0, 36.0], PNWLm9R988, 6492026]
[paragraph, [968.0, 1319.0, 322.0, 36.0], PNWLm9R988, 6492026]
[paragraph, [968.0, 1355.0, 322.0, 36.0], PNWLm9R988, 6492026]
[paragraph, [968.0, 1391.0, 322.0, 36.0], PNWLm9R988, 6492026]
[paragraph, [568.0, 1341.0, 357.0, 36.0], 4pY8whTtW4, 6492026]
[paragraph, [568.0, 1377.0, 357.0, 36.0], 4pY8whTtW4, 6492026]
[paragraph, [568.0, 1413.0, 357.0, 36.0], 4pY8whTtW4, 6492026]
[paragraph, [568.0, 1449.0, 357.0, 36.0], 4pY8whTtW4, 6492026]
[paragraph, [568.0, 1485.0, 357.0, 36.0], 4pY8whTtW4, 6492026]
[paragraph, [568.0, 1521.0, 357.0, 36.0], 4pY8whTtW4, 6492026]
[paragraph, [568.0, 1557.0, 357.0, 36.0], 4pY8whTtW4, 6492026]
[paragraph, [568.0, 1593.0, 357.0, 36.0], 4pY8whTtW4, 6492026]
[paragraph, [568.0, 1629.0, 357.0, 36.0], 4pY8whTtW4, 6492026]
[paragraph, [568.0, 1665.0, 357.0, 36.0], 4pY8whTtW4, 6492026]
[paragraph, [568.0, 1701.0, 357.0, 36.0], 4pY8whTtW4, 6492026]
[paragraph, [971.0, 1566.0, 330.0, 36.0], kk26pwdUAL, 6492026]
[paragraph, [971.0, 1602.0, 330.0, 36.0], kk26pwdUAL, 6492026]
[paragraph, [971.0, 1638.0, 330.0, 36.0], kk26pwdUAL, 6492026]
[paragraph, [971.0, 1674.0, 330.0, 36.0], kk26pwdUAL, 6492026]
[paragraph, [971.0, 1710.0, 330.0, 36.0], kk26pwdUAL, 6492026]
[paragraph, [971.0, 1746.0, 330.0, 36.0], kk26pwdUAL, 6492026]
[paragraph, [575.0, 1773.0, 338.0, 36.0], amGukOHqyJ, 6492026]
[paragraph, [575.0, 1809.0, 338.0, 36.0], amGukOHqyJ, 6492026]
