[1823, 1375]
[folio, [623.0, 93.0, 115.0, 36.0], shoonya_3sAJQB0B40IWXT, 5684248]
[folio, [623.0, 129.0, 115.0, 36.0], shoonya_3sAJQB0B40IWXT, 5684248]
[folio, [954.0, 97.0, 321.0, 36.0], u7Y6S94A-R, 5684248]
[paragraph, [697.0, 168.0, 577.0, 36.0], shoonya_2s5KNILDS4R6HY, 5684248]
[paragraph, [697.0, 204.0, 577.0, 36.0], shoonya_2s5KNILDS4R6HY, 5684248]
[paragraph, [697.0, 240.0, 577.0, 36.0], shoonya_2s5KNILDS4R6HY, 5684248]
[paragraph, [697.0, 276.0, 577.0, 36.0], shoonya_2s5KNILDS4R6HY, 5684248]
[paragraph, [697.0, 312.0, 577.0, 36.0], shoonya_2s5KNILDS4R6HY, 5684248]
[paragraph, [96.0, 174.0, 578.0, 36.0], shoonya_1sFFBJNHYJC1ZB, 5684248]
[paragraph, [96.0, 210.0, 578.0, 36.0], shoonya_1sFFBJNHYJC1ZB, 5684248]
[paragraph, [96.0, 246.0, 578.0, 36.0], shoonya_1sFFBJNHYJC1ZB, 5684248]
[paragraph, [96.0, 282.0, 578.0, 36.0], shoonya_1sFFBJNHYJC1ZB, 5684248]
[paragraph, [96.0, 318.0, 578.0, 36.0], shoonya_1sFFBJNHYJC1ZB, 5684248]
[paragraph, [96.0, 354.0, 578.0, 36.0], shoonya_1sFFBJNHYJC1ZB, 5684248]
[paragraph, [96.0, 390.0, 578.0, 36.0], shoonya_1sFFBJNHYJC1ZB, 5684248]
[paragraph, [96.0, 426.0, 578.0, 36.0], shoonya_1sFFBJNHYJC1ZB, 5684248]
[paragraph, [96.0, 462.0, 578.0, 36.0], shoonya_1sFFBJNHYJC1ZB, 5684248]
[paragraph, [96.0, 498.0, 578.0, 36.0], shoonya_1sFFBJNHYJC1ZB, 5684248]
[paragraph, [96.0, 534.0, 578.0, 36.0], shoonya_1sFFBJNHYJC1ZB, 5684248]
[paragraph, [96.0, 570.0, 578.0, 36.0], shoonya_1sFFBJNHYJC1ZB, 5684248]
[paragraph, [96.0, 606.0, 578.0, 36.0], shoonya_1sFFBJNHYJC1ZB, 5684248]
[paragraph, [96.0, 642.0, 578.0, 36.0], shoonya_1sFFBJNHYJC1ZB, 5684248]
[paragraph, [96.0, 678.0, 578.0, 36.0], shoonya_1sFFBJNHYJC1ZB, 5684248]
[paragraph, [96.0, 714.0, 578.0, 36.0], shoonya_1sFFBJNHYJC1ZB, 5684248]
[paragraph, [96.0, 750.0, 578.0, 36.0], shoonya_1sFFBJNHYJC1ZB, 5684248]
[paragraph, [96.0, 786.0, 578.0, 36.0], shoonya_1sFFBJNHYJC1ZB, 5684248]
[paragraph, [96.0, 822.0, 578.0, 36.0], shoonya_1sFFBJNHYJC1ZB, 5684248]
[paragraph, [96.0, 858.0, 578.0, 36.0], shoonya_1sFFBJNHYJC1ZB, 5684248]
[paragraph, [96.0, 894.0, 578.0, 36.0], shoonya_1sFFBJNHYJC1ZB, 5684248]
