[1839, 1268]
[paragraph, [171.0, 191.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 227.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 263.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 299.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 335.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 371.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 407.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 443.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 479.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 515.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 551.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 587.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 623.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 659.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 695.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 731.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 767.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 803.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 839.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 875.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 911.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 947.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 983.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 1019.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 1055.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 1091.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 1127.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 1163.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 1199.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 1235.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 1271.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 1307.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 1343.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 1379.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 1415.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 1451.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 1487.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 1523.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 1559.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 1595.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
[paragraph, [171.0, 1631.0, 938.0, 36.0], shoonya_0sVG3GDC6LT6UT, 5744405]
