[1337, 839]
[folio, [87.0, 73.0, 95.0, 18.0], Cd5m9uyvBP, 5770189]
[headline, [84.0, 115.0, 680.0, 25.5], YkXigqw3z5, 5770189]
[headline, [84.0, 140.5, 680.0, 25.5], YkXigqw3z5, 5770189]
[headline, [84.0, 166.0, 680.0, 25.5], YkXigqw3z5, 5770189]
[author, [261.0, 195.0, 322.0, 18.0], cxp5sWEJL4, 5770189]
[author, [261.0, 213.0, 322.0, 18.0], cxp5sWEJL4, 5770189]
[paragraph, [426.0, 278.0, 340.0, 18.0], 7ly2LaKxSF, 5770189]
[paragraph, [426.0, 296.0, 340.0, 18.0], 7ly2LaKxSF, 5770189]
[paragraph, [426.0, 314.0, 340.0, 18.0], 7ly2LaKxSF, 5770189]
[paragraph, [426.0, 332.0, 340.0, 18.0], 7ly2LaKxSF, 5770189]
[paragraph, [426.0, 350.0, 340.0, 18.0], 7ly2LaKxSF, 5770189]
[paragraph, [426.0, 368.0, 340.0, 18.0], 7ly2LaKxSF, 5770189]
[paragraph, [426.0, 386.0, 340.0, 18.0], 7ly2LaKxSF, 5770189]
[paragraph, [426.0, 404.0, 340.0, 18.0], 7ly2LaKxSF, 5770189]
[paragraph, [426.0, 422.0, 340.0, 18.0], 7ly2LaKxSF, 5770189]
[paragraph, [426.0, 440.0, 340.0, 18.0], 7ly2LaKxSF, 5770189]
[paragraph, [426.0, 458.0, 340.0, 18.0], 7ly2LaKxSF, 5770189]
[paragraph, [426.0, 476.0, 340.0, 18.0], 7ly2LaKxSF, 5770189]
[paragraph, [426.0, 494.0, 340.0, 18.0], 7ly2LaKxSF, 5770189]
[paragraph, [426.0, 512.0, 340.0, 18.0], 7ly2LaKxSF, 5770189]
[paragraph, [426.0, 530.0, 340.0, 18.0], 7ly2LaKxSF, 5770189]
[paragraph, [426.0, 548.0, 340.0, 18.0], 7ly2LaKxSF, 5770189]
[paragraph, [426.0, 566.0, 340.0, 18.0], 7ly2LaKxSF, 5770189]
[paragraph, [426.0, 584.0, 340.0, 18.0], 7ly2LaKxSF, 5770189]
[paragraph, [426.0, 602.0, 340.0, 18.0], 7ly2LaKxSF, 5770189]
[paragraph, [426.0, 620.0, 340.0, 18.0], 7ly2LaKxSF, 5770189]
[paragraph, [426.0, 638.0, 340.0, 18.0], 7ly2LaKxSF, 5770189]
[paragraph, [426.0, 656.0, 340.0, 18.0], 7ly2LaKxSF, 5770189]
[paragraph, [77.0, 286.0, 342.0, 18.0], _sa8BbmN0m, 5770189]
[paragraph, [77.0, 304.0, 342.0, 18.0], _sa8BbmN0m, 5770189]
[paragraph, [77.0, 322.0, 342.0, 18.0], _sa8BbmN0m, 5770189]
[paragraph, [77.0, 340.0, 342.0, 18.0], _sa8BbmN0m, 5770189]
[paragraph, [77.0, 358.0, 342.0, 18.0], _sa8BbmN0m, 5770189]
[paragraph, [77.0, 376.0, 342.0, 18.0], _sa8BbmN0m, 5770189]
[paragraph, [77.0, 394.0, 342.0, 18.0], _sa8BbmN0m, 5770189]
[paragraph, [77.0, 412.0, 342.0, 18.0], _sa8BbmN0m, 5770189]
[paragraph, [77.0, 430.0, 342.0, 18.0], _sa8BbmN0m, 5770189]
[paragraph, [77.0, 448.0, 342.0, 18.0], _sa8BbmN0m, 5770189]
[paragraph, [77.0, 466.0, 342.0, 18.0], _sa8BbmN0m, 5770189]
[paragraph, [77.0, 484.0, 342.0, 18.0], _sa8BbmN0m, 5770189]
[paragraph, [77.0, 502.0, 342.0, 18.0], _sa8BbmN0m, 5770189]
[paragraph, [77.0, 520.0, 342.0, 18.0], _sa8BbmN0m, 5770189]
[paragraph, [77.0, 538.0, 342.0, 18.0], _sa8BbmN0m, 5770189]
[paragraph, [77.0, 556.0, 342.0, 18.0], _sa8BbmN0m, 5770189]
[paragraph, [77.0, 574.0, 342.0, 18.0], _sa8BbmN0m, 5770189]
