[1601, 1158]
[paragraph, [112.0, 90.0, 353.0, 36.0], shoonya_1sLCBBXBVGO4K8, 5695328]
[paragraph, [112.0, 126.0, 353.0, 36.0], shoonya_1sLCBBXBVGO4K8, 5695328]
[paragraph, [112.0, 162.0, 353.0, 36.0], shoonya_1sLCBBXBVGO4K8, 5695328]
[paragraph, [112.0, 198.0, 353.0, 36.0], shoonya_1sLCBBXBVGO4K8, 5695328]
[paragraph, [112.0, 234.0, 353.0, 36.0], shoonya_1sLCBBXBVGO4K8, 5695328]
[paragraph, [112.0, 270.0, 353.0, 36.0], shoonya_1sLCBBXBVGO4K8, 5695328]
[paragraph, [112.0, 306.0, 353.0, 36.0], shoonya_1sLCBBXBVGO4K8, 5695328]
[paragraph, [112.0, 342.0, 353.0, 36.0], shoonya_1sLCBBXBVGO4K8, 5695328]
[paragraph, [112.0, 378.0, 353.0, 36.0], shoonya_1sLCBBXBVGO4K8, 5695328]
[paragraph, [112.0, 414.0, 353.0, 36.0], shoonya_1sLCBBXBVGO4K8, 5695328]
[paragraph, [112.0, 450.0, 353.0, 36.0], shoonya_1sLCBBXBVGO4K8, 5695328]
[paragraph, [579.0, 475.0, 470.0, 36.0], shoonya_2sT2MZD2TU518B, 5695328]
[paragraph, [579.0, 511.0, 470.0, 36.0], shoonya_2sT2MZD2TU518B, 5695328]
[paragraph, [579.0, 547.0, 470.0, 36.0], shoonya_2sT2MZD2TU518B, 5695328]
[paragraph, [579.0, 583.0, 470.0, 36.0], shoonya_2sT2MZD2TU518B, 5695328]
[paragraph, [579.0, 619.0, 470.0, 36.0], shoonya_2sT2MZD2TU518B, 5695328]
[paragraph, [579.0, 655.0, 470.0, 36.0], shoonya_2sT2MZD2TU518B, 5695328]
[paragraph, [579.0, 691.0, 470.0, 36.0], shoonya_2sT2MZD2TU518B, 5695328]
[paragraph, [579.0, 727.0, 470.0, 36.0], shoonya_2sT2MZD2TU518B, 5695328]
[paragraph, [579.0, 763.0, 470.0, 36.0], shoonya_2sT2MZD2TU518B, 5695328]
[paragraph, [109.0, 494.0, 462.0, 36.0], shoonya_3sE5E2XINBZ9NV, 5695328]
[paragraph, [109.0, 530.0, 462.0, 36.0], shoonya_3sE5E2XINBZ9NV, 5695328]
[paragraph, [99.0, 598.0, 474.0, 36.0], NetYfupyVE, 5695328]
[paragraph, [99.0, 634.0, 474.0, 36.0], NetYfupyVE, 5695328]
[paragraph, [99.0, 670.0, 474.0, 36.0], NetYfupyVE, 5695328]
[paragraph, [99.0, 706.0, 474.0, 36.0], NetYfupyVE, 5695328]
[paragraph, [99.0, 742.0, 474.0, 36.0], NetYfupyVE, 5695328]
[paragraph, [99.0, 778.0, 474.0, 36.0], NetYfupyVE, 5695328]
[paragraph, [99.0, 814.0, 474.0, 36.0], NetYfupyVE, 5695328]
[paragraph, [99.0, 850.0, 474.0, 36.0], NetYfupyVE, 5695328]
[paragraph, [99.0, 886.0, 474.0, 36.0], NetYfupyVE, 5695328]
[paragraph, [575.0, 825.0, 469.0, 36.0], shoonya_5s94NPPF2LQ06N, 5695328]
[paragraph, [575.0, 861.0, 469.0, 36.0], shoonya_5s94NPPF2LQ06N, 5695328]
[paragraph, [575.0, 897.0, 469.0, 36.0], shoonya_5s94NPPF2LQ06N, 5695328]
[paragraph, [575.0, 933.0, 469.0, 36.0], shoonya_5s94NPPF2LQ06N, 5695328]
[paragraph, [575.0, 969.0, 469.0, 36.0], shoonya_5s94NPPF2LQ06N, 5695328]
[paragraph, [110.0, 944.0, 461.0, 36.0], Kiy_wA2R-c, 5695328]
[paragraph, [110.0, 980.0, 461.0, 36.0], Kiy_wA2R-c, 5695328]
[paragraph, [110.0, 1016.0, 461.0, 36.0], Kiy_wA2R-c, 5695328]
[paragraph, [110.0, 1052.0, 461.0, 36.0], Kiy_wA2R-c, 5695328]
[paragraph, [573.0, 1038.0, 473.0, 36.0], EQy1upc9Ye, 5695328]
[paragraph, [573.0, 1074.0, 473.0, 36.0], EQy1upc9Ye, 5695328]
[paragraph, [573.0, 1110.0, 473.0, 36.0], EQy1upc9Ye, 5695328]
[paragraph, [101.0, 1114.0, 475.0, 36.0], udnZU4gkAQ, 5695328]
[paragraph, [101.0, 1150.0, 475.0, 36.0], udnZU4gkAQ, 5695328]
[paragraph, [101.0, 1186.0, 475.0, 36.0], udnZU4gkAQ, 5695328]
[paragraph, [578.0, 1178.0, 463.0, 36.0], rhgdx5obbf, 5695328]
[paragraph, [578.0, 1214.0, 463.0, 36.0], rhgdx5obbf, 5695328]
[paragraph, [578.0, 1250.0, 463.0, 36.0], rhgdx5obbf, 5695328]
[paragraph, [578.0, 1286.0, 463.0, 36.0], rhgdx5obbf, 5695328]
[paragraph, [578.0, 1322.0, 463.0, 36.0], rhgdx5obbf, 5695328]
[paragraph, [100.0, 1255.0, 473.0, 36.0], 0S3v5TUGET, 5695328]
[paragraph, [100.0, 1291.0, 473.0, 36.0], 0S3v5TUGET, 5695328]
[paragraph, [100.0, 1327.0, 473.0, 36.0], 0S3v5TUGET, 5695328]
[paragraph, [100.0, 1363.0, 473.0, 36.0], 0S3v5TUGET, 5695328]
[paragraph, [100.0, 1399.0, 473.0, 36.0], 0S3v5TUGET, 5695328]
[paragraph, [575.0, 1377.0, 466.0, 36.0], tvMgRmSQZQ, 5695328]
[folio, [514.0, 1482.0, 89.0, 36.0], lfMvSYdyXz, 5695328]
