[792, 612]
[folio, [264.0, 37.0, 70.0, 18.0], ZjhOd9hiHr, 6492332]
[paragraph, [88.0, 79.0, 417.0, 18.0], K1JMShV5jM, 6492332]
[paragraph, [88.0, 97.0, 417.0, 18.0], K1JMShV5jM, 6492332]
[paragraph, [88.0, 115.0, 417.0, 18.0], K1JMShV5jM, 6492332]
[paragraph, [88.0, 133.0, 417.0, 18.0], K1JMShV5jM, 6492332]
[paragraph, [90.0, 165.0, 411.0, 18.0], MtLnBWBGro, 6492332]
[paragraph, [90.0, 183.0, 411.0, 18.0], MtLnBWBGro, 6492332]
[paragraph, [90.0, 201.0, 411.0, 18.0], MtLnBWBGro, 6492332]
[paragraph, [90.0, 219.0, 411.0, 18.0], MtLnBWBGro, 6492332]
[paragraph, [90.0, 237.0, 411.0, 18.0], MtLnBWBGro, 6492332]
[paragraph, [90.0, 255.0, 411.0, 18.0], MtLnBWBGro, 6492332]
[paragraph, [90.0, 273.0, 411.0, 18.0], MtLnBWBGro, 6492332]
[paragraph, [90.0, 291.0, 411.0, 18.0], MtLnBWBGro, 6492332]
[paragraph, [90.0, 309.0, 411.0, 18.0], MtLnBWBGro, 6492332]
[paragraph, [90.0, 327.0, 411.0, 18.0], MtLnBWBGro, 6492332]
[paragraph, [90.0, 345.0, 411.0, 18.0], MtLnBWBGro, 6492332]
[paragraph, [90.0, 363.0, 411.0, 18.0], MtLnBWBGro, 6492332]
[paragraph, [86.0, 388.0, 414.0, 18.0], 7j5rM70jUn, 6492332]
[paragraph, [86.0, 406.0, 414.0, 18.0], 7j5rM70jUn, 6492332]
[paragraph, [86.0, 424.0, 414.0, 18.0], 7j5rM70jUn, 6492332]
[paragraph, [86.0, 442.0, 414.0, 18.0], 7j5rM70jUn, 6492332]
[paragraph, [86.0, 460.0, 414.0, 18.0], 7j5rM70jUn, 6492332]
[paragraph, [86.0, 478.0, 414.0, 18.0], 7j5rM70jUn, 6492332]
[paragraph, [86.0, 496.0, 414.0, 18.0], 7j5rM70jUn, 6492332]
[paragraph, [86.0, 514.0, 414.0, 18.0], 7j5rM70jUn, 6492332]
[paragraph, [86.0, 532.0, 414.0, 18.0], 7j5rM70jUn, 6492332]
[paragraph, [86.0, 550.0, 414.0, 18.0], 7j5rM70jUn, 6492332]
[paragraph, [86.0, 568.0, 414.0, 18.0], 7j5rM70jUn, 6492332]
[paragraph, [86.0, 586.0, 414.0, 18.0], 7j5rM70jUn, 6492332]
[paragraph, [86.0, 604.0, 414.0, 18.0], 7j5rM70jUn, 6492332]
[paragraph, [86.0, 622.0, 414.0, 18.0], 7j5rM70jUn, 6492332]
[paragraph, [86.0, 640.0, 414.0, 18.0], 7j5rM70jUn, 6492332]
[paragraph, [86.0, 658.0, 414.0, 18.0], 7j5rM70jUn, 6492332]
[paragraph, [86.0, 676.0, 414.0, 18.0], 7j5rM70jUn, 6492332]
[paragraph, [86.0, 694.0, 414.0, 18.0], 7j5rM70jUn, 6492332]
